game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,0,0,00:12:00,00:00:00,00:00:00,1,ORL,jump ball,,Marcin Gortat,Nikola Vucevic,,,,,,,Nikola Vucevic,,Glen Davis,,,,jump ball,,,,,,Jump Ball Vucevic vs. Gortat: Tip to Davis
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,0,0,00:11:46,00:00:14,00:00:14,2,ORL,foul,,,,,,,,Marcin Gortat,,Nikola Vucevic,,,off.foul,,,off.foul,,,,,,Vucevic OFF.Foul (P1)
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,0,0,00:11:46,00:00:14,00:00:00,3,ORL,turnover,,,,,,,,,,Nikola Vucevic,,,foul turnover,,,foul turnover,,,,,,Vucevic Foul Turnover (P1.T1)
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,3,0,00:11:25,00:00:35,00:00:21,4,PHX,shot,Goran Dragic,,,,,,,,,Jared Dudley,3,,,made,,Jump Shot,25,-204,151,45.4,20.1,Dudley 25' 3PT Jump Shot (3 PTS) (Dragic 1 AST)
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,3,0,00:11:09,00:00:51,00:00:16,5,PHX,foul,,,,,,,,Glen Davis,,Luis Scola,,,s.foul,,,s.foul,,,,,,Scola S.FOUL (P1.T1)
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,3,1,00:11:09,00:00:51,00:00:00,6,ORL,free throw,,,,,,,1,,2,Glen Davis,1,,,made,,Free Throw 1 of 2,,,,,,Davis Free Throw 1 of 2 (1 PTS)
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,3,2,00:11:09,00:00:51,00:00:00,8,ORL,free throw,,,,,,,2,,2,Glen Davis,1,,,made,,Free Throw 2 of 2,,,,,,Davis Free Throw 2 of 2 (2 PTS)
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,5,2,00:10:54,00:01:06,00:00:15,10,PHX,shot,Luis Scola,,,,,,,,,Michael Beasley,2,,,made,,Jump Shot,19,193,-3,5.7,4.7,Beasley 19' Jump Shot (2 PTS) (Scola 1 AST)
"=""0021200039""",2012-2013 Regular Season,2012-11-04,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,E'Twaun Moore,1,5,2,00:10:42,00:01:18,00:00:12,11,ORL,miss,,,,,,,,,,DeQuan Jones,0,,,missed,,Jump Shot,12,-10,123,24.0,76.7,MISS Jones 12' Jump Shot
