game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,1,DET,jump ball,,Greg Monroe,Serge Ibaka,,,,,,,Serge Ibaka,,Tayshaun Prince,,,,jump ball,,,,,,Jump Ball Ibaka vs. Monroe: Tip to Prince
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,2,0,00:11:41,00:00:19,00:00:19,2,DET,shot,Greg Monroe,,,,,,,,,Tayshaun Prince,2,,,made,,Jump Shot,15,149,23,10.1,7.3,Prince 15' Jump Shot (2 PTS) (Monroe 1 AST)
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,2,0,00:11:25,00:00:35,00:00:16,4,OKC,miss,,,,Greg Monroe,,,,,,Kendrick Perkins,0,,,missed,,Layup,2,24,6,27.4,88.4,"Monroe BLOCK (1 BLK), MISS Perkins 2' Layup"
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,2,0,00:11:24,00:00:36,00:00:01,5,DET,rebound,,,,,,,,,,Jason Maxiell,,,,,,rebound defensive,,,,,,Maxiell REBOUND (Off:0 Def:1)
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,2,0,00:11:12,00:00:48,00:00:12,6,DET,miss,,,,,,,,,,Jason Maxiell,0,,,missed,,Turnaround Hook Shot,6,53,15,19.7,6.5,MISS Maxiell 6' Turnaround Hook Shot
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,2,0,00:11:11,00:00:49,00:00:01,7,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,2,2,00:11:03,00:00:57,00:00:08,8,OKC,shot,Russell Westbrook,,,,,,,,,Serge Ibaka,2,,,made,,Jump Shot,16,155,15,40.5,87.5,Ibaka 16' Jump Shot (2 PTS) (Westbrook 1 AST)
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,4,2,00:10:45,00:01:15,00:00:18,9,DET,shot,,,,,,,,,,Rodney Stuckey,2,,,made,,Driving Bank Shot,4,20,36,23.0,8.6,Stuckey 4' Driving Bank Shot (2 PTS)
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,4,2,00:10:27,00:01:33,00:00:18,10,OKC,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Jump Shot,17,163,33,41.3,85.7,MISS Durant 17' Jump Shot
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,4,2,00:10:26,00:01:34,00:00:01,11,DET,rebound,,,,,,,,,,Brandon Knight,,,,,,rebound defensive,,,,,,Knight REBOUND (Off:0 Def:1)
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,4,2,00:10:11,00:01:49,00:00:15,12,DET,turnover,,,,,,,,,,Greg Monroe,,,traveling ,,,traveling ,,,,,,Monroe Traveling Turnover (P1.T1)
"=""0021200075""",2012-2013 Regular Season,2012-11-09,Tayshaun Prince,Jason Maxiell,Greg Monroe,Rodney Stuckey,Brandon Knight,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,1,4,4,00:09:50,00:02:10,00:00:21,13,OKC,shot,Russell Westbrook,,,,,,,,,Serge Ibaka,2,,,made,,Jump Shot,20,125,154,37.5,73.6,Ibaka 20' Jump Shot (4 PTS) (Westbrook 2 AST)
