game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,0,0,00:12:00,00:00:00,00:00:00,1,CHI,jump ball,,Nikola Pekovic,Joakim Noah,,,,,,,Joakim Noah,,Kirk Hinrich,,,,jump ball,,,,,,Jump Ball Noah vs. Pekovic: Tip to Hinrich
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,0,0,00:11:36,00:00:24,00:00:24,2,CHI,miss,,,,,,,,,,Carlos Boozer,0,,,missed,,Layup,2,-21,-1,22.9,89.1,MISS Boozer 2' Layup
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,0,0,00:11:34,00:00:26,00:00:02,3,MIN,rebound,,,,,,,,,,Derrick Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,0,0,00:11:18,00:00:42,00:00:16,4,MIN,miss,,,,,,,,,,Derrick Williams,0,,,missed,,Jump Shot,17,173,20,7.7,7.0,MISS Williams 17' Jump Shot
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,0,0,00:11:16,00:00:44,00:00:02,6,MIN,rebound,,,,,,,,,,Nikola Pekovic,,,,,,rebound offensive,,,,,,Pekovic REBOUND (Off:1 Def:0)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,2,0,00:11:16,00:00:44,00:00:00,5,MIN,shot,,,,,,,,,,Nikola Pekovic,2,,,made,,Tip Shot,1,-8,11,25.8,6.1,Pekovic 1' Tip Shot (2 PTS)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,2,0,00:11:00,00:01:00,00:00:16,8,MIN,violation,,,,,,,,,,Derrick Williams,,,,,,violation:defensive goaltending,,,,,,Williams Violation:Defensive Goaltending
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,2,2,00:11:00,00:01:00,00:00:00,7,CHI,shot,Carlos Boozer,,,,,,,,,Luol Deng,2,,,made,,Jump Shot,12,-40,108,21.0,78.2,Deng 12' Jump Shot (2 PTS) (Boozer 1 AST)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,2,2,00:10:45,00:01:15,00:00:15,9,MIN,miss,,,,,,,,,,Derrick Williams,0,,,missed,,Jump Shot,18,-101,154,35.1,20.4,MISS Williams 18' Jump Shot
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,2,2,00:10:43,00:01:17,00:00:02,11,MIN,rebound,,,,,,,,,,Nikola Pekovic,,,,,,rebound offensive,,,,,,Pekovic REBOUND (Off:2 Def:0)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,2,2,00:10:43,00:01:17,00:00:00,10,MIN,miss,,,,,,,,,,Nikola Pekovic,0,,,missed,,Putback Layup,1,11,6,23.9,5.6,MISS Pekovic 1' Putback Layup
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,2,2,00:10:42,00:01:18,00:00:01,12,CHI,rebound,,,,,,,,,,Carlos Boozer,,,,,,rebound defensive,,,,,,Boozer REBOUND (Off:0 Def:1)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,2,4,00:10:25,00:01:35,00:00:17,13,CHI,shot,Kirk Hinrich,,,,,,,,,Luol Deng,2,,,made,,Jump Shot,19,-128,135,12.2,75.5,Deng 19' Jump Shot (4 PTS) (Hinrich 1 AST)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,4,4,00:10:11,00:01:49,00:00:14,14,MIN,shot,Chase Budinger,,,,,,,,,Andrei Kirilenko,2,,,made,,Driving Layup,3,29,15,22.1,6.5,Kirilenko 3' Driving Layup (2 PTS) (Budinger 1 AST)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,4,4,00:09:55,00:02:05,00:00:16,15,CHI,miss,,,,,,,,,,Carlos Boozer,0,,,missed,,Jump Shot,19,67,178,31.7,71.2,MISS Boozer 19' Jump Shot
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,4,4,00:09:53,00:02:07,00:00:02,16,MIN,rebound,,,,,,,,,,Nikola Pekovic,,,,,,rebound defensive,,,,,,Pekovic REBOUND (Off:2 Def:1)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,4,4,00:09:48,00:02:12,00:00:05,17,MIN,miss,,,,,,,,,,Chase Budinger,0,,,missed,,Jump Shot,25,-147,198,39.7,24.8,MISS Budinger 25' 3PT Jump Shot
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,4,4,00:09:47,00:02:13,00:00:01,18,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,BULLS Rebound
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,4,4,00:09:47,00:02:13,00:00:00,19,MIN,foul,,,,,,,,Joakim Noah,,Nikola Pekovic,,,l.b.foul,,,l.b.foul,,,,,,Pekovic L.B.FOUL (P1.T1)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,4,6,00:09:32,00:02:28,00:00:15,21,CHI,shot,Richard Hamilton,,,,,,,,,Joakim Noah,2,,,made,,Slam Dunk,2,7,22,25.7,86.8,Noah 2' Slam Dunk (2 PTS) (Hamilton 1 AST)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,6,6,00:09:07,00:02:53,00:00:25,22,MIN,shot,,,,,,,,,,Luke Ridnour,2,,,made,,Jump Shot,21,88,186,16.2,23.6,Ridnour 21' Jump Shot (2 PTS)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,6,6,00:08:52,00:03:08,00:00:15,23,CHI,miss,,,,,,,,,,Carlos Boozer,0,,,missed,,Fadeaway Jumper,14,-136,15,11.4,87.5,MISS Boozer 14' Fadeaway Jumper
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,6,6,00:08:50,00:03:10,00:00:02,25,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,rebound offensive,,,,,,Noah REBOUND (Off:1 Def:0)
"=""0021200084""",2012-2013 Regular Season,2012-11-10,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Chase Budinger,Luke Ridnour,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Kirk Hinrich,1,6,6,00:08:50,00:03:10,00:00:00,24,CHI,miss,,,,,,,,,,Joakim Noah,0,,,missed,,Tip Shot,3,-7,26,24.3,86.4,MISS Noah 3' Tip Shot
