game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,0,00:12:00,00:00:00,00:00:00,1,PHX,jump ball,,Marcin Gortat,Al Jefferson,,,,,,,Al Jefferson,,Marcin Gortat,,,,jump ball,,,,,,Jump Ball Jefferson vs. Gortat: Tip to Gortat
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,0,00:11:45,00:00:15,00:00:15,2,PHX,miss,,,,,,,,,,Michael Beasley,0,,,missed,,Jump Shot,26,135,220,11.5,27.0,MISS Beasley 26' 3PT Jump Shot
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,0,00:11:43,00:00:17,00:00:02,3,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,JAZZ Rebound
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,2,00:11:29,00:00:31,00:00:14,4,UTA,shot,Jamaal Tinsley,,,,,,,,,Paul Millsap,2,,,made,,Layup,3,21,15,27.1,87.5,Millsap 3' Layup (2 PTS) (Tinsley 1 AST)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,2,00:11:29,00:00:31,00:00:00,5,PHX,foul,,,,,,,,Paul Millsap,,Michael Beasley,,,s.foul,,,s.foul,,,,,,Beasley S.FOUL (P1.T1)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,3,00:11:29,00:00:31,00:00:00,6,UTA,free throw,,,,,,,1,,1,Paul Millsap,1,,,made,,Free Throw 1 of 1,,,,,,Millsap Free Throw 1 of 1 (3 PTS)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,3,00:11:11,00:00:49,00:00:18,8,PHX,miss,,,,,,,,,,Luis Scola,0,,,missed,,Hook Shot,7,6,66,24.4,11.6,MISS Scola 7' Hook Shot
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,3,00:11:10,00:00:50,00:00:01,9,UTA,rebound,,,,,,,,,,Paul Millsap,,,,,,rebound defensive,,,,,,Millsap REBOUND (Off:0 Def:1)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,3,00:10:55,00:01:05,00:00:15,10,UTA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,20,69,184,31.9,70.6,MISS Williams 20' Jump Shot
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,0,3,00:10:54,00:01:06,00:00:01,11,PHX,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:1)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,3,00:10:37,00:01:23,00:00:17,12,PHX,shot,Goran Dragic,,,,,,,,,Jared Dudley,3,,,made,,Jump Shot,24,-231,67,48.1,11.7,Dudley 24' 3PT Jump Shot (3 PTS) (Dragic 1 AST)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:10:17,00:01:43,00:00:20,13,UTA,shot,,,,,,,,,,Al Jefferson,2,,,made,,Jump Bank Shot,2,-18,4,23.2,88.6,Jefferson 2' Jump Bank Shot (2 PTS)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:10:06,00:01:54,00:00:11,14,PHX,miss,,,,,,,,,,Luis Scola,0,,,missed,,Jump Shot,18,147,112,10.3,16.2,MISS Scola 18' Jump Shot
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:10:05,00:01:55,00:00:01,15,UTA,rebound,,,,,,,,,,Gordon Hayward,,,,,,rebound defensive,,,,,,Hayward REBOUND (Off:0 Def:1)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:10:00,00:02:00,00:00:05,16,UTA,turnover,,,,,,,,,,Gordon Hayward,,,lost ball ,,Goran Dragic,lost ball ,,,,,,"Dragic STEAL (1 STL), Hayward Lost Ball Turnover (P1.T1)"
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:09:47,00:02:13,00:00:13,17,PHX,foul,,,,,,,,Paul Millsap,,Jared Dudley,,,off.foul,,,off.foul,,,,,,Dudley OFF.Foul (P1)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:09:47,00:02:13,00:00:00,18,PHX,turnover,,,,,,,,,,Jared Dudley,,,foul turnover,,,foul turnover,,,,,,Dudley Foul Turnover (P1.T1)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:09:34,00:02:26,00:00:13,19,UTA,miss,,,,Marcin Gortat,,,,,,Gordon Hayward,0,,,missed,,Jump Shot,4,24,30,27.4,86.0,"Gortat BLOCK (1 BLK), MISS Hayward 4' Jump Shot"
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:09:32,00:02:28,00:00:02,21,UTA,rebound,,,,,,,,,,Paul Millsap,,,,,,rebound offensive,,,,,,Millsap REBOUND (Off:1 Def:1)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:09:32,00:02:28,00:00:00,20,UTA,miss,,,,,,,,,,Al Jefferson,0,,,missed,,Tip Shot,2,18,7,26.8,88.3,MISS Jefferson 2' Tip Shot
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,5,00:09:30,00:02:30,00:00:02,23,UTA,rebound,,,,,,,,,,Al Jefferson,,,,,,rebound offensive,,,,,,Jefferson REBOUND (Off:1 Def:0)
"=""0021200087""",2012-2013 Regular Season,2012-11-10,Michael Beasley,Luis Scola,Marcin Gortat,Jared Dudley,Goran Dragic,Marvin Williams,Paul Millsap,Al Jefferson,Gordon Hayward,Jamaal Tinsley,1,3,7,00:09:30,00:02:30,00:00:00,22,UTA,shot,,,,,,,,,,Al Jefferson,2,,,made,,Tip Shot,1,-7,7,24.3,88.3,Jefferson 1' Tip Shot (4 PTS)
