game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:12:00,00:00:00,00:00:00,1,NOH,jump ball,,Robin Lopez,Omer Asik,,,,,,,Omer Asik,,Anthony Davis,,,,jump ball,,,,,,Jump Ball Asik vs. Lopez: Tip to Davis
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:45,00:00:15,00:00:15,2,NOH,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Jump Shot,19,157,112,9.3,16.2,MISS Davis 19' Jump Shot
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:40,00:00:20,00:00:05,3,HOU,rebound,,,,,,,,,,Jeremy Lin,,,,,,rebound defensive,,,,,,Lin REBOUND (Off:0 Def:1)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:21,00:00:39,00:00:19,5,HOU,miss,,,,,,,,,,Jeremy Lin,0,,,missed,,Jump Shot,15,144,30,39.4,86.0,MISS Lin 15' Jump Shot
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:18,00:00:42,00:00:03,6,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,ROCKETS Rebound
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,0,2,00:11:11,00:00:49,00:00:07,8,HOU,shot,Jeremy Lin,,,,,,,,,Omer Asik,2,,,made,,Dunk,0,1,1,25.1,88.9,Asik  Dunk (2 PTS) (Lin 1 AST)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,3,2,00:10:43,00:01:17,00:00:28,9,NOH,shot,Greivis Vasquez,,,,,,,,,Austin Rivers,3,,,made,,Jump Shot,23,-229,15,47.9,6.5,Rivers  3PT Jump Shot (3 PTS) (Vasquez 1 AST)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,3,2,00:10:30,00:01:30,00:00:13,11,HOU,turnover,,,,,,,,,,Chandler Parsons,,,bad pass ,,Anthony Davis,bad pass ,,,,,,"Davis STEAL (1 STL), Parsons Bad Pass Turnover (P1.T1)"
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,5,2,00:10:27,00:01:33,00:00:03,12,NOH,shot,,,,,,,,,,Greivis Vasquez,2,,,made,,Layup,0,-5,0,25.5,5.0,Vasquez 1' Layup (2 PTS)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,5,2,00:10:09,00:01:51,00:00:18,13,HOU,miss,,,,,,,,,,Chandler Parsons,0,,,missed,,Jump Shot,24,-242,-3,0.8,89.3,MISS Parsons 24' 3PT Jump Shot
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,5,2,00:10:08,00:01:52,00:00:01,14,NOH,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,7,2,00:09:50,00:02:10,00:00:18,15,NOH,shot,Al-Farouq Aminu,,,,,,,,,Robin Lopez,2,,,made,,Layup,0,-2,1,25.2,5.1,Lopez  Layup (2 PTS) (Aminu 1 AST)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,7,2,00:09:37,00:02:23,00:00:13,16,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,Jump Shot,25,135,214,38.5,67.6,MISS Harden 25' 3PT Jump Shot
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,7,2,00:09:35,00:02:25,00:00:02,17,NOH,rebound,,,,,,,,,,Austin Rivers,,,,,,rebound defensive,,,,,,Rivers REBOUND (Off:0 Def:1)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,7,2,00:09:26,00:02:34,00:00:09,18,NOH,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Layup,0,-2,1,25.2,5.1,MISS Davis  Layup
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,7,2,00:09:24,00:02:36,00:00:02,19,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,ROCKETS Rebound
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,7,4,00:09:15,00:02:45,00:00:09,21,HOU,shot,,,,,,,,,,Jeremy Lin,2,,,made,,Driving Reverse Layup,1,6,-6,25.6,89.6,Lin 1' Driving Reverse Layup (2 PTS)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,9,4,00:08:57,00:03:03,00:00:18,22,NOH,shot,Al-Farouq Aminu,,,,,,,,,Austin Rivers,2,,,made,,Jump Shot,15,146,37,10.4,8.7,Rivers 15' Jump Shot (5 PTS) (Aminu 2 AST)
"=""0021200112""",2012-2013 Regular Season,2012-11-14,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Greivis Vasquez,Austin Rivers,Chandler Parsons,Patrick Patterson,Omer Asik,James Harden,Jeremy Lin,1,9,6,00:08:43,00:03:17,00:00:14,23,HOU,shot,Omer Asik,,,,,,,,,Patrick Patterson,2,,,made,,Dunk,1,0,11,25.0,87.9,Patterson 1' Dunk (2 PTS) (Asik 1 AST)
