game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:12:00,00:00:00,00:00:00,1,BKN,jump ball,,Kevin Garnett,Brook Lopez,,,,,,,Brook Lopez,,Deron Williams,,,,jump ball,,,,,,Jump Ball Lopez vs. Garnett: Tip to D. Williams
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:42,00:00:18,00:00:18,2,BKN,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,16,157,4,40.7,88.6,MISS Lopez 16' Jump Shot
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:40,00:00:20,00:00:02,3,BOS,rebound,,,,,,,,,,Jason Terry,,,,,,rebound defensive,,,,,,Terry REBOUND (Off:0 Def:1)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:32,00:00:28,00:00:08,4,BOS,miss,,,,,,,,,,Paul Pierce,0,,,missed,,Jump Shot,17,99,135,15.1,18.5,MISS Pierce 17' Jump Shot
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:31,00:00:29,00:00:01,5,BKN,rebound,,,,,,,,,,Kris Humphries,,,,,,rebound defensive,,,,,,Humphries REBOUND (Off:0 Def:1)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:13,00:00:47,00:00:18,6,BKN,miss,,,,,,,,,,Joe Johnson,0,,,missed,,Jump Shot,24,-238,-19,1.2,90.9,MISS Johnson 24' 3PT Jump Shot
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:11,00:00:49,00:00:02,7,BKN,rebound,,,,,,,,,,Joe Johnson,,,,,,rebound offensive,,,,,,Johnson REBOUND (Off:1 Def:0)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,3,00:11:08,00:00:52,00:00:03,8,BKN,shot,,,,,,,,,,Joe Johnson,3,,,made,,Jump Shot,23,-224,-27,2.6,91.7,Johnson  3PT Jump Shot (3 PTS)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,2,3,00:10:45,00:01:15,00:00:23,9,BOS,shot,Jason Terry,,,,,,,,,Brandon Bass,2,,,made,,Jump Shot,14,29,134,22.1,18.4,Bass 14' Jump Shot (2 PTS) (Terry 1 AST)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,2,5,00:10:31,00:01:29,00:00:14,10,BKN,shot,Deron Williams,,,,,,,,,Brook Lopez,2,,,made,,Hook Shot,6,-7,61,24.3,82.9,Lopez 6' Hook Shot (2 PTS) (D. Williams 1 AST)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,2,5,00:10:23,00:01:37,00:00:08,11,,timeout,,,,,,,,,,,,,,,, timeout: short,,,,,,Celtics Timeout: Short (Reg.0 Short 1)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,2,5,00:10:09,00:01:51,00:00:14,13,BOS,miss,,,,,,,,,,Kevin Garnett,0,,,missed,,Jump Shot,16,-163,-2,41.3,4.8,MISS Garnett 16' Jump Shot
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,2,5,00:10:08,00:01:52,00:00:01,14,BKN,rebound,,,,,,,,,,Keith Bogans,,,,,,rebound defensive,,,,,,Bogans REBOUND (Off:0 Def:1)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,2,8,00:09:57,00:02:03,00:00:11,15,BKN,shot,Joe Johnson,,,,,,,,,Deron Williams,3,,,made,,Jump Shot,25,60,239,31.0,65.1,D. Williams 25' 3PT Jump Shot (3 PTS) (Johnson 1 AST)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,2,8,00:09:42,00:02:18,00:00:15,16,BKN,foul,,,,,,,,Jason Terry,,Keith Bogans,,,s.foul,,,s.foul,,,,,,Bogans S.FOUL (P1.T1)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,3,8,00:09:42,00:02:18,00:00:00,17,BOS,free throw,,,,,,,1,,2,Jason Terry,1,,,made,,Free Throw 1 of 2,,,,,,Terry Free Throw 1 of 2 (1 PTS)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,4,8,00:09:42,00:02:18,00:00:00,19,BOS,free throw,,,,,,,2,,2,Jason Terry,1,,,made,,Free Throw 2 of 2,,,,,,Terry Free Throw 2 of 2 (2 PTS)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,4,10,00:09:26,00:02:34,00:00:16,21,BKN,shot,Deron Williams,,,,,,,,,Kris Humphries,2,,,made,,Jump Shot,10,34,99,28.4,79.1,Humphries 10' Jump Shot (2 PTS) (D. Williams 2 AST)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,4,10,00:09:17,00:02:43,00:00:09,22,BOS,miss,,,,Brook Lopez,,,,,,Brandon Bass,0,,,missed,,Layup,3,-26,20,27.6,7.0,"MISS Bass 3' Layup, Lopez BLOCK (1 BLK)"
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,4,10,00:09:16,00:02:44,00:00:01,23,BOS,rebound,,,,,,,,,,Brandon Bass,,,,,,rebound offensive,,,,,,Bass REBOUND (Off:1 Def:0)
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,4,10,00:09:16,00:02:44,00:00:00,24,BOS,jump ball,,Brandon Bass,Deron Williams,,,,,,,Deron Williams,,Paul Pierce,,,,jump ball,,,,,,Jump Ball D. Williams vs. Bass: Tip to Pierce
"=""0021200119""",2012-2013 Regular Season,2012-11-15,Paul Pierce,Brandon Bass,Kevin Garnett,Jason Terry,Leandro Barbosa,Keith Bogans,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,4,10,00:09:02,00:02:58,00:00:14,25,BOS,turnover,,,,,,,,,,Kevin Garnett,,,traveling ,,,traveling ,,,,,,Garnett Traveling Turnover (P1.T1)
