game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,1,ORL,jump ball,,Nikola Vucevic,Greg Monroe,,,,,,,Greg Monroe,,Jameer Nelson,,,,jump ball,,,,,,Jump Ball Monroe vs. Vucevic: Tip to Nelson
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:41,00:00:19,00:00:19,2,ORL,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,27,-168,206,41.8,25.6,MISS Redick 27' 3PT Jump Shot
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:40,00:00:20,00:00:01,3,DET,rebound,,,,,,,,,,Brandon Knight,,,,,,rebound defensive,,,,,,Knight REBOUND (Off:0 Def:1)
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,2,00:11:36,00:00:24,00:00:04,4,DET,shot,Brandon Knight,,,,,,,,,Tayshaun Prince,2,,,made,,Driving Layup,1,0,-6,25.0,89.6,Prince 1' Driving Layup (2 PTS) (Knight 1 AST)
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,2,2,00:11:15,00:00:45,00:00:21,5,ORL,shot,Jameer Nelson,,,,,,,,,Nikola Vucevic,2,,,made,,Hook Shot,6,34,53,21.6,10.3,Vucevic 6' Hook Shot (2 PTS) (Nelson 1 AST)
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,2,2,00:11:00,00:01:00,00:00:15,6,ORL,foul,,,,,,,,Jason Maxiell,,Jameer Nelson,,,p.foul,,,p.foul,,,,,,Nelson P.FOUL (P1.T1)
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,2,4,00:10:48,00:01:12,00:00:12,7,DET,shot,,,,,,,,,,Greg Monroe,2,,,made,,Layup,0,-4,0,24.6,89.0,Monroe  Layup (2 PTS)
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,2,4,00:10:23,00:01:37,00:00:25,8,ORL,miss,,,,,,,,,,Jameer Nelson,0,,,missed,,Floating Jump Shot,7,10,67,24.0,11.7,MISS Nelson 7' Floating Jump Shot
"=""0021200123""",2012-2013 Regular Season,2012-11-16,Arron Afflalo,Glen Davis,Nikola Vucevic,JJ Redick,Jameer Nelson,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,2,4,00:10:23,00:01:37,00:00:00,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
