game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,0,0,00:12:00,00:00:00,00:00:00,1,ATL,jump ball,,Zaza Pachulia,Jason Thompson,,,,,,,Jason Thompson,,Jeff Teague,,,,jump ball,,,,,,Jump Ball Thompson vs. Pachulia: Tip to Teague
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,0,0,00:11:37,00:00:23,00:00:23,2,ATL,miss,,,,,,,,,,Josh Smith,0,,,missed,,Jump Shot,23,-228,37,47.8,8.7,MISS Smith  3PT Jump Shot
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,0,0,00:11:36,00:00:24,00:00:01,3,ATL,rebound,,,,,,,,,,Zaza Pachulia,,,,,,rebound offensive,,,,,,Pachulia REBOUND (Off:1 Def:0)
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,2,0,00:11:27,00:00:33,00:00:09,4,ATL,shot,Kyle Korver,,,,,,,,,Al Horford,2,,,made,,Jump Shot,21,72,194,17.8,24.4,Horford 21' Jump Shot (2 PTS) (Korver 1 AST)
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,2,0,00:11:05,00:00:55,00:00:22,5,SAC,miss,,,,,,,,,,James Johnson,0,,,missed,,Jump Shot,5,-45,30,20.5,86.0,MISS Johnson 5' Jump Shot
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,2,0,00:11:04,00:00:56,00:00:01,6,ATL,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,2,0,00:10:53,00:01:07,00:00:11,7,ATL,miss,,,,,,,,,,Josh Smith,0,,,missed,,Jump Shot,6,-10,58,26.0,10.8,MISS Smith 6' Jump Shot
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,2,0,00:10:52,00:01:08,00:00:01,8,SAC,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:1)
"=""0021200128""",2012-2013 Regular Season,2012-11-16,Josh Smith,Al Horford,Zaza Pachulia,Kyle Korver,Jeff Teague,James Johnson,Jason Thompson,DeMarcus Cousins,Tyreke Evans,Isaiah Thomas,1,2,2,00:10:39,00:01:21,00:00:13,9,SAC,shot,Isaiah Thomas,,,,,,,,,DeMarcus Cousins,2,,,made,,Jump Shot,20,1,197,25.1,69.3,Cousins 20' Jump Shot (2 PTS) (Thomas 1 AST)
