game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,1,MEM,jump ball,,Marc Gasol,Brendan Haywood,,,,,,,Brendan Haywood,,Rudy Gay,,,,jump ball,,,,,,Jump Ball Haywood vs. Gasol: Tip to Gay
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:41,00:00:19,00:00:19,2,MEM,miss,,,,,,,,,,Tony Allen,0,,,missed,,Layup,1,2,11,24.8,6.1,MISS Allen 1' Layup
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:40,00:00:20,00:00:01,3,CHA,rebound,,,,,,,,,,Jeff Taylor,,,,,,rebound defensive,,,,,,Taylor REBOUND (Off:0 Def:1)
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:34,00:00:26,00:00:06,4,CHA,turnover,,,,,,,,,,Kemba Walker,,,lost ball ,,Tony Allen,lost ball ,,,,,,"Allen STEAL (1 STL), Walker Lost Ball Turnover (P1.T1)"
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:28,00:00:32,00:00:06,5,MEM,miss,,,,,,,,,,Tony Allen,0,,,missed,,Layup,2,15,1,23.5,5.1,MISS Allen 2' Layup
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:27,00:00:33,00:00:01,6,CHA,rebound,,,,,,,,,,Michael Kidd-Gilchrist,,,,,,rebound defensive,,,,,,Kidd-Gilchrist REBOUND (Off:0 Def:1)
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:11,00:00:49,00:00:16,7,CHA,turnover,,,,,,,,,,Michael Kidd-Gilchrist,,,bad pass ,,Rudy Gay,bad pass ,,,,,,"Gay STEAL (1 STL), Kidd-Gilchrist Bad Pass Turnover (P1.T2)"
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:10:59,00:01:01,00:00:12,8,MEM,miss,,,,,,,,,,Rudy Gay,0,,,missed,,Jump Shot,4,0,39,25.0,8.9,MISS Gay 4' Jump Shot
"=""0021200134""",2012-2013 Regular Season,2012-11-17,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:10:59,00:01:01,00:00:00,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Grizzlies Rebound
