game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,1,ORL,jump ball,,Nikola Vucevic,Jonas Valanciunas,,,,,,,Jonas Valanciunas,,Jameer Nelson,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Vucevic: Tip to Nelson
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,0,0,00:11:39,00:00:21,00:00:21,2,ORL,miss,,,,Jose Calderon,,,,,,Glen Davis,0,,,missed,,Pullup Jump Shot,13,124,42,12.6,9.2,"MISS Davis 13' Pullup Jump Shot, Calderon BLOCK (1 BLK)"
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,0,0,00:11:39,00:00:21,00:00:00,3,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,2,0,00:11:35,00:00:25,00:00:04,4,ORL,shot,,,,,,,,,,Arron Afflalo,2,,,made,,Jump Shot,16,163,9,8.7,5.9,Afflalo 16' Jump Shot (2 PTS)
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,2,0,00:11:14,00:00:46,00:00:21,5,TOR,miss,,,,,,,,,,Dominic McGuire,0,,,missed,,Jump Shot,9,0,88,25.0,80.2,MISS McGuire 9' Jump Shot
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,2,0,00:11:13,00:00:47,00:00:01,6,ORL,rebound,,,,,,,,,,Glen Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,2,0,00:11:09,00:00:51,00:00:04,7,ORL,turnover,,,,,,,,,,Glen Davis,,,bad pass ,,Andrea Bargnani,bad pass ,,,,,,"Davis Bad Pass Turnover (P1.T1), Bargnani STEAL (1 STL)"
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,2,2,00:11:06,00:00:54,00:00:03,8,TOR,shot,,,,,,,,,,Andrea Bargnani,2,,,made,,Dunk,1,0,7,25.0,88.3,Bargnani 1' Dunk (2 PTS)
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,4,2,00:10:46,00:01:14,00:00:20,9,ORL,shot,,,,,,,,,,Nikola Vucevic,2,,,made,,Turnaround Fadeaway ,13,-134,12,38.4,6.2,Vucevic 13' Turnaround Fadeaway (2 PTS)
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,4,4,00:10:26,00:01:34,00:00:20,10,TOR,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Fadeaway Jumper,18,-116,132,13.4,75.8,DeRozan 18' Fadeaway Jumper (2 PTS)
"=""0021200140""",2012-2013 Regular Season,2012-11-18,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Jose Calderon,1,6,4,00:10:10,00:01:50,00:00:16,11,ORL,shot,DeQuan Jones,,,,,,,,,Arron Afflalo,2,,,made,,Jump Shot,23,113,198,13.7,24.8,Afflalo 23' Jump Shot (4 PTS) (Jones 1 AST)
