game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,1,CHA,jump ball,,Jonas Valanciunas,Byron Mullens,,,,,,,Byron Mullens,,Kemba Walker,,,,jump ball,,,,,,Jump Ball Mullens vs. Valanciunas: Tip to Walker
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:45,00:00:15,00:00:15,2,CHA,miss,,,,,,,,,,Byron Mullens,0,,,missed,,Jump Shot,10,-86,56,16.4,83.4,MISS Mullens 10' Jump Shot
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:43,00:00:17,00:00:02,3,TOR,rebound,,,,,,,,,,DeMar DeRozan,,,,,,rebound defensive,,,,,,DeRozan REBOUND (Off:0 Def:1)
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,0,0,00:11:37,00:00:23,00:00:06,4,CHA,foul,,,,,,,,Andrea Bargnani,,Byron Mullens,,,p.foul,,,p.foul,,,,,,Mullens P.FOUL (P1.T1)
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,2,0,00:11:26,00:00:34,00:00:11,5,TOR,shot,DeMar DeRozan,,,,,,,,,Jonas Valanciunas,2,,,made,,Hook Shot,6,7,64,24.3,11.4,Valanciunas 6' Hook Shot (2 PTS) (DeRozan 1 AST)
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,2,0,00:11:07,00:00:53,00:00:19,6,CHA,miss,,,,,,,,,,Michael Kidd-Gilchrist,0,,,missed,,Jump Shot,4,26,26,27.6,86.4,MISS Kidd-Gilchrist 4' Jump Shot
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,2,0,00:11:05,00:00:55,00:00:02,8,CHA,rebound,,,,,,,,,,Byron Mullens,,,,,,rebound offensive,,,,,,Mullens REBOUND (Off:1 Def:0)
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,2,2,00:11:05,00:00:55,00:00:00,7,CHA,shot,,,,,,,,,,Byron Mullens,2,,,made,,Tip Shot,0,3,4,25.3,88.6,Mullens 1' Tip Shot (2 PTS)
"=""0021200157""",2012-2013 Regular Season,2012-11-21,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Byron Mullens,Brendan Haywood,Jeff Taylor,Kemba Walker,1,2,2,00:10:40,00:01:20,00:00:25,10,TOR,miss,,,,,,,,,,Kyle Lowry,0,,,missed,,Jump Shot,10,97,39,15.3,8.9,MISS Lowry 10' Jump Shot
