game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:12:00,00:00:00,00:00:00,1,CLE,jump ball,,Kwame Brown,Anderson Varejao,,,,,,,Anderson Varejao,,Tristan Thompson,,,,jump ball,,,,,,Jump Ball Varejao vs. Brown: Tip to Thompson
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:11:40,00:00:20,00:00:20,6,CLE,miss,,,,,,,,,,Jeremy Pargo,0,,,missed,,Jump Shot,21,102,179,35.2,71.1,MISS Pargo 21' Jump Shot
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:11:38,00:00:22,00:00:02,9,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,rebound offensive,,,,,,Varejao REBOUND (Off:1 Def:0)
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:11:37,00:00:23,00:00:01,2,CLE,miss,,,,,,,,,,Anderson Varejao,0,,,missed,,Tip Shot,1,3,11,25.3,87.9,MISS Varejao 1' Tip Shot
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:11:35,00:00:25,00:00:02,3,CLE,rebound,,,,,,,,,,Tristan Thompson,,,,,,rebound offensive,,,,,,Thompson REBOUND (Off:1 Def:0)
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:11:34,00:00:26,00:00:01,4,CLE,miss,,,,,,,,,,Alonzo Gee,0,,,missed,,Jump Shot,26,91,246,34.1,64.4,MISS Gee 26' 3PT Jump Shot
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:11:33,00:00:27,00:00:01,5,PHI,rebound,,,,,,,,,,Evan Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,0,0,00:11:24,00:00:36,00:00:09,7,CLE,foul,,,,,,,,Evan Turner,,Dion Waiters,,,s.foul,,,s.foul,,,,,,Waiters S.FOUL (P1.T1)
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,1,0,00:11:24,00:00:36,00:00:00,10,PHI,free throw,,,,,,,1,,2,Evan Turner,1,,,made,,Free Throw 1 of 2,,,,,,Turner Free Throw 1 of 2 (1 PTS)
"=""0021200159""",2012-2013 Regular Season,2012-11-21,Evan Turner,Thaddeus Young,Kwame Brown,Jason Richardson,Jrue Holiday,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Jeremy Pargo,1,2,0,00:11:24,00:00:36,00:00:00,12,PHI,free throw,,,,,,,2,,2,Evan Turner,1,,,made,,Free Throw 2 of 2,,,,,,Turner Free Throw 2 of 2 (2 PTS)
