game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:12:00,00:00:00,00:00:00,1,LAC,jump ball,,DeAndre Jordan,Brook Lopez,,,,,,,Brook Lopez,,Chris Paul,,,,jump ball,,,,,,Jump Ball Lopez vs. Jordan: Tip to Paul
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:43,00:00:17,00:00:17,2,LAC,miss,,,,,,,,,,DeAndre Jordan,0,,,missed,,Hook Shot,5,2,48,24.8,9.8,MISS Jordan 5' Hook Shot
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:42,00:00:18,00:00:01,3,BKN,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:29,00:00:31,00:00:13,4,LAC,violation,,,,,,,,,,Willie Green,,,,,,violation:kicked ball,,,,,,Green Violation:Kicked Ball
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:11:21,00:00:39,00:00:08,5,BKN,shot,Deron Williams,,,,,,,,,Brook Lopez,2,,,made,,Dunk,2,15,11,26.5,87.9,Lopez 2' Dunk (2 PTS) (D. Williams 1 AST)
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:10:57,00:01:03,00:00:24,6,LAC,miss,,,,,,,,,,Caron Butler,0,,,missed,,Jump Shot,24,-161,181,41.1,23.1,MISS Butler 24' 3PT Jump Shot
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:10:55,00:01:05,00:00:02,7,LAC,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound offensive,,,,,,Griffin REBOUND (Off:1 Def:0)
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:10:52,00:01:08,00:00:03,8,LAC,miss,,,,Brook Lopez,,,,,,Caron Butler,0,,,missed,,Driving Layup,2,-24,-2,27.4,4.8,"MISS Butler 2' Driving Layup, Lopez BLOCK (1 BLK)"
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:10:50,00:01:10,00:00:02,9,LAC,rebound,,,,,,,,,,Chris Paul,,,,,,rebound offensive,,,,,,Paul REBOUND (Off:1 Def:0)
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:10:43,00:01:17,00:00:07,10,LAC,miss,,,,,,,,,,DeAndre Jordan,0,,,missed,,Layup,2,21,0,22.9,5.0,MISS Jordan 2' Layup
"=""0021200174""",2012-2013 Regular Season,2012-11-23,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Gerald Wallace,Kris Humphries,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:10:42,00:01:18,00:00:01,11,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound offensive,,,,,,Jordan REBOUND (Off:1 Def:0)
