game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,1,TOR,jump ball,,Tim Duncan,Jonas Valanciunas,,,,,,,Jonas Valanciunas,,Andrea Bargnani,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Duncan: Tip to Bargnani
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,3,00:11:45,00:00:15,00:00:15,2,TOR,shot,DeMar DeRozan,,,,,,,,,Kyle Lowry,3,,,made,,Jump Shot,25,124,213,37.4,67.7,Lowry 25' 3PT Jump Shot (3 PTS) (DeRozan 1 AST)
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,3,00:11:29,00:00:31,00:00:16,3,SAS,shot,,,,,,,,,,Tim Duncan,2,,,made,,Turnaround Jump Shot,9,0,88,25.0,13.8,Duncan 9' Turnaround Jump Shot (2 PTS)
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,3,00:11:09,00:00:51,00:00:20,4,TOR,miss,,,,,,,,,,Andrea Bargnani,0,,,missed,,Jump Shot,17,-16,172,23.4,71.8,MISS Bargnani 17' Jump Shot
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,3,00:11:08,00:00:52,00:00:01,5,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,rebound defensive,,,,,,Duncan REBOUND (Off:0 Def:1)
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,4,3,00:10:58,00:01:02,00:00:10,6,SAS,shot,Tony Parker,,,,,,,,,Tim Duncan,2,,,made,,Jump Shot,18,10,184,24.0,23.4,Duncan 18' Jump Shot (4 PTS) (Parker 1 AST)
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,4,3,00:10:46,00:01:14,00:00:12,7,TOR,foul,,,,,,,,DeJuan Blair,,Dominic McGuire,,,off.foul,,,off.foul,,,,,,McGuire OFF.Foul (P1)
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,4,3,00:10:46,00:01:14,00:00:00,8,TOR,turnover,,,,,,,,,,Dominic McGuire,,,foul turnover,,,foul turnover,,,,,,McGuire Foul Turnover (P1.T1)
"=""0021200191""",2012-2013 Regular Season,2012-11-25,Danny Green,Tim Duncan,DeJuan Blair,Gary Neal,Tony Parker,Dominic McGuire,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,4,3,00:10:29,00:01:31,00:00:17,9,SAS,miss,,,,,,,,,,Tim Duncan,0,,,missed,,Pullup Jump Shot,14,-68,123,31.8,17.3,MISS Duncan 14' Pullup Jump Shot
