game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,0,0,00:12:00,00:00:00,00:00:00,1,IND,jump ball,,Roy Hibbert,Jason Thompson,,,,,,,Jason Thompson,,David West,,,,jump ball,,,,,,Jump Ball Thompson vs. Hibbert: Tip to West
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,0,0,00:11:49,00:00:11,00:00:11,2,IND,turnover,,,,,,,,,,Lance Stephenson,,,bad pass ,,DeMarcus Cousins,bad pass ,,,,,,"Stephenson Bad Pass Turnover (P1.T1), Cousins STEAL (1 STL)"
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,0,0,00:11:26,00:00:34,00:00:23,3,SAC,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,20,143,143,39.3,74.7,MISS Cousins 20' Jump Shot
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,0,0,00:11:26,00:00:34,00:00:00,4,IND,rebound,,,,,,,,,,George Hill,,,,,,rebound defensive,,,,,,Hill REBOUND (Off:0 Def:1)
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,2,0,00:11:09,00:00:51,00:00:17,5,IND,shot,Paul George,,,,,,,,,David West,2,,,made,,Layup,2,-5,15,25.5,6.5,West 2' Layup (2 PTS) (George 1 AST)
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,2,0,00:10:50,00:01:10,00:00:19,6,SAC,turnover,,,,,,,,,,DeMarcus Cousins,,,backcourt,,,backcourt,,,,,,Cousins Backcourt Turnover (P1.T1)
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,2,0,00:10:33,00:01:27,00:00:17,7,IND,miss,,,,,,,,,,David West,0,,,missed,,Jump Shot,16,67,143,18.3,19.3,MISS West 16' Jump Shot
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,2,0,00:10:32,00:01:28,00:00:01,8,SAC,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:1)
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,2,2,00:10:22,00:01:38,00:00:10,9,SAC,shot,,,,,,,,,,Jason Thompson,2,,,made,,Turnaround Jump Shot,15,-152,11,9.8,87.9,Thompson 15' Turnaround Jump Shot (2 PTS)
"=""0021200231""",2012-2013 Regular Season,2012-11-30,Paul George,David West,Roy Hibbert,George Hill,Lance Stephenson,John Salmons,Jason Thompson,DeMarcus Cousins,Marcus Thornton,Aaron Brooks,1,2,2,00:10:22,00:01:38,00:00:00,10,IND,foul,,,,,,,,Jason Thompson,,David West,,,s.foul,,,s.foul,,,,,,West S.FOUL (P1.T1)
