game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,1,CLE,jump ball,,Anderson Varejao,Greg Monroe,,,,,,,Greg Monroe,,Jeremy Pargo,,,,jump ball,,,,,,Jump Ball Monroe vs. Varejao: Tip to Pargo
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:39,00:00:21,00:00:21,2,CLE,miss,,,,,,,,,,Jeremy Pargo,0,,,missed,,Floating Jump Shot,9,-81,42,33.1,9.2,MISS Pargo 9' Floating Jump Shot
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:37,00:00:23,00:00:02,3,CLE,rebound,,,,,,,,,,Jeremy Pargo,,,,,,rebound offensive,,,,,,Pargo REBOUND (Off:1 Def:0)
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:20,00:00:40,00:00:17,4,CLE,miss,,,,Kyle Singler,,,,,,Alonzo Gee,0,,,missed,,Jump Shot,3,23,22,22.7,7.2,"MISS Gee 3' Jump Shot, Singler BLOCK (1 BLK)"
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:18,00:00:42,00:00:02,5,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,rebound offensive,,,,,,Varejao REBOUND (Off:1 Def:0)
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:12,00:00:48,00:00:06,6,CLE,miss,,,,,,,,,,Jeremy Pargo,0,,,missed,,Jump Shot,15,37,142,21.3,19.2,MISS Pargo 15' Jump Shot
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:11,00:00:49,00:00:01,7,CLE,rebound,,,,,,,,,,Jeremy Pargo,,,,,,rebound offensive,,,,,,Pargo REBOUND (Off:2 Def:0)
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:10,00:00:50,00:00:01,8,CLE,miss,,,,,,,,,,Jeremy Pargo,0,,,missed,,Layup,0,-2,0,25.2,5.0,MISS Pargo  Layup
"=""0021200246""",2012-2013 Regular Season,2012-12-03,Omri Casspi,Tristan Thompson,Anderson Varejao,Alonzo Gee,Jeremy Pargo,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:10,00:00:50,00:00:00,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
