game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,1,UTA,jump ball,,Al Jefferson,Roy Hibbert,,,,,,,Roy Hibbert,,Mo Williams,,,,jump ball,,,,,,Jump Ball Hibbert vs. Jefferson: Tip to Williams
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:11:38,00:00:22,00:00:22,3,UTA,turnover,,,,,,,,,,Mo Williams,,,poss lost ball,,,poss lost ball,,,,,,Williams Poss Lost Ball Turnover (P1.T1)
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,2,00:11:27,00:00:33,00:00:11,4,IND,shot,David West,,,,,,,,,Roy Hibbert,2,,,made,,Jump Hook Shot,9,80,37,33.0,85.3,Hibbert 9' Jump Hook Shot (2 PTS) (West 1 AST)
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,2,00:11:05,00:00:55,00:00:22,5,UTA,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Jump Shot,19,84,170,16.6,22.0,MISS Millsap 19' Jump Shot
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,2,00:11:04,00:00:56,00:00:01,6,UTA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound offensive,,,,,,Williams REBOUND (Off:1 Def:0)
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,2,00:11:00,00:01:00,00:00:04,7,UTA,miss,,,,,,,,,,Randy Foye,0,,,missed,,Jump Shot,26,151,209,9.9,25.9,MISS Foye 26' 3PT Jump Shot
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,2,00:10:59,00:01:01,00:00:01,8,UTA,rebound,,,,,,,,,,Paul Millsap,,,,,,rebound offensive,,,,,,Millsap REBOUND (Off:1 Def:0)
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,3,2,00:10:54,00:01:06,00:00:05,9,UTA,shot,Paul Millsap,,,,,,,,,Mo Williams,3,,,made,,Jump Shot,27,-188,192,43.8,24.2,Williams 27' 3PT Jump Shot (3 PTS) (Millsap 1 AST)
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,3,2,00:10:39,00:01:21,00:00:15,10,IND,miss,,,,,,,,,,George Hill,0,,,missed,,Jump Shot,20,20,201,27.0,68.9,MISS Hill 20' Jump Shot
"=""0021200369""",2012-2013 Regular Season,2012-12-19,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Mo Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,3,2,00:10:37,00:01:23,00:00:02,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Jazz Rebound
