game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,1,DET,jump ball,,Emeka Okafor,Greg Monroe,,,,,,,Greg Monroe,,Jason Maxiell,,,,jump ball,,,,,,Jump Ball Monroe vs. Okafor: Tip to Maxiell
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:35,00:00:25,00:00:25,2,DET,miss,,,,,,,,,,Kyle Singler,0,,,missed,,Jump Shot,27,-112,246,13.8,64.4,MISS Singler 27' 3PT Jump Shot
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:34,00:00:26,00:00:01,3,WAS,rebound,,,,,,,,,,Emeka Okafor,,,,,,rebound defensive,,,,,,Okafor REBOUND (Off:0 Def:1)
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:10,00:00:50,00:00:24,5,WAS,miss,,,,,,,,,,Jordan Crawford,0,,,missed,,Jump Shot,19,-180,66,43.0,11.6,MISS Crawford 19' Jump Shot
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:11:09,00:00:51,00:00:01,6,WAS,rebound,,,,,,,,,,Emeka Okafor,,,,,,rebound offensive,,,,,,Okafor REBOUND (Off:1 Def:1)
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:10:50,00:01:10,00:00:19,7,WAS,miss,,,,,,,,,,Jordan Crawford,0,,,missed,,Jump Shot,20,-109,172,35.9,22.2,MISS Crawford 20' Jump Shot
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,0,00:10:49,00:01:11,00:00:01,8,DET,rebound,,,,,,,,,,Greg Monroe,,,,,,rebound defensive,,,,,,Monroe REBOUND (Off:0 Def:1)
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,3,00:10:37,00:01:23,00:00:12,9,DET,shot,Tayshaun Prince,,,,,,,,,Brandon Knight,3,,,made,,Jump Shot,28,-123,246,12.7,64.4,Knight 28' 3PT Jump Shot (3 PTS) (Prince 1 AST)
"=""0021200384""",2012-2013 Regular Season,2012-12-21,Martell Webster,Kevin Seraphin,Emeka Okafor,Jordan Crawford,Shaun Livingston,Tayshaun Prince,Jason Maxiell,Greg Monroe,Kyle Singler,Brandon Knight,1,0,3,00:10:17,00:01:43,00:00:20,10,WAS,miss,,,,,,,,,,Kevin Seraphin,0,,,missed,,Jump Shot,16,-146,63,39.6,11.3,MISS Seraphin 16' Jump Shot
