game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:12:00,00:00:00,00:00:00,1,BKN,jump ball,,Lavoy Allen,Brook Lopez,,,,,,,Brook Lopez,,Gerald Wallace,,,,jump ball,,,,,,Jump Ball Lopez vs. Allen: Tip to Wallace
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:41,00:00:19,00:00:19,2,BKN,miss,,,,,,,,,,Keith Bogans,0,,,missed,,Jump Shot,25,-245,53,0.5,83.7,MISS Bogans 25' 3PT Jump Shot
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:36,00:00:24,00:00:05,3,PHI,rebound,,,,,,,,,,Jason Richardson,,,,,,rebound defensive,,,,,,Richardson REBOUND (Off:0 Def:1)
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:26,00:00:34,00:00:10,4,PHI,miss,,,,,,,,,,Jason Richardson,0,,,missed,,Driving Jump Shot,6,-37,48,28.7,9.8,MISS Richardson 6' Driving Jump Shot
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:26,00:00:34,00:00:00,5,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound offensive,,,,,,Young REBOUND (Off:1 Def:0)
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:26,00:00:34,00:00:00,6,PHI,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Tip Shot,2,-24,4,27.4,5.4,MISS Young 2' Tip Shot
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,0,00:11:26,00:00:34,00:00:00,7,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,NETS Rebound
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:11:10,00:00:50,00:00:16,8,BKN,shot,Gerald Wallace,,,,,,,,,Joe Johnson,2,,,made,,Jump Shot,19,110,149,36.0,74.1,Johnson 19' Jump Shot (2 PTS) (Wallace 1 AST)
"=""0021200399""",2012-2013 Regular Season,2012-12-23,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,Keith Bogans,Gerald Wallace,Brook Lopez,Joe Johnson,Deron Williams,1,0,2,00:10:50,00:01:10,00:00:20,9,PHI,miss,,,,Brook Lopez,,,,,,Jason Richardson,0,,,missed,,Jump Shot,17,166,30,8.4,8.0,"MISS Richardson 17' Jump Shot, Lopez BLOCK (1 BLK)"
