game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,1,SAS,jump ball,,Chris Kaman,Tim Duncan,,,,,,,Tim Duncan,,Tiago Splitter,,,,jump ball,,,,,,Jump Ball Duncan vs. Kaman: Tip to Splitter
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,0,3,00:11:40,00:00:20,00:00:20,2,SAS,shot,Tony Parker,,,,,,,,,Danny Green,3,,,made,,Jump Shot,25,48,241,29.8,64.9,Green 25' 3PT Jump Shot (3 PTS) (Parker 1 AST)
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,2,3,00:11:26,00:00:34,00:00:14,3,DAL,shot,Shawn Marion,,,,,,,,,Chris Kaman,2,,,made,,Jump Shot,19,108,154,14.2,20.4,Kaman 19' Jump Shot (2 PTS) (Marion 1 AST)
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,2,3,00:11:05,00:00:55,00:00:21,4,SAS,miss,,,,,,,,,,Tiago Splitter,0,,,missed,,Layup,2,17,6,26.7,88.4,MISS Splitter 2' Layup
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,2,3,00:11:03,00:00:57,00:00:02,5,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,rebound defensive,,,,,,Marion REBOUND (Off:0 Def:1)
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,4,3,00:10:55,00:01:05,00:00:08,6,DAL,shot,Dominique Jones,,,,,,,,,Chris Kaman,2,,,made,,Jump Shot,5,-48,20,29.8,7.0,Kaman 5' Jump Shot (4 PTS) (Jones 1 AST)
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,4,3,00:10:30,00:01:30,00:00:25,7,SAS,miss,,,,,,,,,,Tim Duncan,0,,,missed,,Jump Shot,19,53,183,30.3,70.7,MISS Duncan 19' Jump Shot
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,4,3,00:10:29,00:01:31,00:00:01,8,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,rebound defensive,,,,,,Marion REBOUND (Off:0 Def:2)
"=""0021200402""",2012-2013 Regular Season,2012-12-23,Dahntay Jones,Shawn Marion,Chris Kaman,O.J. Mayo,Dominique Jones,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Tony Parker,1,4,3,00:10:19,00:01:41,00:00:10,9,DAL,miss,,,,,,,,,,Dominique Jones,0,,,missed,,Jump Shot,10,-89,44,33.9,9.4,MISS Jones 10' Jump Shot
