game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,1,MIA,jump ball,,Chris Bosh,Bismack Biyombo,,,,,,,Bismack Biyombo,,Mario Chalmers,,,,jump ball,,,,,,Jump Ball Biyombo vs. Bosh: Tip to Chalmers
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,3,0,00:11:33,00:00:27,00:00:27,2,MIA,shot,Chris Bosh,,,,,,,,,Mario Chalmers,3,,,made,,Jump Shot,29,140,255,11.0,30.5,Chalmers 29' 3PT Jump Shot (3 PTS) (Bosh 1 AST)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,3,0,00:11:07,00:00:53,00:00:26,3,CHA,miss,,,,,,,,,,Hakim Warrick,0,,,missed,,Jump Shot,17,7,173,25.7,71.7,MISS Warrick 17' Jump Shot
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,3,0,00:11:05,00:00:55,00:00:02,4,MIA,rebound,,,,,,,,,,Dwyane Wade,,,,,,rebound defensive,,,,,,Wade REBOUND (Off:0 Def:1)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,5,0,00:11:00,00:01:00,00:00:05,5,MIA,shot,Dwyane Wade,,,,,,,,,LeBron James,2,,,made,,Reverse Dunk,1,-10,7,26.0,5.7,James 1' Reverse Dunk (2 PTS) (Wade 1 AST)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,5,0,00:10:39,00:01:21,00:00:21,6,CHA,miss,,,,,,,,,,Gerald Henderson,0,,,missed,,Layup,2,-5,22,24.5,86.8,MISS Henderson 2' Layup
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,5,0,00:10:38,00:01:22,00:00:01,7,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,rebound defensive,,,,,,Haslem REBOUND (Off:0 Def:1)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,5,0,00:10:30,00:01:30,00:00:08,8,MIA,miss,,,,Bismack Biyombo,,,,,,Mario Chalmers,0,,,missed,,Floating Jump Shot,4,36,9,21.4,5.9,"MISS Chalmers 4' Floating Jump Shot, Biyombo BLOCK (1 BLK)"
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,5,0,00:10:30,00:01:30,00:00:00,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Heat Rebound
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,7,0,00:10:19,00:01:41,00:00:11,10,MIA,shot,Dwyane Wade,,,,,,,,,Chris Bosh,2,,,made,,Dunk,1,-2,6,25.2,5.6,Bosh 1' Dunk (2 PTS) (Wade 2 AST)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,7,0,00:09:59,00:02:01,00:00:20,11,CHA,turnover,,,,,,,,,,Michael Kidd-Gilchrist,,,lost ball ,,Chris Bosh,lost ball ,,,,,,"Bosh STEAL (1 STL), Kidd-Gilchrist Lost Ball Turnover (P1.T1)"
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,9,0,00:09:54,00:02:06,00:00:05,12,MIA,shot,,,,,,,,,,LeBron James,2,,,made,,Driving Dunk,1,0,6,25.0,5.6,James 1' Driving Dunk (4 PTS)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,9,0,00:09:47,00:02:13,00:00:07,13,,timeout,,,,,,,,,,,,,,,, timeout: short,,,,,,BOBCATS Timeout: Short (Full 0 Short 1)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,9,2,00:09:29,00:02:31,00:00:18,15,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,Jump Shot,20,6,197,25.6,69.3,Walker 20' Jump Shot (2 PTS)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,9,2,00:09:16,00:02:44,00:00:13,16,MIA,miss,,,,,,,,,,Mario Chalmers,0,,,missed,,Jump Shot,23,-232,31,48.2,8.1,MISS Chalmers  3PT Jump Shot
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,9,2,00:09:15,00:02:45,00:00:01,17,CHA,rebound,,,,,,,,,,Gerald Henderson,,,,,,rebound defensive,,,,,,Henderson REBOUND (Off:0 Def:1)
"=""0021200411""",2012-2013 Regular Season,2012-12-26,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Michael Kidd-Gilchrist,Hakim Warrick,Bismack Biyombo,Gerald Henderson,Kemba Walker,1,9,2,00:09:01,00:02:59,00:00:14,18,CHA,miss,,,,Dwyane Wade,,,,,,Kemba Walker,0,,,missed,,Layup,3,-10,25,24.0,86.5,"Wade BLOCK (1 BLK), MISS Walker 3' Layup"
