game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,0,0,00:12:00,00:00:00,00:00:00,1,UTA,jump ball,,DeAndre Jordan,Al Jefferson,,,,,,,Al Jefferson,,Paul Millsap,,,,jump ball,,,,,,Jump Ball Jefferson vs. Jordan: Tip to Millsap
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,0,0,00:11:40,00:00:20,00:00:20,2,UTA,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Jump Bank Shot,9,-76,42,17.4,84.8,MISS Millsap 9' Jump Bank Shot
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,0,0,00:11:39,00:00:21,00:00:01,3,LAC,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound defensive,,,,,,Griffin REBOUND (Off:0 Def:1)
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,2,0,00:11:24,00:00:36,00:00:15,4,LAC,shot,,,,,,,,,,Caron Butler,2,,,made,,Jump Shot,19,-160,105,41.0,15.5,Butler 19' Jump Shot (2 PTS)
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,2,0,00:11:11,00:00:49,00:00:13,5,UTA,miss,,,,,,,,,,Al Jefferson,0,,,missed,,Jump Shot,19,86,172,33.6,71.8,MISS Jefferson 19' Jump Shot
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,2,0,00:11:10,00:00:50,00:00:01,6,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Clippers Rebound
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,2,0,00:10:53,00:01:07,00:00:17,7,LAC,miss,,,,,,,,,,Caron Butler,0,,,missed,,Jump Shot,21,-114,176,36.4,22.6,MISS Butler 21' Jump Shot
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,2,0,00:10:52,00:01:08,00:00:01,8,UTA,rebound,,,,,,,,,,Al Jefferson,,,,,,rebound defensive,,,,,,Jefferson REBOUND (Off:0 Def:1)
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,2,0,00:10:44,00:01:16,00:00:08,9,UTA,turnover,,,,,,,,,,Jamaal Tinsley,,,bad pass ,,DeAndre Jordan,bad pass ,,,,,,"Jordan STEAL (1 STL), Tinsley Bad Pass Turnover (P1.T1)"
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,4,0,00:10:25,00:01:35,00:00:19,10,LAC,shot,,,,,,,,,,Caron Butler,2,,,made,,Driving Layup,2,23,3,22.7,5.3,Butler 2' Driving Layup (4 PTS)
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,4,3,00:10:08,00:01:52,00:00:17,11,UTA,shot,Paul Millsap,,,,,,,,,Randy Foye,3,,,made,,Jump Shot,25,-136,205,11.4,68.5,Foye 25' 3PT Jump Shot (3 PTS) (Millsap 1 AST)
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,6,3,00:09:51,00:02:09,00:00:17,12,LAC,shot,Chris Paul,,,,,,,,,Willie Green,2,,,made,,Jump Shot,19,106,153,14.4,20.3,Green 19' Jump Shot (2 PTS) (Paul 1 AST)
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,6,5,00:09:32,00:02:28,00:00:19,13,UTA,shot,,,,,,,,,,Marvin Williams,2,,,made,,Jump Shot,19,-30,187,22.0,70.3,Williams 19' Jump Shot (2 PTS)
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,6,5,00:09:04,00:02:56,00:00:28,14,LAC,miss,,,,,,,,,,Willie Green,0,,,missed,,Jump Shot,21,163,134,8.7,18.4,MISS Green 21' Jump Shot
"=""0021200433""",2012-2013 Regular Season,2012-12-28,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Marvin Williams,Paul Millsap,Al Jefferson,Randy Foye,Jamaal Tinsley,1,6,5,00:09:03,00:02:57,00:00:01,15,UTA,rebound,,,,,,,,,,Al Jefferson,,,,,,rebound defensive,,,,,,Jefferson REBOUND (Off:0 Def:2)
