game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,0,0,00:12:00,00:00:00,00:00:00,1,DAL,jump ball,,Chris Kaman,Emeka Okafor,,,,,,,Emeka Okafor,,Shawn Marion,,,,jump ball,,,,,,Jump Ball Okafor vs. Kaman: Tip to Marion
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,0,00:11:43,00:00:17,00:00:17,2,DAL,shot,,,,,,,,,,Vince Carter,2,,,made,,Driving Dunk,2,13,-11,23.7,3.9,Carter 2' Driving Dunk (2 PTS)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,0,00:11:21,00:00:39,00:00:22,3,WAS,miss,,,,,,,,,,Emeka Okafor,0,,,missed,,Jump Shot,16,-141,83,10.9,80.7,MISS Okafor 16' Jump Shot
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,0,00:11:20,00:00:40,00:00:01,4,WAS,rebound,,,,,,,,,,Martell Webster,,,,,,rebound offensive,,,,,,Webster REBOUND (Off:1 Def:0)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,0,00:11:19,00:00:41,00:00:01,5,DAL,foul,,,,,,,,Martell Webster,,Chris Kaman,,,s.foul,,,s.foul,,,,,,Kaman S.FOUL (P1.T1)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,1,00:11:19,00:00:41,00:00:00,6,WAS,free throw,,,,,,,1,,2,Martell Webster,1,,,made,,Free Throw 1 of 2,,,,,,Webster Free Throw 1 of 2 (1 PTS)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:11:19,00:00:41,00:00:00,8,WAS,free throw,,,,,,,2,,2,Martell Webster,1,,,made,,Free Throw 2 of 2,,,,,,Webster Free Throw 2 of 2 (2 PTS)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:11:07,00:00:53,00:00:12,10,DAL,miss,,,,,,,,,,Chris Kaman,0,,,missed,,Jump Shot,14,-130,-47,38.0,0.3,MISS Kaman 14' Jump Shot
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:11:06,00:00:54,00:00:01,11,WAS,rebound,,,,,,,,,,Emeka Okafor,,,,,,rebound defensive,,,,,,Okafor REBOUND (Off:0 Def:1)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:55,00:01:05,00:00:11,12,WAS,miss,,,,,,,,,,Bradley Beal,0,,,missed,,Jump Shot,18,179,-36,42.9,92.6,MISS Beal 18' Jump Shot
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:54,00:01:06,00:00:01,13,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,rebound defensive,,,,,,Marion REBOUND (Off:0 Def:1)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:47,00:01:13,00:00:07,14,DAL,miss,,,,,,,,,,Vince Carter,0,,,missed,,Jump Shot,26,-180,183,43.0,23.3,MISS Carter 26' 3PT Jump Shot
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:46,00:01:14,00:00:01,15,DAL,rebound,,,,,,,,,,O.J. Mayo,,,,,,rebound offensive,,,,,,Mayo REBOUND (Off:1 Def:0)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:36,00:01:24,00:00:10,16,DAL,miss,,,,,,,,,,Chris Kaman,0,,,missed,,Jump Shot,18,-175,-36,42.5,1.4,MISS Kaman 18' Jump Shot
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:35,00:01:25,00:00:01,17,WAS,rebound,,,,,,,,,,Garrett Temple,,,,,,rebound defensive,,,,,,Temple REBOUND (Off:0 Def:1)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:23,00:01:37,00:00:12,18,WAS,miss,,,,,,,,,,Nene,0,,,missed,,Jump Shot,17,-136,107,11.4,78.3,MISS Nene 17' Jump Shot
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:21,00:01:39,00:00:02,19,WAS,rebound,,,,,,,,,,Emeka Okafor,,,,,,rebound offensive,,,,,,Okafor REBOUND (Off:1 Def:1)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:19,00:01:41,00:00:02,20,DAL,foul,,,,,,,,Bradley Beal,,O.J. Mayo,,,s.foul,,,s.foul,,,,,,Mayo S.FOUL (P1.T2)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:19,00:01:41,00:00:00,21,WAS,free throw,,,,,,,1,,2,Bradley Beal,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Beal Free Throw 1 of 2
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,2,00:10:19,00:01:41,00:00:00,22,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,WIZARDS Rebound
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,3,00:10:19,00:01:41,00:00:00,23,WAS,free throw,,,,,,,2,,2,Bradley Beal,1,,,made,,Free Throw 2 of 2,,,,,,Beal Free Throw 2 of 2 (1 PTS)
"=""0021200458""",2012-2013 Regular Season,2013-01-01,Vince Carter,Shawn Marion,Chris Kaman,O.J. Mayo,Darren Collison,Martell Webster,Nene,Emeka Okafor,Bradley Beal,Garrett Temple,1,2,3,00:10:05,00:01:55,00:00:14,26,DAL,turnover,,,,,,,,,,Darren Collison,,,bad pass ,,Nene,bad pass ,,,,,,"Collison Bad Pass Turnover (P1.T1), Nene STEAL (1 STL)"
