game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:12:00,00:00:00,00:00:00,1,BOS,jump ball,,Kevin Garnett,Tyson Chandler,,,,,,,Tyson Chandler,,Jason Terry,,,,jump ball,,,,,,Jump Ball Chandler vs. Garnett: Tip to Terry
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:11:45,00:00:15,00:00:15,2,BOS,miss,,,,,,,,,,Paul Pierce,0,,,missed,,Jump Shot,25,228,104,2.2,15.4,MISS Pierce 25' 3PT Jump Shot
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:11:43,00:00:17,00:00:02,3,NYK,rebound,,,,,,,,,,Marcus Camby,,,,,,rebound defensive,,,,,,Camby REBOUND (Off:0 Def:1)
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:11:25,00:00:35,00:00:18,4,NYK,miss,,,,,,,,,,Carmelo Anthony,0,,,missed,,Jump Shot,19,176,82,42.6,80.8,MISS Anthony 19' Jump Shot
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:11:23,00:00:37,00:00:02,5,BOS,rebound,,,,,,,,,,Jason Terry,,,,,,rebound defensive,,,,,,Terry REBOUND (Off:0 Def:1)
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:11:17,00:00:43,00:00:06,6,BOS,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Driving Layup,1,-13,-5,26.3,4.5,MISS Bradley 1' Driving Layup
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:11:15,00:00:45,00:00:02,7,NYK,rebound,,,,,,,,,,Tyson Chandler,,,,,,rebound defensive,,,,,,Chandler REBOUND (Off:0 Def:1)
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:10:54,00:01:06,00:00:21,8,NYK,turnover,,,,,,,,,,Jason Kidd,,,lost ball ,,Avery Bradley,lost ball ,,,,,,"Bradley STEAL (1 STL), Kidd Lost Ball Turnover (P1.T1)"
"=""0021200505""",2012-2013 Regular Season,2013-01-07,Brandon Bass,Paul Pierce,Kevin Garnett,Avery Bradley,Jason Terry,Carmelo Anthony,Marcus Camby,Tyson Chandler,Ronnie Brewer,Jason Kidd,1,0,0,00:10:45,00:01:15,00:00:09,9,BOS,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Jump Shot,23,-228,-24,47.8,2.6,MISS Bradley  3PT Jump Shot
