game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,1,LAC,jump ball,,Chris Kaman,DeAndre Jordan,,,,,,,DeAndre Jordan,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Jordan vs. Kaman: Tip to Griffin
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:11:45,00:00:15,00:00:15,2,DAL,foul,,,,,,,,DeAndre Jordan,,Chris Kaman,,,s.foul,,,s.foul,,,,,,Kaman S.FOUL (P1.T1)
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,1,00:11:45,00:00:15,00:00:00,3,LAC,free throw,,,,,,,1,,2,DeAndre Jordan,1,,,made,,Free Throw 1 of 2,,,,,,Jordan Free Throw 1 of 2 (1 PTS)
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,2,00:11:45,00:00:15,00:00:00,5,LAC,free throw,,,,,,,2,,2,DeAndre Jordan,1,,,made,,Free Throw 2 of 2,,,,,,Jordan Free Throw 2 of 2 (2 PTS)
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,2,00:11:32,00:00:28,00:00:13,7,DAL,turnover,,,,,,,,,,Dirk Nowitzki,,,bad pass ,,DeAndre Jordan,bad pass ,,,,,,"Nowitzki Bad Pass Turnover (P1.T1), Jordan STEAL (1 STL)"
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,2,00:11:27,00:00:33,00:00:05,8,LAC,miss,,,,,,,,,,DeAndre Jordan,0,,,missed,,Driving Finger Roll Layup,2,0,22,25.0,86.8,MISS Jordan 2' Driving Finger Roll Layup
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,2,00:11:23,00:00:37,00:00:04,9,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,rebound defensive,,,,,,Nowitzki REBOUND (Off:0 Def:1)
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,2,00:11:22,00:00:38,00:00:01,10,DAL,turnover,,,,,,,,,,Shawn Marion,,,double dribble turnover,,,double dribble turnover,,,,,,Marion Double Dribble Turnover (P1.T2)
"=""0021200525""",2012-2013 Regular Season,2013-01-09,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,4,00:11:06,00:00:54,00:00:16,11,LAC,shot,Chris Paul,,,,,,,,,DeAndre Jordan,2,,,made,,Layup,3,28,12,27.8,87.8,Jordan 3' Layup (4 PTS) (Paul 1 AST)
