game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,0,0,00:12:00,00:00:00,00:00:00,1,SAC,jump ball,,Chris Bosh,Jason Thompson,,,,,,,Jason Thompson,,Francisco Garcia,,,,jump ball,,,,,,Jump Ball Thompson vs. Bosh: Tip to Garcia
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,0,0,00:11:44,00:00:16,00:00:16,2,SAC,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Layup,2,-24,4,22.6,88.6,MISS Cousins 2' Layup
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,0,0,00:11:43,00:00:17,00:00:01,3,MIA,rebound,,,,,,,,,,Mario Chalmers,,,,,,rebound defensive,,,,,,Chalmers REBOUND (Off:0 Def:1)
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,2,0,00:11:30,00:00:30,00:00:13,4,MIA,shot,,,,,,,,,,Mario Chalmers,2,,,made,,Driving Layup,2,18,14,23.2,6.4,Chalmers 2' Driving Layup (2 PTS)
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,2,0,00:11:22,00:00:38,00:00:08,5,SAC,turnover,,,,,,,,,,John Salmons,,,bad pass ,,LeBron James,bad pass ,,,,,,"James STEAL (1 STL), Salmons Bad Pass Turnover (P1.T1)"
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,4,0,00:11:18,00:00:42,00:00:04,6,MIA,shot,,,,,,,,,,LeBron James,2,,,made,,Slam Dunk,0,3,-1,24.7,4.9,James  Slam Dunk (2 PTS)
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,4,2,00:10:58,00:01:02,00:00:20,7,SAC,shot,,,,,,,,,,DeMarcus Cousins,2,,,made,,Jump Hook Shot,5,42,30,29.2,86.0,Cousins 5' Jump Hook Shot (2 PTS)
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,4,2,00:10:41,00:01:19,00:00:17,8,MIA,miss,,,,,,,,,,Chris Bosh,0,,,missed,,Jump Shot,14,141,-2,10.9,4.8,MISS Bosh 14' Jump Shot
"=""0021200548""",2012-2013 Regular Season,2013-01-12,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,John Salmons,Jason Thompson,DeMarcus Cousins,Francisco Garcia,Isaiah Thomas,1,4,2,00:10:40,00:01:20,00:00:01,9,SAC,rebound,,,,,,,,,,Francisco Garcia,,,,,,rebound defensive,,,,,,Garcia REBOUND (Off:0 Def:1)
