game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,1,DAL,jump ball,,Nikola Pekovic,Chris Kaman,,,,,,,Chris Kaman,,Darren Collison,,,,jump ball,,,,,,Jump Ball Kaman vs. Pekovic: Tip to Collison
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,0,0,00:11:40,00:00:20,00:00:20,2,MIN,foul,,,,,,,,Darren Collison,,Luke Ridnour,,,s.foul,,,s.foul,,,,,,Ridnour S.FOUL (P1.T1)
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,0,1,00:11:40,00:00:20,00:00:00,3,DAL,free throw,,,,,,,1,,2,Darren Collison,1,,,made,,Free Throw 1 of 2,,,,,,Collison Free Throw 1 of 2 (1 PTS)
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,0,2,00:11:40,00:00:20,00:00:00,5,DAL,free throw,,,,,,,2,,2,Darren Collison,1,,,made,,Free Throw 2 of 2,,,,,,Collison Free Throw 2 of 2 (2 PTS)
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,0,2,00:11:27,00:00:33,00:00:13,7,DAL,foul,,,,,,,,Nikola Pekovic,,Chris Kaman,,,p.foul,,,p.foul,,,,,,Kaman P.FOUL (P1.T1)
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,2,2,00:11:19,00:00:41,00:00:08,8,MIN,shot,Andrei Kirilenko,,,,,,,,,Dante Cunningham,2,,,made,,Reverse Layup,2,18,0,23.2,5.0,Cunningham 2' Reverse Layup (2 PTS) (Kirilenko 1 AST)
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,2,4,00:11:01,00:00:59,00:00:18,9,DAL,shot,Chris Kaman,,,,,,,,,Darren Collison,2,,,made,,Jump Shot,20,48,190,29.8,70.0,Collison 20' Jump Shot (4 PTS) (Kaman 1 AST)
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,2,4,00:10:41,00:01:19,00:00:20,10,MIN,miss,,,,,,,,,,Alexey Shved,0,,,missed,,Jump Shot,22,184,129,6.6,17.9,MISS Shved 22' Jump Shot
"=""0021200560""",2012-2013 Regular Season,2013-01-14,Andrei Kirilenko,Dante Cunningham,Nikola Pekovic,Alexey Shved,Luke Ridnour,Shawn Marion,Dirk Nowitzki,Chris Kaman,O.J. Mayo,Darren Collison,1,2,4,00:10:40,00:01:20,00:00:01,11,DAL,rebound,,,,,,,,,,Darren Collison,,,,,,rebound defensive,,,,,,Collison REBOUND (Off:0 Def:1)
