game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,0,0,00:12:00,00:00:00,00:00:00,1,LAL,jump ball,,Larry Sanders,Dwight Howard,,,,,,,Dwight Howard,,Steve Nash,,,,jump ball,,,,,,Jump Ball Howard vs. Sanders: Tip to Nash
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,0,0,00:11:48,00:00:12,00:00:12,2,LAL,miss,,,,,,,,,,Earl Clark,0,,,missed,,Jump Shot,18,67,165,31.7,72.5,MISS Clark 18' Jump Shot
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,0,0,00:11:46,00:00:14,00:00:02,3,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,rebound offensive,,,,,,Bryant REBOUND (Off:1 Def:0)
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,0,2,00:11:44,00:00:16,00:00:02,4,LAL,shot,Kobe Bryant,,,,,,,,,Dwight Howard,2,,,made,,Alley Oop Layup,1,-10,3,24.0,88.7,Howard 1' Alley Oop Layup (2 PTS) (Bryant 1 AST)
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,0,2,00:11:26,00:00:34,00:00:18,5,MIL,miss,,,,,,,,,,Brandon Jennings,0,,,missed,,Jump Shot,26,-62,252,31.2,30.2,MISS Jennings 26' 3PT Jump Shot
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,0,2,00:11:25,00:00:35,00:00:01,6,LAL,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound defensive,,,,,,Howard REBOUND (Off:0 Def:1)
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,0,4,00:11:15,00:00:45,00:00:10,7,LAL,shot,Kobe Bryant,,,,,,,,,Dwight Howard,2,,,made,,Alley Oop Dunk,2,-18,-2,23.2,89.2,Howard 2' Alley Oop Dunk (4 PTS) (Bryant 2 AST)
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,2,4,00:11:04,00:00:56,00:00:11,8,MIL,shot,Monta Ellis,,,,,,,,,Larry Sanders,2,,,made,,Running Layup,1,-11,-6,26.1,4.4,Sanders 1' Running Layup (2 PTS) (Ellis 1 AST)
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,2,4,00:10:46,00:01:14,00:00:18,9,MIL,foul,,,,,,,,Dwight Howard,,Larry Sanders,,,s.foul,,,s.foul,,,,,,Sanders S.FOUL (P1.T1)
"=""0021200569""",2012-2013 Regular Season,2013-01-15,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Metta World Peace,Earl Clark,Dwight Howard,Kobe Bryant,Steve Nash,1,2,5,00:10:46,00:01:14,00:00:00,10,LAL,free throw,,,,,,,1,,2,Dwight Howard,1,,,made,,Free Throw 1 of 2,,,,,,Howard Free Throw 1 of 2 (5 PTS)
