game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,0,0,00:12:00,00:00:00,00:00:00,1,IND,jump ball,,Roy Hibbert,Nikola Vucevic,,,,,,,Nikola Vucevic,,Lance Stephenson,,,,jump ball,,,,,,Jump Ball Vucevic vs. Hibbert: Tip to Stephenson
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,0,0,00:11:45,00:00:15,00:00:15,2,IND,turnover,,,,,,,,,,David West,,,bad pass ,,Jameer Nelson,bad pass ,,,,,,"West Bad Pass Turnover (P1.T1), Nelson STEAL (1 STL)"
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,0,0,00:11:30,00:00:30,00:00:15,3,IND,foul,,,,,,,,Arron Afflalo,,Lance Stephenson,,,p.foul,,,p.foul,,,,,,Stephenson P.FOUL (P1.T1)
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,0,0,00:11:15,00:00:45,00:00:15,4,ORL,miss,,,,David West,,,,,,Glen Davis,0,,,missed,,Jump Shot,19,-152,112,9.8,77.8,"West BLOCK (1 BLK), MISS Davis 19' Jump Shot"
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,0,0,00:11:13,00:00:47,00:00:02,5,IND,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1)
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,2,0,00:10:53,00:01:07,00:00:20,6,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,Turnaround Jump Shot,11,-111,15,36.1,6.5,Hibbert 11' Turnaround Jump Shot (2 PTS)
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,2,0,00:10:36,00:01:24,00:00:17,7,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Driving Jump Shot,3,21,22,27.1,86.8,MISS Vucevic 3' Driving Jump Shot
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,2,0,00:10:35,00:01:25,00:00:01,8,ORL,rebound,,,,,,,,,,Glen Davis,,,,,,rebound offensive,,,,,,Davis REBOUND (Off:1 Def:0)
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,2,0,00:10:24,00:01:36,00:00:11,9,ORL,miss,,,,,,,,,,Glen Davis,0,,,missed,,Driving Layup,3,6,25,25.6,86.5,MISS Davis 3' Driving Layup
"=""0021200571""",2012-2013 Regular Season,2013-01-16,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,DeQuan Jones,Glen Davis,Nikola Vucevic,Arron Afflalo,Jameer Nelson,1,2,0,00:10:24,00:01:36,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Pacers Rebound
