game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,1,MEM,jump ball,,Brook Lopez,Marc Gasol,,,,,,,Marc Gasol,,Mike Conley,,,,jump ball,,,,,,Jump Ball Gasol vs. Lopez: Tip to Conley
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:11:41,00:00:19,00:00:19,2,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Running Hook Shot,7,26,61,27.6,82.9,MISS Gasol 7' Running Hook Shot
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:11:39,00:00:21,00:00:02,3,BKN,rebound,,,,,,,,,,Deron Williams,,,,,,rebound defensive,,,,,,D. Williams REBOUND (Off:0 Def:1)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:11:26,00:00:34,00:00:13,4,BKN,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,7,69,12,18.1,6.2,MISS Lopez 7' Jump Shot
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:11:25,00:00:35,00:00:01,5,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,GRIZZLIES Rebound
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:11:04,00:00:56,00:00:21,6,MEM,miss,,,,,,,,,,Tony Allen,0,,,missed,,Reverse Layup,1,-11,6,23.9,88.4,MISS Allen 1' Reverse Layup
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:11:02,00:00:58,00:00:02,7,BKN,rebound,,,,,,,,,,Reggie Evans,,,,,,rebound defensive,,,,,,Evans REBOUND (Off:0 Def:1)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,0,00:10:43,00:01:17,00:00:19,8,BKN,shot,Gerald Wallace,,,,,,,,,Brook Lopez,2,,,made,,Slam Dunk,1,0,7,25.0,5.7,Lopez 1' Slam Dunk (2 PTS) (Wallace 1 AST)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,2,00:10:23,00:01:37,00:00:20,9,MEM,shot,Mike Conley,,,,,,,,,Marc Gasol,2,,,made,,Fadeaway Jumper,11,7,105,25.7,78.5,Gasol 11' Fadeaway Jumper (2 PTS) (Conley 1 AST)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,2,00:09:58,00:02:02,00:00:25,10,BKN,miss,,,,,,,,,,Deron Williams,0,,,missed,,Running Jump Shot,10,-59,85,30.9,13.5,MISS D. Williams 10' Running Jump Shot
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,2,00:09:56,00:02:04,00:00:02,11,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,rebound defensive,,,,,,Gay REBOUND (Off:0 Def:1)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,4,00:09:43,00:02:17,00:00:13,12,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,Jump Shot,13,73,107,32.3,78.3,Randolph 13' Jump Shot (2 PTS)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,4,00:09:22,00:02:38,00:00:21,13,MEM,foul,,,,,,,,Brook Lopez,,Rudy Gay,,,s.foul,,,s.foul,,,,,,Gay S.FOUL (P1.T1)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,4,00:09:22,00:02:38,00:00:00,14,BKN,free throw,,,,,,,1,,2,Brook Lopez,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Lopez Free Throw 1 of 2
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,4,00:09:22,00:02:38,00:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Nets Rebound
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,3,4,00:09:22,00:02:38,00:00:00,16,BKN,free throw,,,,,,,2,,2,Brook Lopez,1,,,made,,Free Throw 2 of 2,,,,,,Lopez Free Throw 2 of 2 (3 PTS)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,3,6,00:09:09,00:02:51,00:00:13,18,MEM,shot,Rudy Gay,,,,,,,,,Marc Gasol,2,,,made,,Jump Shot,10,88,45,33.8,84.5,Gasol 10' Jump Shot (4 PTS) (Gay 1 AST)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,3,6,00:08:54,00:03:06,00:00:15,19,BKN,miss,,,,,,,,,,Gerald Wallace,0,,,missed,,Driving Layup,1,4,-13,24.6,3.7,MISS Wallace 1' Driving Layup
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,3,6,00:08:52,00:03:08,00:00:02,21,BKN,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound offensive,,,,,,Lopez REBOUND (Off:1 Def:0)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,6,00:08:52,00:03:08,00:00:00,20,BKN,shot,,,,,,,,,,Brook Lopez,2,,,made,,Putback Dunk,1,-5,-3,25.5,4.7,Lopez 1' Putback Dunk (5 PTS)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,6,00:08:33,00:03:27,00:00:19,22,MEM,miss,,,,,,,,,,Zach Randolph,0,,,missed,,Running Bank Shot,8,-73,28,17.7,86.2,MISS Randolph 8' Running Bank Shot
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,6,00:08:32,00:03:28,00:00:01,24,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound offensive,,,,,,Gasol REBOUND (Off:1 Def:0)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,6,00:08:32,00:03:28,00:00:00,23,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Tip Shot,2,4,15,25.4,87.5,MISS Gasol 2' Tip Shot
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,6,00:08:30,00:03:30,00:00:02,26,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound offensive,,,,,,Gasol REBOUND (Off:2 Def:0)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,8,00:08:30,00:03:30,00:00:00,25,MEM,shot,,,,,,,,,,Marc Gasol,2,,,made,,Layup,3,26,4,27.6,88.6,Gasol 3' Layup (6 PTS)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,8,00:08:18,00:03:42,00:00:12,27,BKN,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,20,2,195,24.8,24.5,MISS Lopez 20' Jump Shot
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,8,00:08:17,00:03:43,00:00:01,28,MEM,rebound,,,,,,,,,,Mike Conley,,,,,,rebound defensive,,,,,,Conley REBOUND (Off:0 Def:1)
"=""0021200637""",2012-2013 Regular Season,2013-01-25,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,8,00:08:12,00:03:48,00:00:05,29,MEM,miss,,,,Brook Lopez,,,,,,Tony Allen,0,,,missed,,Layup,1,10,6,26.0,88.4,"Lopez BLOCK (1 BLK), MISS Allen 1' Layup"
