game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,1,NOH,jump ball,,Robin Lopez,Marc Gasol,,,,,,,Marc Gasol,,Anthony Davis,,,,jump ball,,,,,,Jump Ball Gasol vs. Lopez: Tip to Davis
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:11:39,00:00:21,00:00:21,2,NOH,miss,,,,,,,,,,Greivis Vasquez,0,,,missed,,Jump Shot,7,-59,28,30.9,7.8,MISS Vasquez 7' Jump Shot
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:11:38,00:00:22,00:00:01,3,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:27,00:00:33,00:00:11,4,MEM,shot,Mike Conley,,,,,,,,,Marc Gasol,2,,,made,,Jump Shot,20,2,200,25.2,69.0,Gasol 20' Jump Shot (2 PTS) (Conley 1 AST)
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,2,00:11:11,00:00:49,00:00:16,5,NOH,shot,Eric Gordon,,,,,,,,,Anthony Davis,2,,,made,,Jump Shot,13,-56,118,30.6,16.8,Davis 13' Jump Shot (2 PTS) (Gordon 1 AST)
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,2,00:10:53,00:01:07,00:00:18,6,MEM,miss,,,,,,,,,,Zach Randolph,0,,,missed,,Jump Shot,18,176,6,42.6,88.4,MISS Randolph 18' Jump Shot
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,2,00:10:53,00:01:07,00:00:00,7,NOH,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,2,00:10:35,00:01:25,00:00:18,8,NOH,miss,,,,Rudy Gay,,,,,,Al-Farouq Aminu,0,,,missed,,Jump Shot,4,10,36,24.0,8.6,"MISS Aminu 4' Jump Shot, Gay BLOCK (1 BLK)"
"=""0021200655""",2012-2013 Regular Season,2013-01-27,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Eric Gordon,Greivis Vasquez,Rudy Gay,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,2,00:10:33,00:01:27,00:00:02,9,MEM,rebound,,,,,,,,,,Tony Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:0 Def:1)
