game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,1,MIN,jump ball,,Spencer Hawes,Nikola Pekovic,,,,,,,Nikola Pekovic,,Ricky Rubio,,,,jump ball,,,,,,Jump Ball Pekovic vs. Hawes: Tip to Rubio
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,2,00:11:54,00:00:06,00:00:06,2,MIN,shot,Ricky Rubio,,,,,,,,,Andrei Kirilenko,2,,,made,,Alley Oop Layup,2,15,12,26.5,87.8,Kirilenko 2' Alley Oop Layup (2 PTS) (Rubio 1 AST)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,2,00:11:38,00:00:22,00:00:16,3,PHI,miss,,,,,,,,,,Lavoy Allen,0,,,missed,,Jump Shot,21,127,168,12.3,21.8,MISS Allen 21' Jump Shot
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,2,00:11:36,00:00:24,00:00:02,4,MIN,rebound,,,,,,,,,,Andrei Kirilenko,,,,,,rebound defensive,,,,,,Kirilenko REBOUND (Off:0 Def:1)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,4,00:11:18,00:00:42,00:00:18,5,MIN,shot,Ricky Rubio,,,,,,,,,Derrick Williams,2,,,made,,Jump Shot,18,-64,165,18.6,72.5,Williams 18' Jump Shot (2 PTS) (Rubio 2 AST)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,4,00:11:02,00:00:58,00:00:16,6,PHI,miss,,,,,,,,,,Spencer Hawes,0,,,missed,,Turnaround Jump Shot,8,69,34,18.1,8.4,MISS Hawes 8' Turnaround Jump Shot
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,4,00:11:01,00:00:59,00:00:01,7,MIN,rebound,,,,,,,,,,Nikola Pekovic,,,,,,rebound defensive,,,,,,Pekovic REBOUND (Off:0 Def:1)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,4,00:10:52,00:01:08,00:00:09,8,MIN,turnover,,,,,,,,,,Ricky Rubio,,,lost ball ,,Jrue Holiday,lost ball ,,,,,,"Holiday STEAL (1 STL), Rubio Lost Ball Turnover (P1.T1)"
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,4,00:10:43,00:01:17,00:00:09,9,PHI,turnover,,,,,,,,,,Evan Turner,,,lost ball ,,Luke Ridnour,lost ball ,,,,,,"Turner Lost Ball Turnover (P1.T1), Ridnour STEAL (1 STL)"
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,4,00:10:23,00:01:37,00:00:20,10,PHI,foul,,,,,,,,Ricky Rubio,,Jrue Holiday,,,p.foul,,,p.foul,,,,,,Holiday P.FOUL (P1.T1)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,6,00:10:12,00:01:48,00:00:11,11,MIN,shot,,,,,,,,,,Ricky Rubio,2,,,made,,Pullup Jump Shot,22,110,189,36.0,70.1,Rubio 22' Pullup Jump Shot (2 PTS)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,6,00:10:02,00:01:58,00:00:10,12,MIN,foul,,,,,,,,Jrue Holiday,,Ricky Rubio,,,p.foul,,,p.foul,,,,,,Rubio P.FOUL (P1.T1)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,6,00:09:57,00:02:03,00:00:05,13,PHI,shot,Spencer Hawes,,,,,,,,,Jrue Holiday,2,,,made,,Jump Shot,12,-11,124,26.1,17.4,Holiday 12' Jump Shot (2 PTS) (Hawes 1 AST)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,6,00:09:39,00:02:21,00:00:18,14,MIN,miss,,,,,,,,,,Nikola Pekovic,0,,,missed,,Running Hook Shot,4,0,45,25.0,84.5,MISS Pekovic 5' Running Hook Shot
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,6,00:09:38,00:02:22,00:00:01,15,PHI,rebound,,,,,,,,,,Spencer Hawes,,,,,,rebound defensive,,,,,,Hawes REBOUND (Off:0 Def:1)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,6,00:09:31,00:02:29,00:00:07,16,PHI,miss,,,,,,,,,,Spencer Hawes,0,,,missed,,Layup,2,-16,-2,26.6,4.8,MISS Hawes 2' Layup
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,6,00:09:30,00:02:30,00:00:01,18,PHI,rebound,,,,,,,,,,Evan Turner,,,,,,rebound offensive,,,,,,Turner REBOUND (Off:1 Def:0)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,4,6,00:09:29,00:02:31,00:00:01,17,PHI,shot,,,,,,,,,,Evan Turner,2,,,made,,Putback Layup,1,4,6,24.6,5.6,Turner 1' Putback Layup (2 PTS)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,4,6,00:09:14,00:02:46,00:00:15,19,PHI,foul,,,,,,,,Andrei Kirilenko,,Evan Turner,,,s.foul,,,s.foul,,,,,,Turner S.FOUL (P1.T2)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,4,7,00:09:14,00:02:46,00:00:00,20,MIN,free throw,,,,,,,1,,2,Andrei Kirilenko,1,,,made,,Free Throw 1 of 2,,,,,,Kirilenko Free Throw 1 of 2 (3 PTS)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,4,8,00:09:14,00:02:46,00:00:00,22,MIN,free throw,,,,,,,2,,2,Andrei Kirilenko,1,,,made,,Free Throw 2 of 2,,,,,,Kirilenko Free Throw 2 of 2 (4 PTS)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,4,8,00:09:05,00:02:55,00:00:09,24,PHI,miss,,,,,,,,,,Nick Young,0,,,missed,,Jump Shot,18,106,151,14.4,20.1,MISS Young 18' Jump Shot
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,4,8,00:09:04,00:02:56,00:00:01,25,MIN,rebound,,,,,,,,,,Derrick Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,4,11,00:09:00,00:03:00,00:00:04,26,MIN,shot,Derrick Williams,,,,,,,,,Luke Ridnour,3,,,made,,Pullup Jump Shot,24,119,209,36.9,68.1,Ridnour 24' 3PT Pullup Jump Shot (3 PTS) (Williams 1 AST)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,11,00:08:43,00:03:17,00:00:17,27,PHI,shot,,,,,,,,,,Jrue Holiday,2,,,made,,Jump Shot,20,-108,164,35.8,21.4,Holiday 20' Jump Shot (4 PTS)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,11,00:08:28,00:03:32,00:00:15,28,MIN,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Driving Layup,1,-11,0,23.9,89.0,MISS Rubio 1' Driving Layup
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,11,00:08:27,00:03:33,00:00:01,29,PHI,rebound,,,,,,,,,,Jrue Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,11,00:08:20,00:03:40,00:00:07,30,PHI,miss,,,,,,,,,,Nick Young,0,,,missed,,Jump Shot,25,163,184,8.7,23.4,MISS Young 25' 3PT Jump Shot
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,11,00:08:20,00:03:40,00:00:00,31,MIN,rebound,,,,,,,,,,Derrick Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:2)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,11,00:08:07,00:03:53,00:00:13,32,MIN,miss,,,,Spencer Hawes,,,,,,Nikola Pekovic,0,,,missed,,Jump Shot,5,6,47,25.6,84.3,"Hawes BLOCK (1 BLK), MISS Pekovic 5' Jump Shot"
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,11,00:08:04,00:03:56,00:00:03,33,MIN,rebound,,,,,,,,,,Luke Ridnour,,,,,,rebound offensive,,,,,,Ridnour REBOUND (Off:1 Def:0)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,14,00:08:01,00:03:59,00:00:03,34,MIN,shot,Luke Ridnour,,,,,,,,,Derrick Williams,3,,,made,,Jump Shot,23,233,6,48.3,88.4,Williams  3PT Jump Shot (5 PTS) (Ridnour 1 AST)
"=""0021200805""",2012-2013 Regular Season,2013-02-20,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,6,14,00:07:50,00:04:10,00:00:11,35,PHI,turnover,,,,,,,,,,Jrue Holiday,,,bad pass ,,Derrick Williams,bad pass ,,,,,,"Holiday Bad Pass Turnover (P1.T2), Williams STEAL (1 STL)"
