game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,0,0,00:12:00,00:00:00,00:00:00,1,MIA,jump ball,,Chris Bosh,Spencer Hawes,,,,,,,Spencer Hawes,,LeBron James,,,,jump ball,,,,,,Jump Ball Hawes vs. Bosh: Tip to James
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,0,0,00:11:41,00:00:19,00:00:19,3,PHI,violation,,,,,,,,,,Spencer Hawes,,,,,,violation:defensive goaltending,,,,,,Hawes Violation:Defensive Goaltending
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,2,0,00:11:41,00:00:19,00:00:00,2,MIA,shot,Mario Chalmers,,,,,,,,,Chris Bosh,2,,,made,,Driving Layup,1,7,7,24.3,5.7,Bosh 1' Driving Layup (2 PTS) (Chalmers 1 AST)
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,2,2,00:11:24,00:00:36,00:00:17,5,PHI,shot,Evan Turner,,,,,,,,,Lavoy Allen,2,,,made,,Layup,1,2,-10,25.2,90.0,Allen 1' Layup (2 PTS) (Turner 1 AST)
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,2,2,00:11:05,00:00:55,00:00:19,6,MIA,miss,,,,,,,,,,Chris Bosh,0,,,missed,,Jump Shot,19,-111,157,36.1,20.7,MISS Bosh 19' Jump Shot
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,2,2,00:11:03,00:00:57,00:00:02,7,PHI,rebound,,,,,,,,,,Evan Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,2,4,00:10:53,00:01:07,00:00:10,8,PHI,shot,,,,,,,,,,Evan Turner,2,,,made,,Fadeaway Jumper,7,-71,-6,17.9,89.6,Turner 7' Fadeaway Jumper (2 PTS)
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,2,4,00:10:34,00:01:26,00:00:19,9,MIA,miss,,,,,,,,,,Chris Bosh,0,,,missed,,Jump Shot,23,233,-11,1.7,3.9,MISS Bosh  3PT Jump Shot
"=""0021200826""",2012-2013 Regular Season,2013-02-23,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,Evan Turner,Lavoy Allen,Spencer Hawes,Nick Young,Jrue Holiday,1,2,4,00:10:32,00:01:28,00:00:02,10,PHI,rebound,,,,,,,,,,Jrue Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
