game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,1,MIN,jump ball,,Andris Biedrins,Nikola Pekovic,,,,,,,Nikola Pekovic,,Andrei Kirilenko,,,,jump ball,,,,,,Jump Ball Pekovic vs. Biedrins: Tip to Kirilenko
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,0,2,00:11:52,00:00:08,00:00:08,2,MIN,shot,Luke Ridnour,,,,,,,,,Andrei Kirilenko,2,,,made,,Driving Layup,1,1,6,25.1,88.4,Kirilenko 1' Driving Layup (2 PTS) (Ridnour 1 AST)
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,2,00:11:33,00:00:27,00:00:19,3,GSW,shot,Stephen Curry,,,,,,,,,Klay Thompson,2,,,made,,Jump Shot,20,113,159,13.7,20.9,Thompson 20' Jump Shot (2 PTS) (Curry 1 AST)
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,4,00:11:19,00:00:41,00:00:14,4,MIN,shot,Luke Ridnour,,,,,,,,,Nikola Pekovic,2,,,made,,Jump Hook Shot,7,51,45,30.1,84.5,Pekovic 7' Jump Hook Shot (2 PTS) (Ridnour 2 AST)
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,4,00:11:11,00:00:49,00:00:08,5,GSW,turnover,,,,,,,,,,Stephen Curry,,,bad pass ,,Ricky Rubio,bad pass ,,,,,,"Curry Bad Pass Turnover (P1.T1), Rubio STEAL (1 STL)"
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,4,00:11:06,00:00:54,00:00:05,6,MIN,miss,,,,Andris Biedrins,,,,,,Nikola Pekovic,0,,,missed,,Layup,1,6,9,25.6,88.1,"Biedrins BLOCK (1 BLK), MISS Pekovic 1' Layup"
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,4,00:11:05,00:00:55,00:00:01,7,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TIMBERWOLVES Rebound
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,4,00:10:55,00:01:05,00:00:10,8,MIN,turnover,,,,,,,,,,Ricky Rubio,,,lost ball ,,Stephen Curry,lost ball ,,,,,,"Curry STEAL (1 STL), Rubio Lost Ball Turnover (P1.T1)"
"=""0021200832""",2012-2013 Regular Season,2013-02-24,Harrison Barnes,David Lee,Andris Biedrins,Klay Thompson,Stephen Curry,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,1,2,4,00:10:45,00:01:15,00:00:10,9,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Pullup Jump Shot,20,0,198,25.0,24.8,MISS Thompson 20' Pullup Jump Shot
