game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:12:00,00:00:00,00:00:00,1,HOU,jump ball,,Larry Sanders,Omer Asik,,,,,,,Omer Asik,,Jeremy Lin,,,,jump ball,,,,,,Jump Ball Asik vs. Sanders: Tip to Lin
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,0,3,00:11:38,00:00:22,00:00:22,2,HOU,shot,James Harden,,,,,,,,,Chandler Parsons,3,,,made,,Jump Shot,23,-234,6,1.6,88.4,Parsons  3PT Jump Shot (3 PTS) (Harden 1 AST)
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,2,3,00:11:14,00:00:46,00:00:24,3,MIL,shot,Brandon Jennings,,,,,,,,,Larry Sanders,2,,,made,,Jump Shot,19,-116,154,36.6,20.4,Sanders 19' Jump Shot (2 PTS) (Jennings 1 AST)
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,2,5,00:10:59,00:01:01,00:00:15,4,HOU,shot,Donatas Motiejunas,,,,,,,,,Omer Asik,2,,,made,,Layup,0,2,3,25.2,88.7,Asik  Layup (2 PTS) (Motiejunas 1 AST)
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,2,5,00:10:37,00:01:23,00:00:22,5,MIL,miss,,,,,,,,,,Ersan Ilyasova,0,,,missed,,Jump Shot,22,-163,145,41.3,19.5,MISS Ilyasova 22' Jump Shot
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,2,5,00:10:36,00:01:24,00:00:01,6,HOU,rebound,,,,,,,,,,Omer Asik,,,,,,rebound defensive,,,,,,Asik REBOUND (Off:0 Def:1)
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,2,7,00:10:26,00:01:34,00:00:10,7,HOU,shot,,,,,,,,,,James Harden,2,,,made,,Driving Layup,4,2,36,25.2,85.4,Harden 4' Driving Layup (2 PTS)
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,2,7,00:10:14,00:01:46,00:00:12,8,MIL,miss,,,,,,,,,,Larry Sanders,0,,,missed,,Driving Layup,4,-16,34,26.6,8.4,MISS Sanders 4' Driving Layup
"=""0021200856""",2012-2013 Regular Season,2013-02-27,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,Donatas Motiejunas,Chandler Parsons,Omer Asik,James Harden,Jeremy Lin,1,2,7,00:10:13,00:01:47,00:00:01,9,HOU,rebound,,,,,,,,,,Omer Asik,,,,,,rebound defensive,,,,,,Asik REBOUND (Off:0 Def:2)
