game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,0,0,00:12:00,00:00:00,00:00:00,1,DEN,jump ball,,Serge Ibaka,Kosta Koufos,,,,,,,Kosta Koufos,,Danilo Gallinari,,,,jump ball,,,,,,Jump Ball Koufos vs. Ibaka: Tip to Gallinari
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,0,0,00:11:42,00:00:18,00:00:18,2,DEN,turnover,,,,,,,,,,Andre Iguodala,,,lost ball ,,Thabo Sefolosha,lost ball ,,,,,,"Sefolosha STEAL (1 STL), Iguodala Lost Ball Turnover (P1.T1)"
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,2,0,00:11:36,00:00:24,00:00:06,3,OKC,shot,Thabo Sefolosha,,,,,,,,,Serge Ibaka,2,,,made,,Dunk,1,-13,1,26.3,5.1,Ibaka 1' Dunk (2 PTS) (Sefolosha 1 AST)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,2,0,00:11:30,00:00:30,00:00:06,4,DEN,turnover,,,,,,,,,,Kenneth Faried,,,bad pass ,,Russell Westbrook,bad pass ,,,,,,"Westbrook STEAL (1 STL), Faried Bad Pass Turnover (P1.T2)"
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,5,0,00:11:25,00:00:35,00:00:05,5,OKC,shot,,,,,,,,,,Russell Westbrook,3,,,made,,Jump Shot,24,-239,-13,48.9,3.7,Westbrook 24' 3PT Jump Shot (3 PTS)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,5,0,00:11:00,00:01:00,00:00:25,6,DEN,miss,,,,,,,,,,Andre Iguodala,0,,,missed,,Jump Shot,25,-221,118,2.9,77.2,MISS Iguodala 25' 3PT Jump Shot
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,5,0,00:10:58,00:01:02,00:00:02,7,OKC,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,5,0,00:10:50,00:01:10,00:00:08,8,OKC,miss,,,,,,,,,,Thabo Sefolosha,0,,,missed,,Jump Shot,24,-210,124,46.0,17.4,MISS Sefolosha 24' 3PT Jump Shot
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,5,0,00:10:49,00:01:11,00:00:01,9,DEN,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound defensive,,,,,,Iguodala REBOUND (Off:0 Def:1)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,5,2,00:10:40,00:01:20,00:00:09,10,DEN,shot,Ty Lawson,,,,,,,,,Kenneth Faried,2,,,made,,Jump Hook Shot,7,-64,28,18.6,86.2,Faried 7' Jump Hook Shot (2 PTS) (Lawson 1 AST)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,7,2,00:10:21,00:01:39,00:00:19,11,OKC,shot,,,,,,,,,,Serge Ibaka,2,,,made,,Jump Shot,15,-142,42,39.2,9.2,Ibaka 15' Jump Shot (4 PTS)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,7,2,00:10:12,00:01:48,00:00:09,12,DEN,miss,,,,Serge Ibaka,,,,,,Ty Lawson,0,,,missed,,Driving Layup,1,-10,9,24.0,88.1,"Ibaka BLOCK (1 BLK), MISS Lawson 1' Driving Layup"
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,7,2,00:10:11,00:01:49,00:00:01,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,NUGGETS Rebound
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,7,2,00:10:04,00:01:56,00:00:07,15,DEN,miss,,,,Kevin Durant,,,,,,Kosta Koufos,0,,,missed,,Jump Shot,5,4,48,25.4,84.2,"Durant BLOCK (1 BLK), MISS Koufos 5' Jump Shot"
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,7,2,00:10:03,00:01:57,00:00:01,16,OKC,rebound,,,,,,,,,,Kendrick Perkins,,,,,,rebound defensive,,,,,,Perkins REBOUND (Off:0 Def:1)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,9,2,00:09:59,00:02:01,00:00:04,17,OKC,shot,Russell Westbrook,,,,,,,,,Kevin Durant,2,,,made,,Slam Dunk,1,9,6,24.1,5.6,Durant 1' Slam Dunk (2 PTS) (Westbrook 1 AST)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,9,2,00:09:43,00:02:17,00:00:16,18,DEN,miss,,,,,,,,,,Kenneth Faried,0,,,missed,,Jump Shot,17,170,12,42.0,87.8,MISS Faried 17' Jump Shot
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,9,2,00:09:42,00:02:18,00:00:01,19,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,9,2,00:09:34,00:02:26,00:00:08,20,OKC,miss,,,,,,,,,,Russell Westbrook,0,,,missed,,Jump Bank Shot,7,-54,42,30.4,9.2,MISS Westbrook 7' Jump Bank Shot
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,9,2,00:09:33,00:02:27,00:00:01,21,DEN,rebound,,,,,,,,,,Kosta Koufos,,,,,,rebound defensive,,,,,,Koufos REBOUND (Off:0 Def:1)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1,9,2,00:09:32,00:02:28,00:00:01,22,OKC,foul,,,,,,,,Ty Lawson,,Russell Westbrook,,,p.foul,,,p.foul,,,,,,Westbrook P.FOUL (P1.T1)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,9,2,00:09:32,00:02:28,00:00:00,23,DEN,sub,,,,,Wilson Chandler,Kenneth Faried,,,,Kenneth Faried,,,,,,sub,,,,,,SUB: Chandler FOR Faried
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,9,4,00:09:25,00:02:35,00:00:07,24,DEN,shot,Andre Iguodala,,,,,,,,,Kosta Koufos,2,,,made,,Dunk,1,-13,0,23.7,89.0,Koufos 1' Dunk (2 PTS) (Iguodala 1 AST)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,11,4,00:09:04,00:02:56,00:00:21,25,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,Turnaround Fadeaway ,15,91,118,15.9,16.8,Durant 15' Turnaround Fadeaway (4 PTS)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,11,6,00:08:52,00:03:08,00:00:12,26,DEN,shot,,,,,,,,,,Wilson Chandler,2,,,made,,Jump Shot,14,136,23,38.6,86.7,Chandler 14' Jump Shot (2 PTS)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,13,6,00:08:37,00:03:23,00:00:15,27,OKC,shot,Kevin Durant,,,,,,,,,Kendrick Perkins,2,,,made,,Layup,1,9,6,24.1,5.6,Perkins 1' Layup (2 PTS) (Durant 1 AST)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,13,6,00:08:28,00:03:32,00:00:09,28,DEN,turnover,,,,,,,,,,Wilson Chandler,,,lost ball ,,Russell Westbrook,lost ball ,,,,,,"Westbrook STEAL (2 STL), Chandler Lost Ball Turnover (P1.T3)"
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,13,6,00:08:20,00:03:40,00:00:08,29,DEN,foul,,,,,,,,Russell Westbrook,,Kosta Koufos,,,s.foul,,,s.foul,,,,,,Koufos S.FOUL (P1.T1)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,14,6,00:08:20,00:03:40,00:00:00,30,OKC,free throw,,,,,,,1,,2,Russell Westbrook,1,,,made,,Free Throw 1 of 2,,,,,,Westbrook Free Throw 1 of 2 (4 PTS)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,15,6,00:08:20,00:03:40,00:00:00,32,OKC,free throw,,,,,,,2,,2,Russell Westbrook,1,,,made,,Free Throw 2 of 2,,,,,,Westbrook Free Throw 2 of 2 (5 PTS)
"=""0021200875""",2012-2013 Regular Season,2013-03-01,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Danilo Gallinari,Kosta Koufos,Andre Iguodala,Ty Lawson,Wilson Chandler,1,15,6,00:08:07,00:03:53,00:00:13,34,DEN,miss,,,,,,,,,,Wilson Chandler,0,,,missed,,Jump Shot,24,176,164,42.6,72.6,MISS Chandler 24' 3PT Jump Shot
