game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,0,0,00:12:00,00:00:00,00:00:00,1,BKN,jump ball,,Brook Lopez,Joakim Noah,,,,,,,Joakim Noah,,Deron Williams,,,,jump ball,,,,,,Jump Ball Noah vs. Lopez: Tip to D. Williams
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,0,0,00:11:45,00:00:15,00:00:15,2,CHI,foul,,,,,,,,Brook Lopez,,Carlos Boozer,,,p.foul,,,p.foul,,,,,,Boozer P.FOUL (P1.T1)
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,0,0,00:11:37,00:00:23,00:00:08,3,CHI,foul,,,,,,,,Deron Williams,,Kirk Hinrich,,,p.foul,,,p.foul,,,,,,Hinrich P.FOUL (P1.T2)
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,0,0,00:11:30,00:00:30,00:00:07,4,BKN,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Driving Layup,2,17,6,23.3,5.6,MISS Lopez 2' Driving Layup
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,0,0,00:11:29,00:00:31,00:00:01,5,CHI,rebound,,,,,,,,,,Carlos Boozer,,,,,,rebound defensive,,,,,,Boozer REBOUND (Off:0 Def:1)
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,0,2,00:11:18,00:00:42,00:00:11,6,CHI,shot,Joakim Noah,,,,,,,,,Carlos Boozer,2,,,made,,Running Layup,2,18,1,26.8,88.9,Boozer 2' Running Layup (2 PTS) (Noah 1 AST)
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,2,2,00:10:56,00:01:04,00:00:22,8,BKN,shot,,,,,,,,,,Deron Williams,2,,,made,,Driving Layup,2,20,3,23.0,5.3,D. Williams 2' Driving Layup (2 PTS)
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,2,2,00:10:41,00:01:19,00:00:15,9,CHI,miss,,,,,,,,,,Kirk Hinrich,0,,,missed,,Jump Shot,25,-202,153,4.8,73.7,MISS Hinrich 25' 3PT Jump Shot
"=""0021200877""",2012-2013 Regular Season,2013-03-02,Gerald Wallace,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Luol Deng,Carlos Boozer,Joakim Noah,Marco Belinelli,Kirk Hinrich,1,2,2,00:10:40,00:01:20,00:00:01,10,BKN,rebound,,,,,,,,,,Joe Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
