game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:12:00,00:00:00,00:00:00,1,SAS,jump ball,,Greg Monroe,Tim Duncan,,,,,,,Tim Duncan,,Cory Joseph,,,,jump ball,,,,,,Jump Ball Duncan vs. Monroe: Tip to Joseph
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:11:48,00:00:12,00:00:12,2,SAS,miss,,,,,,,,,,Cory Joseph,0,,,missed,,Jump Shot,19,-105,160,14.5,73.0,MISS Joseph 19' Jump Shot
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:11:47,00:00:13,00:00:01,3,DET,rebound,,,,,,,,,,Greg Monroe,,,,,,rebound defensive,,,,,,Monroe REBOUND (Off:0 Def:1)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:11:30,00:00:30,00:00:17,4,DET,miss,,,,Danny Green,,,,,,Brandon Knight,0,,,missed,,Jump Shot,25,-169,187,41.9,23.7,"MISS Knight 25' 3PT Jump Shot, Green BLOCK (1 BLK)"
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:11:29,00:00:31,00:00:01,5,SAS,rebound,,,,,,,,,,Kawhi Leonard,,,,,,rebound defensive,,,,,,Leonard REBOUND (Off:0 Def:1)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:11:18,00:00:42,00:00:11,6,SAS,miss,,,,,,,,,,Danny Green,0,,,missed,,Layup,2,21,-2,27.1,89.2,MISS Green 2' Layup
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:11:17,00:00:43,00:00:01,7,DET,rebound,,,,,,,,,,Kyle Singler,,,,,,rebound defensive,,,,,,Singler REBOUND (Off:0 Def:1)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:10:57,00:01:03,00:00:20,8,DET,miss,,,,Danny Green,,,,,,Kyle Singler,0,,,missed,,Step Back Jump Shot,15,-153,-5,40.3,4.5,"MISS Singler 15' Step Back Jump Shot, Green BLOCK (2 BLK)"
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:10:56,00:01:04,00:00:01,9,SAS,rebound,,,,,,,,,,Tiago Splitter,,,,,,rebound defensive,,,,,,Splitter REBOUND (Off:0 Def:1)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,0,00:10:49,00:01:11,00:00:07,10,DET,foul,,,,,,,,Tim Duncan,,Jason Maxiell,,,p.foul,,,p.foul,,,,,,Maxiell P.FOUL (P1.T1)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,2,00:10:41,00:01:19,00:00:08,11,SAS,shot,Tim Duncan,,,,,,,,,Danny Green,2,,,made,,Pullup Jump Shot,16,1,157,25.1,73.3,Green 16' Pullup Jump Shot (2 PTS) (Duncan 1 AST)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,2,00:10:15,00:01:45,00:00:26,13,DET,miss,,,,,,,,,,Jose Calderon,0,,,missed,,Jump Shot,25,225,116,2.5,16.6,MISS Calderon 25' 3PT Jump Shot
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,2,00:10:14,00:01:46,00:00:01,14,SAS,rebound,,,,,,,,,,Danny Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,2,00:10:04,00:01:56,00:00:10,15,SAS,miss,,,,,,,,,,Tim Duncan,0,,,missed,,Jump Shot,4,7,44,25.7,84.6,MISS Duncan 4' Jump Shot
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,2,00:10:02,00:01:58,00:00:02,17,SAS,rebound,,,,,,,,,,Tiago Splitter,,,,,,rebound offensive,,,,,,Splitter REBOUND (Off:1 Def:1)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,2,00:10:02,00:01:58,00:00:00,16,SAS,miss,,,,,,,,,,Tiago Splitter,0,,,missed,,Layup,2,-19,1,23.1,88.9,MISS Splitter 2' Layup
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,2,00:10:01,00:01:59,00:00:01,18,DET,rebound,,,,,,,,,,Greg Monroe,,,,,,rebound defensive,,,,,,Monroe REBOUND (Off:0 Def:2)
"=""0021200886""",2012-2013 Regular Season,2013-03-03,Kyle Singler,Jason Maxiell,Greg Monroe,Brandon Knight,Jose Calderon,Kawhi Leonard,Tim Duncan,Tiago Splitter,Danny Green,Cory Joseph,1,0,2,00:09:55,00:02:05,00:00:06,19,DET,miss,,,,Tim Duncan,,,,,,Jose Calderon,0,,,missed,,Layup,2,-19,-10,26.9,4.0,"MISS Calderon 2' Layup, Duncan BLOCK (1 BLK)"
