game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,1,IND,jump ball,,Kevin Garnett,Roy Hibbert,,,,,,,Roy Hibbert,,David West,,,,jump ball,,,,,,Jump Ball Hibbert vs. Garnett: Tip to West
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:11:48,00:00:12,00:00:12,2,IND,foul,,,,,,,,Kevin Garnett,,Roy Hibbert,,,off.foul,,,off.foul,,,,,,Hibbert OFF.Foul (P1)
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:11:48,00:00:12,00:00:00,3,IND,turnover,,,,,,,,,,Roy Hibbert,,,foul turnover,,,foul turnover,,,,,,Hibbert Foul Turnover (P1.T1)
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:27,00:00:33,00:00:21,4,BOS,shot,Paul Pierce,,,,,,,,,Kevin Garnett,2,,,made,,Jump Shot,20,155,129,9.5,17.9,Garnett 20' Jump Shot (2 PTS) (Pierce 1 AST)
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:16,00:00:44,00:00:11,5,BOS,foul,,,,,,,,Roy Hibbert,,Kevin Garnett,,,p.foul,,,p.foul,,,,,,Garnett P.FOUL (P1.T1)
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:02,00:00:58,00:00:14,6,IND,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,19,-133,140,11.7,75.0,MISS George 19' Jump Shot
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:00,00:01:00,00:00:02,7,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,rebound offensive,,,,,,Hibbert REBOUND (Off:1 Def:0)
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,2,00:10:58,00:01:02,00:00:02,8,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,Layup,2,18,6,26.8,88.4,Hibbert 2' Layup (2 PTS)
"=""0021200901""",2012-2013 Regular Season,2013-03-06,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,2,00:10:47,00:01:13,00:00:11,9,BOS,miss,,,,Roy Hibbert,,,,,,Brandon Bass,0,,,missed,,Jump Shot,6,-4,56,25.4,10.6,"MISS Bass 6' Jump Shot, Hibbert BLOCK (1 BLK)"
