game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,1,WAS,jump ball,,Emeka Okafor,Greg Stiemsma,,,,,,,Greg Stiemsma,,John Wall,,,,jump ball,,,,,,Jump Ball Stiemsma vs. Okafor: Tip to Wall
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,0,0,00:11:43,00:00:17,00:00:17,2,WAS,miss,,,,,,,,,,Martell Webster,0,,,missed,,Jump Shot,21,-204,42,45.4,9.2,MISS Webster 21' Jump Shot
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,0,0,00:11:42,00:00:18,00:00:01,3,WAS,rebound,,,,,,,,,,Nene,,,,,,rebound offensive,,,,,,Nene REBOUND (Off:1 Def:0)
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,3,0,00:11:28,00:00:32,00:00:14,4,WAS,shot,Emeka Okafor,,,,,,,,,Trevor Ariza,3,,,made,,Jump Shot,26,80,244,17.0,29.4,Ariza 26' 3PT Jump Shot (3 PTS) (Okafor 1 AST)
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,3,3,00:11:05,00:00:55,00:00:23,5,MIN,shot,Ricky Rubio,,,,,,,,,Derrick Williams,3,,,made,,Jump Shot,25,-149,201,10.1,68.9,Williams 25' 3PT Jump Shot (3 PTS) (Rubio 1 AST)
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,3,3,00:10:46,00:01:14,00:00:19,6,WAS,miss,,,,,,,,,,Emeka Okafor,0,,,missed,,Jump Shot,15,-153,23,40.3,7.3,MISS Okafor 15' Jump Shot
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,3,3,00:10:45,00:01:15,00:00:01,7,MIN,rebound,,,,,,,,,,Ricky Rubio,,,,,,rebound defensive,,,,,,Rubio REBOUND (Off:0 Def:1)
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,3,5,00:10:36,00:01:24,00:00:09,8,MIN,shot,Ricky Rubio,,,,,,,,,Greg Stiemsma,2,,,made,,Layup,1,-5,7,24.5,88.3,Stiemsma 1' Layup (2 PTS) (Rubio 2 AST)
"=""0021200907""",2012-2013 Regular Season,2013-03-06,Trevor Ariza,Nene,Emeka Okafor,Martell Webster,John Wall,Mickael Gelabale,Derrick Williams,Greg Stiemsma,Luke Ridnour,Ricky Rubio,1,5,5,00:10:23,00:01:37,00:00:13,9,WAS,shot,,,,,,,,,,John Wall,2,,,made,,Pullup Jump Shot,19,45,187,20.5,23.7,Wall 19' Pullup Jump Shot (2 PTS)
