game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,0,0,00:12:00,00:00:00,00:00:00,1,ATL,jump ball,,Johan Petro,Kevin Garnett,,,,,,,Kevin Garnett,,Al Horford,,,,jump ball,,,,,,Jump Ball Garnett vs. Petro: Tip to Horford
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,3,0,00:11:36,00:00:24,00:00:24,2,ATL,shot,Josh Smith,,,,,,,,,Devin Harris,3,,,made,,Jump Shot,23,233,9,1.7,5.9,Harris  3PT Jump Shot (3 PTS) (Smith 1 AST)
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,3,2,00:11:18,00:00:42,00:00:18,3,BOS,shot,,,,,,,,,,Kevin Garnett,2,,,made,,Jump Shot,15,116,101,36.6,78.9,Garnett 15' Jump Shot (2 PTS)
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,3,2,00:10:57,00:01:03,00:00:21,4,ATL,miss,,,,,,,,,,Al Horford,0,,,missed,,Jump Shot,21,-59,201,30.9,25.1,MISS Horford 21' Jump Shot
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,3,2,00:10:56,00:01:04,00:00:01,5,BOS,rebound,,,,,,,,,,Courtney Lee,,,,,,rebound defensive,,,,,,Lee REBOUND (Off:0 Def:1)
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,3,2,00:10:47,00:01:13,00:00:09,6,BOS,miss,,,,,,,,,,Paul Pierce,0,,,missed,,Step Back Jump Shot,14,-52,132,19.8,75.8,MISS Pierce 14' Step Back Jump Shot
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,3,2,00:10:46,00:01:14,00:00:01,7,ATL,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,6,2,00:10:21,00:01:39,00:00:25,10,ATL,shot,Al Horford,,,,,,,,,Jeff Teague,3,,,made,,Jump Shot,25,-45,242,29.5,29.2,Teague 25' 3PT Jump Shot (3 PTS) (Horford 1 AST)
"=""0021200917""",2012-2013 Regular Season,2013-03-08,Josh Smith,Al Horford,Johan Petro,Devin Harris,Jeff Teague,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Avery Bradley,1,6,2,00:10:04,00:01:56,00:00:17,11,BOS,miss,,,,,,,,,,Kevin Garnett,0,,,missed,,Jump Shot,18,110,148,36.0,74.2,MISS Garnett 18' Jump Shot
