game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,1,TOR,jump ball,,Tyler Zeller,Jonas Valanciunas,,,,,,,Jonas Valanciunas,,Kyle Lowry,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Zeller: Tip to Lowry
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:11:41,00:00:19,00:00:19,2,TOR,miss,,,,,,,,,,Terrence Ross,0,,,missed,,Jump Shot,24,230,53,48.0,83.7,MISS Ross 24' 3PT Jump Shot
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:11:39,00:00:21,00:00:02,3,CLE,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:11:23,00:00:37,00:00:16,4,TOR,foul,,,,,,,,Tyler Zeller,,Jonas Valanciunas,,,s.foul,,,s.foul,,,,,,Valanciunas S.FOUL (P1.T1)
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,1,0,00:11:23,00:00:37,00:00:00,5,CLE,free throw,,,,,,,1,,2,Tyler Zeller,1,,,made,,Free Throw 1 of 2,,,,,,Zeller Free Throw 1 of 2 (1 PTS)
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,0,00:11:23,00:00:37,00:00:00,7,CLE,free throw,,,,,,,2,,2,Tyler Zeller,1,,,made,,Free Throw 2 of 2,,,,,,Zeller Free Throw 2 of 2 (2 PTS)
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,0,00:11:08,00:00:52,00:00:15,9,TOR,miss,,,,,,,,,,Amir Johnson,0,,,missed,,Turnaround Hook Shot,8,53,56,30.3,83.4,MISS Johnson 8' Turnaround Hook Shot
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,0,00:11:06,00:00:54,00:00:02,10,CLE,rebound,,,,,,,,,,Tyler Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:1)
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,0,00:10:54,00:01:06,00:00:12,11,CLE,miss,,,,,,,,,,Alonzo Gee,0,,,missed,,Jump Shot,22,-224,3,47.4,5.3,MISS Gee  3PT Jump Shot
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,0,00:10:52,00:01:08,00:00:02,12,CLE,rebound,,,,,,,,,,Tristan Thompson,,,,,,rebound offensive,,,,,,Thompson REBOUND (Off:1 Def:0)
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,0,00:10:48,00:01:12,00:00:04,13,CLE,turnover,,,,,,,,,,Tyler Zeller,,,lost ball ,,Kyle Lowry,lost ball ,,,,,,"Zeller Lost Ball Turnover (P1.T1), Lowry STEAL (1 STL)"
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,0,00:10:47,00:01:13,00:00:01,14,CLE,foul,,,,,,,,Kyle Lowry,,Kyrie Irving,,,p.foul,,,p.foul,,,,,,Irving P.FOUL (P1.T1)
"=""0021200936""",2012-2013 Regular Season,2013-03-10,Alonzo Gee,Tristan Thompson,Tyler Zeller,Dion Waiters,Kyrie Irving,Terrence Ross,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,2,0,00:10:37,00:01:23,00:00:10,15,TOR,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Jump Shot,19,-164,94,8.6,79.6,MISS DeRozan 19' Jump Shot
