game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,0,0,00:12:00,00:00:00,00:00:00,1,POR,jump ball,,JJ Hickson,Robin Lopez,,,,,,,Robin Lopez,,LaMarcus Aldridge,,,,jump ball,,,,,,Jump Ball Lopez vs. Hickson: Tip to Aldridge
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,0,0,00:11:48,00:00:12,00:00:12,2,NOH,foul,,,,,,,,Wesley Matthews,,Greivis Vasquez,,,s.foul,,,s.foul,,,,,,Vasquez S.FOUL (P1.T1)
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,1,0,00:11:48,00:00:12,00:00:00,3,POR,free throw,,,,,,,1,,2,Wesley Matthews,1,,,made,,Free Throw 1 of 2,,,,,,Matthews Free Throw 1 of 2 (1 PTS)
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,2,0,00:11:48,00:00:12,00:00:00,5,POR,free throw,,,,,,,2,,2,Wesley Matthews,1,,,made,,Free Throw 2 of 2,,,,,,Matthews Free Throw 2 of 2 (2 PTS)
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,2,0,00:11:30,00:00:30,00:00:18,7,NOH,miss,,,,,,,,,,Brian Roberts,0,,,missed,,Jump Shot,19,-160,93,9.0,79.7,MISS Roberts 19' Jump Shot
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,2,0,00:11:28,00:00:32,00:00:02,8,POR,rebound,,,,,,,,,,Wesley Matthews,,,,,,rebound defensive,,,,,,Matthews REBOUND (Off:0 Def:1)
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,4,0,00:11:18,00:00:42,00:00:10,9,POR,shot,Damian Lillard,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,16,127,97,12.3,14.7,Aldridge 16' Jump Shot (2 PTS) (Lillard 1 AST)
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,4,0,00:10:58,00:01:02,00:00:20,11,NOH,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,Layup,3,-21,17,22.9,87.3,MISS Aminu 3' Layup
"=""0021200939""",2012-2013 Regular Season,2013-03-10,Nicolas Batum,LaMarcus Aldridge,JJ Hickson,Wesley Matthews,Damian Lillard,Al-Farouq Aminu,Anthony Davis,Robin Lopez,Brian Roberts,Greivis Vasquez,1,4,0,00:10:57,00:01:03,00:00:01,12,POR,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
