game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,1,LAC,jump ball,,Marc Gasol,DeAndre Jordan,,,,,,,DeAndre Jordan,,Chris Paul,,,,jump ball,,,,,,Jump Ball Jordan vs. Gasol: Tip to Paul
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,0,0,00:11:33,00:00:27,00:00:27,2,LAC,miss,,,,,,,,,,Blake Griffin,0,,,missed,,Jump Shot,25,-125,217,12.5,67.3,MISS Griffin 25' 3PT Jump Shot
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,0,0,00:11:32,00:00:28,00:00:01,3,LAC,rebound,,,,,,,,,,Chauncey Billups,,,,,,rebound offensive,,,,,,Billups REBOUND (Off:1 Def:0)
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,0,0,00:11:27,00:00:33,00:00:05,4,LAC,miss,,,,Mike Conley,,,,,,Chauncey Billups,0,,,missed,,Jump Shot,27,100,252,35.0,63.8,"Conley BLOCK (1 BLK), MISS Billups 27' 3PT Jump Shot"
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,0,0,00:11:25,00:00:35,00:00:02,5,MEM,rebound,,,,,,,,,,Mike Conley,,,,,,rebound defensive,,,,,,Conley REBOUND (Off:0 Def:1)
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,0,0,00:11:10,00:00:50,00:00:15,6,MEM,turnover,,,,,,,,,,Marc Gasol,,,bad pass ,,,bad pass ,,,,,,Gasol Bad Pass Turnover (P1.T1)
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,0,3,00:10:53,00:01:07,00:00:17,7,LAC,shot,Blake Griffin,,,,,,,,,Chauncey Billups,3,,,made,,Jump Shot,23,-226,3,2.4,88.7,Billups  3PT Jump Shot (3 PTS) (Griffin 1 AST)
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,2,3,00:10:34,00:01:26,00:00:19,8,MEM,shot,,,,,,,,,,Tayshaun Prince,2,,,made,,Step Back Jump Shot,9,89,-5,16.1,4.5,Prince 9' Step Back Jump Shot (2 PTS)
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,2,3,00:10:10,00:01:50,00:00:24,9,LAC,miss,,,,,,,,,,Matt Barnes,0,,,missed,,Jump Shot,22,-223,-5,2.7,89.5,MISS Barnes  3PT Jump Shot
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,2,3,00:10:09,00:01:51,00:00:01,10,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,2,3,00:09:57,00:02:03,00:00:12,11,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Turnaround Fadeaway ,14,20,134,23.0,18.4,MISS Gasol 14' Turnaround Fadeaway Shot
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,2,3,00:09:55,00:02:05,00:00:02,12,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021200965""",2012-2013 Regular Season,2013-03-13,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,Matt Barnes,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,1,2,3,00:09:52,00:02:08,00:00:03,13,MEM,foul,,,,,,,,Blake Griffin,,Zach Randolph,,,p.foul,,,p.foul,,,,,,Randolph P.FOUL (P1.T1)
