game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,1,MIN,jump ball,,Nikola Pekovic,Markieff Morris,,,,,,,Markieff Morris,,Ricky Rubio,,,,jump ball,,,,,,Jump Ball Morris vs. Pekovic: Tip to Rubio
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,0,00:11:43,00:00:17,00:00:17,2,MIN,shot,Ricky Rubio,,,,,,,,,Nikola Pekovic,2,,,made,,Jump Bank Shot,5,50,19,20.0,6.9,Pekovic 5' Jump Bank Shot (2 PTS) (Rubio 1 AST)
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,0,00:11:31,00:00:29,00:00:12,3,MIN,foul,,,,,,,,Wesley Johnson,,Ricky Rubio,,,p.foul,,,p.foul,,,,,,Rubio P.FOUL (P1.T1)
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,0,00:11:18,00:00:42,00:00:13,4,PHX,miss,,,,,,,,,,Wesley Johnson,0,,,missed,,Driving Layup,1,-7,0,24.3,89.0,MISS W. Johnson 1' Driving Layup
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,0,00:11:17,00:00:43,00:00:01,5,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Timberwolves Rebound
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,0,00:10:54,00:01:06,00:00:23,6,MIN,turnover,,,,,,,,,,Ricky Rubio,,,bad pass ,,Markieff Morris,bad pass ,,,,,,"Rubio Bad Pass Turnover (P1.T1), Morris STEAL (1 STL)"
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,2,00:10:46,00:01:14,00:00:08,7,PHX,shot,Goran Dragic,,,,,,,,,Luis Scola,2,,,made,,Jump Shot,17,81,151,33.1,73.9,Scola 17' Jump Shot (2 PTS) (Dragic 1 AST)
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,2,00:10:30,00:01:30,00:00:16,8,PHX,foul,,,,,,,,Nikola Pekovic,,Luis Scola,,,p.foul,,,p.foul,,,,,,Scola P.FOUL (P1.T1)
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,2,00:10:25,00:01:35,00:00:05,9,MIN,miss,,,,,,,,,,Andrei Kirilenko,0,,,missed,,Jump Shot,22,-210,48,46.0,9.8,MISS Kirilenko 22' Jump Shot
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,2,00:10:23,00:01:37,00:00:02,10,PHX,rebound,,,,,,,,,,Luis Scola,,,,,,rebound defensive,,,,,,Scola REBOUND (Off:0 Def:1)
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,2,4,00:10:14,00:01:46,00:00:09,11,PHX,shot,Goran Dragic,,,,,,,,,Luis Scola,2,,,made,,Jump Shot,19,-112,153,13.8,73.7,Scola 19' Jump Shot (4 PTS) (Dragic 2 AST)
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,4,4,00:09:54,00:02:06,00:00:20,12,MIN,shot,Derrick Williams,,,,,,,,,Andrei Kirilenko,2,,,made,,Jump Shot,18,113,140,13.7,19.0,Kirilenko 18' Jump Shot (2 PTS) (Williams 1 AST)
"=""0021201031""",2012-2013 Regular Season,2013-03-22,Andrei Kirilenko,Derrick Williams,Nikola Pekovic,Luke Ridnour,Ricky Rubio,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,1,4,4,00:09:39,00:02:21,00:00:15,13,PHX,miss,,,,,,,,,,Luis Scola,0,,,missed,,Driving Layup,1,4,11,25.4,87.9,MISS Scola 1' Driving Layup
