game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,0,00:12:00,00:00:00,00:00:00,1,HOU,jump ball,,DeAndre Jordan,Omer Asik,,,,,,,Omer Asik,,Jeremy Lin,,,,jump ball,,,,,,Jump Ball Asik vs. Jordan: Tip to Lin
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,2,00:11:41,00:00:19,00:00:19,2,HOU,shot,,,,,,,,,,Greg Smith,2,,,made,,Jump Hook Shot,5,7,50,25.7,84.0,Smith 5' Jump Hook Shot (2 PTS)
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,2,00:11:19,00:00:41,00:00:22,3,LAC,miss,,,,,,,,,,Blake Griffin,0,,,missed,,Hook Shot,4,-11,37,26.1,8.7,MISS Griffin 4' Hook Shot
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,2,00:11:17,00:00:43,00:00:02,4,HOU,rebound,,,,,,,,,,James Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,2,00:11:07,00:00:53,00:00:10,5,HOU,miss,,,,,,,,,,Chandler Parsons,0,,,missed,,Running Jump Shot,11,-29,110,22.1,78.0,MISS Parsons 11' Running Jump Shot
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,2,00:11:05,00:00:55,00:00:02,6,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,ROCKETS Rebound
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,2,00:11:03,00:00:57,00:00:02,7,LAC,violation,,,,,,,,,,Blake Griffin,,,,,,violation:kicked ball,,,,,,Griffin Violation:Kicked Ball
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,2,00:10:56,00:01:04,00:00:07,8,HOU,turnover,,,,,,,,,,James Anderson,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Anderson Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021201088""",2012-2013 Regular Season,2013-03-30,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,Chandler Parsons,Greg Smith,Omer Asik,James Anderson,Jeremy Lin,1,0,2,00:10:43,00:01:17,00:00:13,9,LAC,miss,,,,,,,,,,Chris Paul,0,,,missed,,Fadeaway Jumper,14,-119,67,36.9,11.7,MISS Paul 14' Fadeaway Jumper
