game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,1,LAC,jump ball,,Markieff Morris,DeAndre Jordan,,,,,,,DeAndre Jordan,,Chris Paul,,,,jump ball,,,,,,Jump Ball Jordan vs. Morris: Tip to Paul
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:11:42,00:00:18,00:00:18,4,LAC,miss,,,,,,,,,,Blake Griffin,0,,,missed,,Hook Shot,3,28,9,27.8,88.1,MISS Griffin 3' Hook Shot
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:11:40,00:00:20,00:00:02,5,PHX,rebound,,,,,,,,,,PJ Tucker,,,,,,rebound defensive,,,,,,Tucker REBOUND (Off:0 Def:1)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:11:36,00:00:24,00:00:04,6,LAC,foul,,,,,,,,Goran Dragic,,Chris Paul,,,p.foul,,,p.foul,,,,,,Paul P.FOUL (P1.T1)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:11:27,00:00:33,00:00:09,7,PHX,miss,,,,,,,,,,Wesley Johnson,0,,,missed,,Jump Shot,26,-179,189,42.9,23.9,MISS W. Johnson 26' 3PT Jump Shot
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,0,00:11:25,00:00:35,00:00:02,8,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,2,00:11:20,00:00:40,00:00:05,9,LAC,shot,Chris Paul,,,,,,,,,Blake Griffin,2,,,made,,Layup,2,17,16,26.7,87.4,Griffin 2' Layup (2 PTS) (Paul 1 AST)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,2,00:10:55,00:01:05,00:00:25,10,PHX,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Jump Shot,20,124,162,12.6,21.2,MISS Morris 20' Jump Shot
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,2,00:10:54,00:01:06,00:00:01,11,LAC,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound defensive,,,,,,Griffin REBOUND (Off:0 Def:1)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,4,00:10:51,00:01:09,00:00:03,12,LAC,shot,Blake Griffin,,,,,,,,,DeAndre Jordan,2,,,made,,Driving Dunk,3,15,28,26.5,86.2,Jordan 3' Driving Dunk (2 PTS) (Griffin 1 AST)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,4,00:10:38,00:01:22,00:00:13,14,PHX,turnover,,,,,,,,,,Goran Dragic,,,lost ball ,,DeAndre Jordan,lost ball ,,,,,,"Dragic Lost Ball Turnover (P1.T1), Jordan STEAL (1 STL)"
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,4,00:10:38,00:01:22,00:00:00,13,LAC,jump ball,,Goran Dragic,DeAndre Jordan,,,,,,,DeAndre Jordan,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Jordan vs. Dragic: Tip to Griffin
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,4,00:10:20,00:01:40,00:00:18,15,LAC,miss,,,,,,,,,,Chris Paul,0,,,missed,,Jump Shot,26,-54,257,19.6,63.3,MISS Paul 26' 3PT Jump Shot
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,4,00:10:19,00:01:41,00:00:01,16,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound offensive,,,,,,Jordan REBOUND (Off:1 Def:1)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,6,00:10:17,00:01:43,00:00:02,17,LAC,shot,Caron Butler,,,,,,,,,DeAndre Jordan,2,,,made,,Alley Oop Dunk,3,24,22,27.4,86.8,Jordan 3' Alley Oop Dunk (4 PTS) (Butler 1 AST)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,6,00:10:06,00:01:54,00:00:11,18,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Suns Timeout: Regular (Reg.1 Short 0)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,6,00:09:59,00:02:01,00:00:07,20,PHX,miss,,,,,,,,,,Goran Dragic,0,,,missed,,Jump Shot,18,95,153,15.5,20.3,MISS Dragic 18' Jump Shot
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,6,00:09:58,00:02:02,00:00:01,21,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:1 Def:2)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,8,00:09:43,00:02:17,00:00:15,22,LAC,shot,Blake Griffin,,,,,,,,,Willie Green,2,,,made,,Jump Shot,17,15,172,26.5,71.8,Green 17' Jump Shot (2 PTS) (Griffin 2 AST)
"=""0021201121""",2012-2013 Regular Season,2013-04-03,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Caron Butler,Blake Griffin,DeAndre Jordan,Willie Green,Chris Paul,1,0,8,00:09:23,00:02:37,00:00:20,23,PHX,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Fadeaway Jumper,18,177,33,7.3,8.3,MISS Morris 18' Fadeaway Jumper
