game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,1,PHI,jump ball,,Spencer Hawes,Joel Anthony,,,,,,,Joel Anthony,,Thaddeus Young,,,,jump ball,,,,,,Jump Ball Anthony vs. Hawes: Tip to Young
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,0,00:11:43,00:00:17,00:00:17,2,PHI,miss,,,,,,,,,,Evan Turner,0,,,missed,,Jump Shot,17,170,12,8.0,6.2,MISS Turner 17' Jump Shot
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,0,00:11:42,00:00:18,00:00:01,3,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,rebound defensive,,,,,,Haslem REBOUND (Off:0 Def:1)
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,0,00:11:29,00:00:31,00:00:13,4,MIA,miss,,,,,,,,,,Udonis Haslem,0,,,missed,,Jump Shot,18,177,6,42.7,88.4,MISS Haslem 18' Jump Shot
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,0,00:11:28,00:00:32,00:00:01,5,MIA,rebound,,,,,,,,,,Mario Chalmers,,,,,,rebound offensive,,,,,,Chalmers REBOUND (Off:1 Def:0)
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,0,00:11:24,00:00:36,00:00:04,6,MIA,miss,,,,,,,,,,Udonis Haslem,0,,,missed,,Jump Shot,17,166,52,41.6,83.8,MISS Haslem 17' Jump Shot
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,0,00:11:23,00:00:37,00:00:01,7,MIA,rebound,,,,,,,,,,Mike Miller,,,,,,rebound offensive,,,,,,Miller REBOUND (Off:1 Def:0)
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,3,00:11:19,00:00:41,00:00:04,8,MIA,shot,Mike Miller,,,,,,,,,Mario Chalmers,3,,,made,,Jump Shot,25,163,190,41.3,70.0,Chalmers 25' 3PT Jump Shot (3 PTS) (Miller 1 AST)
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,3,00:11:06,00:00:54,00:00:13,9,PHI,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Layup,1,9,6,24.1,5.6,MISS Young 1' Layup
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,3,00:11:05,00:00:55,00:00:01,10,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,rebound defensive,,,,,,Haslem REBOUND (Off:0 Def:2)
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,5,00:10:54,00:01:06,00:00:11,11,MIA,shot,,,,,,,,,,LeBron James,2,,,made,,Turnaround Jump Shot,16,-78,142,17.2,74.8,James 16' Turnaround Jump Shot (2 PTS)
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,5,00:10:37,00:01:23,00:00:17,12,PHI,miss,,,,,,,,,,Evan Turner,0,,,missed,,Jump Shot,26,-172,192,42.2,24.2,MISS Turner 26' 3PT Jump Shot
"=""0021201140""",2012-2013 Regular Season,2013-04-06,Evan Turner,Thaddeus Young,Spencer Hawes,Damien Wilkins,Jrue Holiday,LeBron James,Udonis Haslem,Joel Anthony,Mike Miller,Mario Chalmers,1,0,5,00:10:36,00:01:24,00:00:01,13,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,rebound defensive,,,,,,Haslem REBOUND (Off:0 Def:3)
