game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,1,ORL,jump ball,,Nikola Vucevic,Tyler Zeller,,,,,,,Tyler Zeller,,Beno Udrih,,,,jump ball,,,,,,Jump Ball Zeller vs. Vucevic: Tip to Udrih
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:44,00:00:16,00:00:16,2,ORL,miss,,,,Tyler Zeller,,,,,,Andrew Nicholson,0,,,missed,,Jump Shot,11,-105,30,35.5,8.0,"MISS Nicholson 11' Jump Shot, Zeller BLOCK (1 BLK)"
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:44,00:00:16,00:00:00,3,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:33,00:00:27,00:00:11,4,ORL,miss,,,,,,,,,,Andrew Nicholson,0,,,missed,,Jump Shot,13,114,72,13.6,12.2,MISS Nicholson 13' Jump Shot
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:31,00:00:29,00:00:02,5,CLE,rebound,,,,,,,,,,Tyler Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:1)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:19,00:00:41,00:00:12,6,CLE,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Jump Shot,22,-205,86,4.5,80.4,MISS Irving 22' Jump Shot
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:17,00:00:43,00:00:02,7,ORL,rebound,,,,,,,,,,Andrew Nicholson,,,,,,rebound defensive,,,,,,Nicholson REBOUND (Off:0 Def:1)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:08,00:00:52,00:00:09,8,CLE,foul,,,,,,,,Beno Udrih,,Kyrie Irving,,,p.foul,,,p.foul,,,,,,Irving P.FOUL (P1.T1)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:01,00:00:59,00:00:07,9,ORL,foul,,,,,,,,Kyrie Irving,,Tobias Harris,,,offensive charge foul,,,offensive charge foul,,,,,,Harris Offensive Charge Foul (P1.T1)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:11:01,00:00:59,00:00:00,10,ORL,turnover,,,,,,,,,,Tobias Harris,,,foul turnover,,,foul turnover,,,,,,Harris Foul Turnover (P1.T1)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:10:42,00:01:18,00:00:19,11,CLE,miss,,,,,,,,,,Tristan Thompson,0,,,missed,,Turnaround Jump Shot,13,-122,41,12.8,84.9,MISS Thompson 13' Turnaround Jump Shot
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:10:40,00:01:20,00:00:02,12,ORL,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:10:34,00:01:26,00:00:06,13,ORL,miss,,,,,,,,,,Beno Udrih,0,,,missed,,Jump Shot,26,2,257,24.8,30.7,MISS Udrih 26' 3PT Jump Shot
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:10:31,00:01:29,00:00:03,15,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound offensive,,,,,,Vucevic REBOUND (Off:1 Def:0)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:10:31,00:01:29,00:00:00,14,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Tip Shot,1,0,11,25.0,6.1,MISS Vucevic 1' Tip Shot
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,0,0,00:10:27,00:01:33,00:00:04,16,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound offensive,,,,,,Vucevic REBOUND (Off:2 Def:0)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,2,0,00:10:24,00:01:36,00:00:03,17,ORL,shot,Nikola Vucevic,,,,,,,,,Maurice Harkless,2,,,made,,Driving Layup,1,6,6,24.4,5.6,Harkless 1' Driving Layup (2 PTS) (Vucevic 1 AST)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,2,2,00:10:15,00:01:45,00:00:09,18,CLE,shot,Wayne Ellington,,,,,,,,,Tyler Zeller,2,,,made,,Jump Shot,20,-10,203,24.0,68.7,Zeller 20' Jump Shot (2 PTS) (Ellington 1 AST)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,4,2,00:09:52,00:02:08,00:00:23,19,ORL,shot,Beno Udrih,,,,,,,,,Nikola Vucevic,2,,,made,,Layup,0,-4,0,25.4,5.0,Vucevic  Layup (2 PTS) (Udrih 1 AST)
"=""0021201148""",2012-2013 Regular Season,2013-04-07,Tobias Harris,Andrew Nicholson,Nikola Vucevic,Maurice Harkless,Beno Udrih,Alonzo Gee,Tristan Thompson,Tyler Zeller,Wayne Ellington,Kyrie Irving,1,4,2,00:09:35,00:02:25,00:00:17,20,CLE,miss,,,,,,,,,,Tristan Thompson,0,,,missed,,Floating Jump Shot,7,-26,66,22.4,82.4,MISS Thompson 7' Floating Jump Shot
