game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:12:00,00:00:00,00:00:00,1,HOU,jump ball,,Markieff Morris,Omer Asik,,,,,,,Omer Asik,,Jeremy Lin,,,,jump ball,,,,,,Jump Ball Asik vs. Morris: Tip to Lin
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:39,00:00:21,00:00:21,2,HOU,turnover,,,,,,,,,,James Harden,,,bad pass ,,Goran Dragic,bad pass ,,,,,,"Dragic STEAL (1 STL), Harden Bad Pass Turnover (P1.T1)"
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:35,00:00:25,00:00:04,3,PHX,miss,,,,,,,,,,Goran Dragic,0,,,missed,,Driving Layup,2,-15,1,26.5,5.1,MISS Dragic 2' Driving Layup
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:34,00:00:26,00:00:01,4,PHX,rebound,,,,,,,,,,PJ Tucker,,,,,,rebound offensive,,,,,,Tucker REBOUND (Off:1 Def:0)
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:28,00:00:32,00:00:06,5,PHX,turnover,,,,,,,,,,Wesley Johnson,,,bad pass ,,Jeremy Lin,bad pass ,,,,,,"W. Johnson Bad Pass Turnover (P1.T1), Lin STEAL (1 STL)"
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:25,00:00:35,00:00:03,6,HOU,miss,,,,,,,,,,Jeremy Lin,0,,,missed,,Layup,1,-11,0,23.9,89.0,MISS Lin 1' Layup
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:24,00:00:36,00:00:01,7,PHX,rebound,,,,,,,,,,Markieff Morris,,,,,,rebound defensive,,,,,,Morris REBOUND (Off:0 Def:1)
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,0,0,00:11:08,00:00:52,00:00:16,8,HOU,foul,,,,,,,,Luis Scola,,James Harden,,,s.foul,,,s.foul,,,,,,Harden S.FOUL (P1.T1)
"=""0021201160""",2012-2013 Regular Season,2013-04-09,PJ Tucker,Markieff Morris,Luis Scola,Wesley Johnson,Goran Dragic,Francisco Garcia,Greg Smith,Omer Asik,James Harden,Jeremy Lin,1,1,0,00:11:08,00:00:52,00:00:00,9,PHX,free throw,,,,,,,1,,2,Luis Scola,1,,,made,,Free Throw 1 of 2,,,,,,Scola Free Throw 1 of 2 (1 PTS)
