game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,1,BKN,jump ball,,Brook Lopez,Roy Hibbert,,,,,,,Roy Hibbert,,Keith Bogans,,,,jump ball,,,,,,Jump Ball Hibbert vs. Lopez: Tip to Bogans
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:11:47,00:00:13,00:00:13,2,IND,foul,,,,,,,,Brook Lopez,,David West,,,personal block foul,,,personal block foul,,,,,,West Personal Block Foul (P1.T1)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:37,00:00:23,00:00:10,3,BKN,shot,,,,,,,,,,Joe Johnson,2,,,made,,Turnaround Jump Shot,3,20,25,23.0,7.5,Johnson 3' Turnaround Jump Shot (2 PTS)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:22,00:00:38,00:00:15,4,BKN,foul,,,,,,,,Roy Hibbert,,Brook Lopez,,,p.foul,,,p.foul,,,,,,Lopez P.FOUL (P1.T1)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,2,00:11:13,00:00:47,00:00:09,5,IND,shot,Roy Hibbert,,,,,,,,,David West,2,,,made,,Slam Dunk,0,4,0,25.4,89.0,West  Slam Dunk (2 PTS) (Hibbert 1 AST)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,2,00:10:57,00:01:03,00:00:16,6,BKN,turnover,,,,,,,,,,Deron Williams,,,bad pass ,,George Hill,bad pass ,,,,,,"D. Williams Bad Pass Turnover (P1.T1), Hill STEAL (1 STL)"
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,2,00:10:51,00:01:09,00:00:06,7,IND,miss,,,,Brook Lopez,,,,,,George Hill,0,,,missed,,Jump Shot,4,-38,1,21.2,88.9,"Lopez BLOCK (1 BLK), MISS Hill 4' Jump Shot"
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,2,00:10:50,00:01:10,00:00:01,8,BKN,rebound,,,,,,,,,,Joe Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,4,2,00:10:42,00:01:18,00:00:08,9,BKN,shot,,,,,,,,,,Joe Johnson,2,,,made,,Pullup Jump Shot,18,127,131,12.3,18.1,Johnson 18' Pullup Jump Shot (4 PTS)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,4,4,00:10:23,00:01:37,00:00:19,10,IND,shot,Lance Stephenson,,,,,,,,,Roy Hibbert,2,,,made,,Hook Shot,5,23,45,27.3,84.5,Hibbert 5' Hook Shot (2 PTS) (Stephenson 1 AST)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,4,4,00:10:11,00:01:49,00:00:12,11,BKN,miss,,,,,,,,,,Deron Williams,0,,,missed,,Jump Shot,4,-40,7,29.0,5.7,MISS D. Williams 4' Jump Shot
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,4,4,00:10:09,00:01:51,00:00:02,12,BKN,rebound,,,,,,,,,,Reggie Evans,,,,,,rebound offensive,,,,,,Evans REBOUND (Off:1 Def:0)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,6,4,00:09:59,00:02:01,00:00:10,13,BKN,shot,,,,,,,,,,Reggie Evans,2,,,made,,Jump Bank Shot,8,58,56,19.2,10.6,Evans 8' Jump Bank Shot (2 PTS)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,6,4,00:09:37,00:02:23,00:00:22,14,IND,miss,,,,,,,,,,Roy Hibbert,0,,,missed,,Jump Shot,9,-87,7,16.3,88.3,MISS Hibbert 9' Jump Shot
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,6,4,00:09:35,00:02:25,00:00:02,15,BKN,rebound,,,,,,,,,,Keith Bogans,,,,,,rebound defensive,,,,,,Bogans REBOUND (Off:0 Def:1)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,6,4,00:09:26,00:02:34,00:00:09,16,BKN,turnover,,,,,,,,,,Keith Bogans,,,bad pass ,,,bad pass ,,,,,,Bogans Bad Pass Turnover (P1.T2)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,6,4,00:09:11,00:02:49,00:00:15,17,IND,miss,,,,,,,,,,David West,0,,,missed,,Jump Shot,18,-116,138,13.4,75.2,MISS West 18' Jump Shot
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,6,4,00:09:09,00:02:51,00:00:02,18,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,rebound offensive,,,,,,Hibbert REBOUND (Off:1 Def:0)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,6,6,00:09:07,00:02:53,00:00:02,19,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,Layup,1,-5,-3,24.5,89.3,Hibbert 1' Layup (4 PTS)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,8,6,00:08:49,00:03:11,00:00:18,20,BKN,shot,Joe Johnson,,,,,,,,,Deron Williams,2,,,made,,Pullup Jump Shot,16,-73,146,32.3,19.6,D. Williams 16' Pullup Jump Shot (2 PTS) (Johnson 1 AST)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,8,6,00:08:25,00:03:35,00:00:24,21,BKN,foul,,,,,,,,Roy Hibbert,,Keith Bogans,,,p.foul,,,p.foul,,,,,,Bogans P.FOUL (P1.T2)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,8,8,00:08:18,00:03:42,00:00:07,22,IND,shot,George Hill,,,,,,,,,David West,2,,,made,,Jump Shot,4,-4,36,24.6,85.4,West 4' Jump Shot (4 PTS) (Hill 1 AST)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,10,8,00:08:01,00:03:59,00:00:17,23,BKN,shot,Deron Williams,,,,,,,,,Joe Johnson,2,,,made,,Jump Shot,18,-57,172,30.7,22.2,Johnson 18' Jump Shot (6 PTS) (D. Williams 1 AST)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,10,8,00:07:46,00:04:14,00:00:15,24,IND,turnover,,,,,,,,,,Paul George,,,bad pass ,,Deron Williams,bad pass ,,,,,,"D. Williams STEAL (1 STL), George Bad Pass Turnover (P1.T1)"
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,12,8,00:07:34,00:04:26,00:00:12,25,BKN,shot,Deron Williams,,,,,,,,,Brook Lopez,2,,,made,,Jump Shot,18,103,151,14.7,20.1,Lopez 18' Jump Shot (2 PTS) (D. Williams 2 AST)
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,12,8,00:07:19,00:04:41,00:00:15,26,IND,miss,,,,,,,,,,George Hill,0,,,missed,,Jump Shot,26,-101,238,14.9,65.2,MISS Hill 26' 3PT Jump Shot
"=""0021201178""",2012-2013 Regular Season,2013-04-12,Keith Bogans,Reggie Evans,Brook Lopez,Joe Johnson,Deron Williams,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,12,8,00:07:18,00:04:42,00:00:01,27,BKN,rebound,,,,,,,,,,Reggie Evans,,,,,,rebound defensive,,,,,,Evans REBOUND (Off:1 Def:1)
