game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,1,TOR,jump ball,,Jonas Valanciunas,Johan Petro,,,,,,,Johan Petro,,Kyle Lowry,,,,jump ball,,,,,,Jump Ball Petro vs. Valanciunas: Tip to Lowry
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,0,0,00:11:45,00:00:15,00:00:15,2,TOR,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Jump Shot,20,-180,78,43.0,12.8,MISS DeRozan 20' Jump Shot
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,0,0,00:11:43,00:00:17,00:00:02,3,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,rebound defensive,,,,,,Smith REBOUND (Off:0 Def:1)
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,0,0,00:11:24,00:00:36,00:00:19,4,ATL,miss,,,,,,,,,,Jeff Teague,0,,,missed,,Jump Shot,25,-130,216,12.0,67.4,MISS Teague 25' 3PT Jump Shot
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,0,0,00:11:23,00:00:37,00:00:01,5,ATL,rebound,,,,,,,,,,Johan Petro,,,,,,rebound offensive,,,,,,Petro REBOUND (Off:1 Def:0)
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,0,0,00:11:13,00:00:47,00:00:10,6,ATL,turnover,,,,,,,,,,Josh Smith,,,lost ball ,,Rudy Gay,lost ball ,,,,,,"Gay STEAL (1 STL), Smith Lost Ball Turnover (P1.T1)"
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,2,0,00:11:07,00:00:53,00:00:06,7,TOR,shot,,,,,,,,,,Rudy Gay,2,,,made,,Jump Shot,16,-5,159,25.5,20.9,Gay 16' Jump Shot (2 PTS)
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,2,2,00:10:52,00:01:08,00:00:15,8,ATL,shot,Jeff Teague,,,,,,,,,Josh Smith,2,,,made,,Jump Shot,22,110,186,36.0,70.4,Smith 22' Jump Shot (2 PTS) (Teague 1 AST)
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,2,2,00:10:28,00:01:32,00:00:24,10,TOR,turnover,,,,,,,,,,Jonas Valanciunas,,,lost ball ,,Kyle Korver,lost ball ,,,,,,"Valanciunas Lost Ball Turnover (P1.T1), Korver STEAL (1 STL)"
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,2,2,00:10:12,00:01:48,00:00:16,11,ATL,turnover,,,,,,,,,,Johan Petro,,,bad pass ,,,bad pass ,,,,,,Petro Bad Pass Turnover (P1.T2)
"=""0021201213""",2012-2013 Regular Season,2013-04-16,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Kyle Korver,Josh Smith,Johan Petro,Devin Harris,Jeff Teague,1,4,2,00:09:56,00:02:04,00:00:16,13,TOR,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Turnaround Jump Shot,12,-2,118,25.2,16.8,DeRozan 12' Turnaround Jump Shot (2 PTS)
