game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,1,MIA,jump ball,,Larry Sanders,Chris Bosh,,,,,,,Chris Bosh,,Udonis Haslem,,,,jump ball,,,,,,Jump Ball Bosh vs. Sanders: Tip to Haslem
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,0,0,00:11:44,00:00:16,00:00:16,2,MIA,miss,,,,Monta Ellis,,,,,,Dwyane Wade,0,,,missed,,Layup,1,6,4,25.6,88.6,"Ellis BLOCK (1 BLK), MISS Wade 1' Layup"
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,0,0,00:11:43,00:00:17,00:00:01,4,MIA,rebound,,,,,,,,,,Dwyane Wade,,,,,,rebound offensive,,,,,,Wade REBOUND (Off:1 Def:0)
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,0,2,00:11:42,00:00:18,00:00:01,3,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,Tip Shot,0,4,3,25.4,88.7,Wade 1' Tip Shot (2 PTS)
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,2,00:11:22,00:00:38,00:00:20,5,MIL,shot,Luc Mbah a Moute,,,,,,,,,Larry Sanders,2,,,made,,Hook Shot,7,47,56,20.3,10.6,Sanders 7' Hook Shot (2 PTS) (Mbah a Moute 1 AST)
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,2,00:11:07,00:00:53,00:00:15,6,MIL,foul,,,,,,,,Dwyane Wade,,Monta Ellis,,,p.foul,,,p.foul,,,,,,Ellis P.FOUL (P1.T1)
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,2,00:10:58,00:01:02,00:00:09,7,MIA,miss,,,,,,,,,,Chris Bosh,0,,,missed,,Jump Shot,17,103,137,35.3,75.3,MISS Bosh 17' Jump Shot
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,2,00:10:57,00:01:03,00:00:01,8,MIL,rebound,,,,,,,,,,Monta Ellis,,,,,,rebound defensive,,,,,,Ellis REBOUND (Off:0 Def:1)
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,2,00:10:40,00:01:20,00:00:17,9,MIL,turnover,,,,,,,,,,Larry Sanders,,,poss lost ball,,Dwyane Wade,poss lost ball,,,,,,"Sanders Poss Lost Ball Turnover (P1.T1), Wade STEAL (1 STL)"
"=""0041200102""",2013 Playoff,2013-04-23,Luc Mbah a Moute,Ersan Ilyasova,Larry Sanders,Monta Ellis,Brandon Jennings,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,4,00:10:33,00:01:27,00:00:07,10,MIA,shot,Dwyane Wade,,,,,,,,,LeBron James,2,,,made,,Driving Layup,1,9,11,25.9,87.9,James 1' Driving Layup (2 PTS) (Wade 1 AST)
