game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,1,ATL,jump ball,,Josh Smith,Roy Hibbert,,,,,,,Roy Hibbert,,Jeff Teague,,,,jump ball,,,,,,Jump Ball Hibbert vs. Smith: Tip to Teague
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:39,00:00:21,00:00:21,2,ATL,shot,Devin Harris,,,,,,,,,Josh Smith,2,,,made,,Layup,2,-19,15,26.9,6.5,Smith 2' Layup (2 PTS) (Harris 1 AST)
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:22,00:00:38,00:00:17,3,IND,miss,,,,,,,,,,George Hill,0,,,missed,,Layup,2,15,3,26.5,88.7,MISS Hill 2' Layup
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:21,00:00:39,00:00:01,4,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,rebound defensive,,,,,,Smith REBOUND (Off:0 Def:1)
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:18,00:00:42,00:00:03,5,ATL,turnover,,,,,,,,,,Josh Smith,,,bad pass ,,Paul George,bad pass ,,,,,,"Smith Bad Pass Turnover (P1.T1), George STEAL (1 STL)"
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:11:08,00:00:52,00:00:10,6,ATL,foul,,,,,,,,Roy Hibbert,,Josh Smith,,,p.foul,,,p.foul,,,,,,Smith P.FOUL (P1.T1)
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:10:55,00:01:05,00:00:13,7,IND,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,20,130,157,38.0,73.3,MISS George 20' Jump Shot
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:10:55,00:01:05,00:00:00,8,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,rebound defensive,,,,,,Smith REBOUND (Off:0 Def:2)
"=""0041200122""",2013 Playoff,2013-04-24,Kyle Korver,Josh Smith,Al Horford,Devin Harris,Jeff Teague,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,1,2,0,00:10:37,00:01:23,00:00:18,9,IND,foul,,,,,,,,Jeff Teague,,David West,,,p.foul,,,p.foul,,,,,,West P.FOUL (P1.T1)
