game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,1,IND,jump ball,,Roy Hibbert,Chris Bosh,,,,,,,Chris Bosh,,George Hill,,,,jump ball,,,,,,Jump Ball Bosh vs. Hibbert: Tip to Hill
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,0,00:11:42,00:00:18,00:00:18,2,IND,shot,David West,,,,,,,,,Paul George,2,,,made,,Jump Bank Shot,5,29,36,22.1,8.6,George 5' Jump Bank Shot (2 PTS) (West 1 AST)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,2,00:11:17,00:00:43,00:00:25,3,MIA,shot,,,,,,,,,,LeBron James,2,,,made,,Floating Jump Shot,7,-32,60,21.8,83.0,James 7' Floating Jump Shot (2 PTS)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,2,00:10:51,00:01:09,00:00:26,4,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,Pacers Turnover: Shot Clock (T#1)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,2,4,00:10:33,00:01:27,00:00:18,5,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,Jump Shot,20,185,75,43.5,81.5,Wade 20' Jump Shot (2 PTS)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,4,4,00:10:18,00:01:42,00:00:15,6,IND,shot,Paul George,,,,,,,,,Roy Hibbert,2,,,made,,Hook Shot,7,-59,31,30.9,8.1,Hibbert 7' Hook Shot (2 PTS) (George 1 AST)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,4,4,00:10:02,00:01:58,00:00:16,7,MIA,turnover,,,,,,,,,,Chris Bosh,,,bad pass ,,,bad pass ,,,,,,Bosh Bad Pass Turnover (P1.T1)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,4,4,00:09:47,00:02:13,00:00:15,8,MIA,foul,,,,,,,,David West,,Udonis Haslem,,,s.foul,,,s.foul,,,,,,Haslem S.FOUL (P1.T1)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,5,4,00:09:47,00:02:13,00:00:00,9,IND,free throw,,,,,,,1,,2,David West,1,,,made,,Free Throw 1 of 2,,,,,,West Free Throw 1 of 2 (1 PTS)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,6,4,00:09:47,00:02:13,00:00:00,11,IND,free throw,,,,,,,2,,2,David West,1,,,made,,Free Throw 2 of 2,,,,,,West Free Throw 2 of 2 (2 PTS)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,6,4,00:09:32,00:02:28,00:00:15,13,MIA,miss,,,,,,,,,,Dwyane Wade,0,,,missed,,Driving Jump Shot,6,-7,55,24.3,83.5,MISS Wade 6' Driving Jump Shot
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,6,4,00:09:31,00:02:29,00:00:01,14,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,rebound defensive,,,,,,Hibbert REBOUND (Off:0 Def:1)
"=""0041200302""",2013 Playoff,2013-05-24,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,1,8,4,00:09:13,00:02:47,00:00:18,15,IND,shot,,,,,,,,,,George Hill,2,,,made,,Pullup Jump Shot,20,189,78,6.1,12.8,Hill 20' Pullup Jump Shot (2 PTS)
