game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,0,0,00:12:00,00:00:00,00:00:00,1,CHI,jump ball,,Derrick Favors,Joakim Noah,,,,,,,Joakim Noah,,Luol Deng,,,,jump ball,,,,,,Jump Ball Noah vs. Favors: Tip to Deng
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,0,2,00:11:43,00:00:17,00:00:17,2,CHI,shot,Luol Deng,,,,,,,,,Joakim Noah,2,,,made,,Slam Dunk,2,17,-2,26.7,89.2,Noah 2' Slam Dunk (2 PTS) (Deng 1 AST)
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,0,2,00:11:25,00:00:35,00:00:18,3,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,17,165,48,8.5,9.8,MISS Favors 17' Jump Shot
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,0,2,00:11:24,00:00:36,00:00:01,4,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,rebound defensive,,,,,,Noah REBOUND (Off:0 Def:1)
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,0,5,00:11:07,00:00:53,00:00:17,5,CHI,shot,Luol Deng,,,,,,,,,Derrick Rose,3,,,made,,Jump Shot,24,-237,3,1.3,88.7,Rose 24' 3PT Jump Shot (3 PTS) (Deng 2 AST)
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,2,5,00:10:52,00:01:08,00:00:15,6,UTA,shot,Jamaal Tinsley,,,,,,,,,Enes Kanter,2,,,made,,Jump Shot,18,-174,19,42.4,6.9,Kanter 18' Jump Shot (2 PTS) (Tinsley 1 AST)
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,2,7,00:10:28,00:01:32,00:00:24,7,CHI,shot,,,,,,,,,,Derrick Rose,2,,,made,,Running Layup,2,-23,9,22.7,88.1,Rose 2' Running Layup (5 PTS)
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,2,7,00:10:17,00:01:43,00:00:11,8,CHI,foul,,,,,,,,Derrick Favors,,Joakim Noah,,,p.foul,,,p.foul,,,,,,Noah P.FOUL (P1.T1)
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,2,7,00:10:11,00:01:49,00:00:06,9,CHI,foul,,,,,,,,Gordon Hayward,,Derrick Rose,,,p.foul,,,p.foul,,,,,,Rose P.FOUL (P1.T2)
"=""0021300079""",2013-2014 Regular Season,2013-11-08,Richard Jefferson,Derrick Favors,Enes Kanter,Gordon Hayward,Jamaal Tinsley,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,1,5,7,00:10:07,00:01:53,00:00:04,10,UTA,shot,Derrick Favors,,,,,,,,,Gordon Hayward,3,,,made,,Jump Shot,25,119,222,13.1,27.2,Hayward 25' 3PT Jump Shot (3 PTS) (Favors 1 AST)
