game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,1,MEM,jump ball,,Andrew Bogut,Marc Gasol,,,,,,,Marc Gasol,,Mike Conley,,,,jump ball,,,,,,Jump Ball Gasol vs. Bogut: Tip to Conley
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:45,00:00:15,00:00:15,2,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,Driving Layup,2,18,-2,26.8,89.2,Randolph 2' Driving Layup (2 PTS)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:28,00:00:32,00:00:17,3,GSW,miss,,,,,,,,,,Andrew Bogut,0,,,missed,,Hook Shot,4,24,26,22.6,7.6,MISS Bogut 4' Hook Shot
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:26,00:00:34,00:00:02,4,GSW,rebound,,,,,,,,,,David Lee,,,,,,rebound offensive,,,,,,Lee REBOUND (Off:1 Def:0)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:25,00:00:35,00:00:01,5,GSW,miss,,,,Marc Gasol,,,,,,David Lee,0,,,missed,,Layup,1,4,7,24.6,5.7,"MISS Lee 1' Layup, Gasol BLOCK (1 BLK)"
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:22,00:00:38,00:00:03,6,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:17,00:00:43,00:00:05,7,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,19,39,187,28.9,70.3,MISS Gasol 19' Jump Shot
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:17,00:00:43,00:00:00,8,GSW,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound defensive,,,,,,Iguodala REBOUND (Off:0 Def:1)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:06,00:00:54,00:00:11,9,GSW,miss,,,,,,,,,,David Lee,0,,,missed,,Reverse Layup,2,13,-8,23.7,4.2,MISS Lee 2' Reverse Layup
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,2,00:11:02,00:00:58,00:00:04,10,MEM,rebound,,,,,,,,,,Mike Conley,,,,,,rebound defensive,,,,,,Conley REBOUND (Off:0 Def:1)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,4,00:10:59,00:01:01,00:00:03,11,MEM,shot,,,,,,,,,,Mike Conley,2,,,made,,Driving Layup,2,21,1,27.1,88.9,Conley 2' Driving Layup (2 PTS)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,4,00:10:40,00:01:20,00:00:19,12,GSW,turnover,,,,,,,,,,David Lee,,,bad pass ,,,bad pass ,,,,,,Lee Bad Pass Turnover (P1.T1)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,4,00:10:20,00:01:40,00:00:20,13,GSW,foul,,,,,,,,Tony Allen,,Klay Thompson,,,s.foul,,,s.foul,,,,,,Thompson S.FOUL (P1.T1)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,4,00:10:20,00:01:40,00:00:00,14,MEM,free throw,,,,,,,1,,2,Tony Allen,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Allen Free Throw 1 of 2
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,4,00:10:20,00:01:40,00:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,GRIZZLIES Rebound
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,0,5,00:10:20,00:01:40,00:00:00,16,MEM,free throw,,,,,,,2,,2,Tony Allen,1,,,made,,Free Throw 2 of 2,,,,,,Allen Free Throw 2 of 2 (1 PTS)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,5,00:10:05,00:01:55,00:00:15,18,GSW,shot,,,,,,,,,,Andre Iguodala,2,,,made,,Jump Shot,21,94,187,15.6,23.7,Iguodala 21' Jump Shot (2 PTS)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,5,00:09:47,00:02:13,00:00:18,19,MEM,miss,,,,,,,,,,Mike Conley,0,,,missed,,Jump Shot,24,203,132,45.3,75.8,MISS Conley 24' 3PT Jump Shot
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,2,5,00:09:47,00:02:13,00:00:00,20,GSW,rebound,,,,,,,,,,Andrew Bogut,,,,,,rebound defensive,,,,,,Bogut REBOUND (Off:0 Def:1)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,4,5,00:09:39,00:02:21,00:00:08,21,GSW,shot,Stephen Curry,,,,,,,,,Klay Thompson,2,,,made,,Jump Shot,21,-149,153,39.9,20.3,Thompson 21' Jump Shot (2 PTS) (Curry 1 AST)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,4,5,00:09:29,00:02:31,00:00:10,22,MEM,miss,,,,,,,,,,Tayshaun Prince,0,,,missed,,Jump Shot,18,179,-2,42.9,89.2,MISS Prince 18' Jump Shot
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,4,5,00:09:29,00:02:31,00:00:00,23,GSW,rebound,,,,,,,,,,Andrew Bogut,,,,,,rebound defensive,,,,,,Bogut REBOUND (Off:0 Def:2)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,4,5,00:09:20,00:02:40,00:00:09,24,MEM,foul,,,,,,,,Stephen Curry,,Tony Allen,,,s.foul,,,s.foul,,,,,,Allen S.FOUL (P1.T1)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,5,5,00:09:20,00:02:40,00:00:00,25,GSW,free throw,,,,,,,1,,2,Stephen Curry,1,,,made,,Free Throw 1 of 2,,,,,,Curry Free Throw 1 of 2 (1 PTS)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,6,5,00:09:20,00:02:40,00:00:00,27,GSW,free throw,,,,,,,2,,2,Stephen Curry,1,,,made,,Free Throw 2 of 2,,,,,,Curry Free Throw 2 of 2 (2 PTS)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,6,5,00:09:06,00:02:54,00:00:14,29,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,15,-139,55,11.1,83.5,MISS Gasol 15' Jump Shot
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,6,5,00:09:06,00:02:54,00:00:00,30,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,rebound defensive,,,,,,Curry REBOUND (Off:0 Def:1)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,6,5,00:09:00,00:03:00,00:00:06,31,GSW,turnover,,,,,,,,,,Stephen Curry,,,bad pass ,,Tony Allen,bad pass ,,,,,,"Curry Bad Pass Turnover (P1.T2), Allen STEAL (1 STL)"
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,6,5,00:08:56,00:03:04,00:00:04,32,GSW,foul,,,,,,,,Tony Allen,,Andre Iguodala,,,s.foul,,,s.foul,,,,,,Iguodala S.FOUL (P1.T2)
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,6,5,00:08:56,00:03:04,00:00:00,33,MEM,free throw,,,,,,,1,,2,Tony Allen,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Allen Free Throw 1 of 2
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,6,5,00:08:56,00:03:04,00:00:00,34,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,GRIZZLIES Rebound
"=""0021300091""",2013-2014 Regular Season,2013-11-09,Andre Iguodala,David Lee,Andrew Bogut,Klay Thompson,Stephen Curry,Tayshaun Prince,Zach Randolph,Marc Gasol,Tony Allen,Mike Conley,1,6,6,00:08:56,00:03:04,00:00:00,35,MEM,free throw,,,,,,,2,,2,Tony Allen,1,,,made,,Free Throw 2 of 2,,,,,,Allen Free Throw 2 of 2 (2 PTS)
