game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,0,0,00:12:00,00:00:00,00:00:00,1,BKN,jump ball,,Brook Lopez,Jason Thompson,,,,,,,Jason Thompson,,Deron Williams,,,,jump ball,,,,,,Jump Ball Thompson vs. Lopez: Tip to D. Williams
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,0,0,00:11:45,00:00:15,00:00:15,2,BKN,miss,,,,,,,,,,Kevin Garnett,0,,,missed,,Jump Shot,7,40,63,21.0,11.3,MISS Garnett 7' Jump Shot
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,0,0,00:11:43,00:00:17,00:00:02,3,SAC,rebound,,,,,,,,,,Jason Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,0,2,00:11:21,00:00:39,00:00:22,5,SAC,shot,John Salmons,,,,,,,,,DeMarcus Cousins,2,,,made,,Jump Shot,19,-68,181,18.2,70.9,Cousins 19' Jump Shot (2 PTS) (Salmons 1 AST)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,2,00:11:07,00:00:53,00:00:14,6,BKN,shot,,,,,,,,,,Brook Lopez,2,,,made,,Jump Shot,6,-24,55,27.4,10.5,Lopez 6' Jump Shot (2 PTS)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,2,00:11:06,00:00:54,00:00:01,7,,violation,,,,,,,,,,,,,,,,violation: delay of game violation,,,,,,Nets Violation: Delay of game Violation
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,2,00:10:56,00:01:04,00:00:10,8,BKN,foul,,,,,,,,DeMarcus Cousins,,Brook Lopez,,,p.foul,,,p.foul,,,,,,Lopez P.FOUL (P1.T1)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,2,00:10:47,00:01:13,00:00:09,9,SAC,miss,,,,Deron Williams,,,,,,Jason Thompson,0,,,missed,,Jump Shot,14,40,138,29.0,75.2,"D. Williams BLOCK (1 BLK), MISS Thompson 14' Jump Shot"
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,2,00:10:44,00:01:16,00:00:03,10,SAC,rebound,,,,,,,,,,Greivis Vasquez,,,,,,rebound offensive,,,,,,Vasquez REBOUND (Off:1 Def:0)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,5,00:10:42,00:01:18,00:00:02,11,SAC,shot,,,,,,,,,,Greivis Vasquez,3,,,made,,Jump Shot,27,1,266,25.1,62.4,Vasquez 27' 3PT Jump Shot (3 PTS)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,5,00:10:32,00:01:28,00:00:10,12,BKN,turnover,,,,,,,,,,Kevin Garnett,,,traveling ,,,traveling ,,,,,,Garnett Traveling Turnover (P1.T1)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,5,00:10:14,00:01:46,00:00:18,13,SAC,miss,,,,,,,,,,Greivis Vasquez,0,,,missed,,Jump Shot,26,12,258,26.2,63.2,MISS Vasquez 26' 3PT Jump Shot
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,5,00:10:13,00:01:47,00:00:01,14,BKN,rebound,,,,,,,,,,Kevin Garnett,,,,,,rebound defensive,,,,,,Garnett REBOUND (Off:0 Def:1)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,2,5,00:10:11,00:01:49,00:00:02,15,SAC,foul,,,,,,,,Deron Williams,,Greivis Vasquez,,,p.foul,,,p.foul,,,,,,Vasquez P.FOUL (P1.T1)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,3,5,00:10:11,00:01:49,00:00:00,16,BKN,free throw,,,,,,,1,,2,Deron Williams,1,,,made,,Free Throw 1 of 2,,,,,,D. Williams Free Throw 1 of 2 (1 PTS)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,3,5,00:10:11,00:01:49,00:00:00,18,BKN,free throw,,,,,,,2,,2,Deron Williams,0,,,missed,,Free Throw 2 of 2,,,,,,MISS D. Williams Free Throw 2 of 2
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,3,5,00:10:08,00:01:52,00:00:03,20,SAC,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:1)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,3,5,00:09:59,00:02:01,00:00:09,21,SAC,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,21,65,195,31.5,69.5,MISS Cousins 21' Jump Shot
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,3,5,00:09:57,00:02:03,00:00:02,22,BKN,rebound,,,,,,,,,,Kevin Garnett,,,,,,rebound defensive,,,,,,Garnett REBOUND (Off:0 Def:2)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,3,5,00:09:51,00:02:09,00:00:06,24,SAC,violation,,,,,,,,,,DeMarcus Cousins,,,,,,violation:defensive goaltending,,,,,,Cousins Violation:Defensive Goaltending
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,5,5,00:09:51,00:02:09,00:00:00,23,BKN,shot,,,,,,,,,,Paul Pierce,2,,,made,,Layup,3,-26,12,27.6,6.2,Pierce 3' Layup (2 PTS)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,5,7,00:09:34,00:02:26,00:00:17,25,SAC,shot,,,,,,,,,,John Salmons,2,,,made,,Jump Shot,22,114,186,36.4,70.4,Salmons 22' Jump Shot (2 PTS)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,5,7,00:09:23,00:02:37,00:00:11,26,SAC,foul,,,,,,,,Brook Lopez,,Jason Thompson,,,p.foul,,,p.foul,,,,,,Thompson P.FOUL (P1.T2)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,7,7,00:09:14,00:02:46,00:00:09,27,BKN,shot,,,,,,,,,,Kevin Garnett,2,,,made,,Jump Shot,18,-67,164,31.7,21.4,Garnett 18' Jump Shot (2 PTS)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,7,9,00:08:52,00:03:08,00:00:22,28,SAC,shot,Greivis Vasquez,,,,,,,,,DeMarcus Cousins,2,,,made,,Jump Shot,22,-4,220,24.6,67.0,Cousins 22' Jump Shot (4 PTS) (Vasquez 1 AST)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,7,9,00:08:31,00:03:29,00:00:21,29,BKN,miss,,,,,,,,,,Paul Pierce,0,,,missed,,Jump Shot,16,28,153,22.2,20.3,MISS Pierce 16' Jump Shot
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,7,9,00:08:29,00:03:31,00:00:02,30,SAC,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:2)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,7,9,00:08:15,00:03:45,00:00:14,31,SAC,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,18,-95,154,15.5,73.6,MISS Cousins 18' Jump Shot
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,7,9,00:08:14,00:03:46,00:00:01,32,BKN,rebound,,,,,,,,,,Kevin Garnett,,,,,,rebound defensive,,,,,,Garnett REBOUND (Off:0 Def:3)
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,7,9,00:07:59,00:04:01,00:00:15,33,BKN,miss,,,,,,,,,,Kevin Garnett,0,,,missed,,Jump Shot,10,-98,11,34.8,6.1,MISS Garnett 10' Jump Shot
"=""0021300121""",2013-2014 Regular Season,2013-11-13,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,John Salmons,Jason Thompson,DeMarcus Cousins,Ben McLemore,Greivis Vasquez,1,7,9,00:07:58,00:04:02,00:00:01,34,SAC,rebound,,,,,,,,,,Jason Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:2)
