game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:12:00,00:00:00,00:00:00,1,MEM,jump ball,,Kosta Koufos,Brandon Bass,,,,,,,Brandon Bass,,Mike Conley,,,,jump ball,,,,,,Jump Ball Bass vs. Koufos: Tip to Conley
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:11:42,00:00:18,00:00:18,2,MEM,miss,,,,,,,,,,Kosta Koufos,0,,,missed,,Hook Shot,6,10,58,24.0,10.8,MISS Koufos 6' Hook Shot
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:11:41,00:00:19,00:00:01,3,BOS,rebound,,,,,,,,,,Brandon Bass,,,,,,rebound defensive,,,,,,Bass REBOUND (Off:0 Def:1)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,3,00:11:19,00:00:41,00:00:22,4,BOS,shot,Jared Sullinger,,,,,,,,,Jordan Crawford,3,,,made,,Jump Shot,25,119,216,36.9,67.4,Crawford 25' 3PT Jump Shot (3 PTS) (Sullinger 1 AST)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,3,00:10:58,00:01:02,00:00:21,5,MEM,miss,,,,,,,,,,Tony Allen,0,,,missed,,Jump Shot,20,-134,153,38.4,20.3,MISS Allen 20' Jump Shot
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,3,00:10:57,00:01:03,00:00:01,6,BOS,rebound,,,,,,,,,,Jeff Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,3,00:10:49,00:01:11,00:00:08,7,BOS,miss,,,,,,,,,,Jared Sullinger,0,,,missed,,Jump Shot,26,-60,250,19.0,64.0,MISS Sullinger 26' 3PT Jump Shot
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,3,00:10:48,00:01:12,00:00:01,8,MEM,rebound,,,,,,,,,,Tayshaun Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:10:34,00:01:26,00:00:14,9,MEM,shot,,,,,,,,,,Mike Conley,2,,,made,,Driving Layup,2,-4,15,25.4,6.5,Conley 2' Driving Layup (2 PTS)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:10:13,00:01:47,00:00:21,10,BOS,turnover,,,,,,,,,,Jordan Crawford,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Crawford Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:10:00,00:02:00,00:00:13,11,MEM,miss,,,,,,,,,,Mike Conley,0,,,missed,,Jump Shot,25,-89,233,33.9,28.3,MISS Conley 25' 3PT Jump Shot
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:09:59,00:02:01,00:00:01,12,BOS,rebound,,,,,,,,,,Jared Sullinger,,,,,,rebound defensive,,,,,,Sullinger REBOUND (Off:0 Def:1)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:09:46,00:02:14,00:00:13,13,BOS,miss,,,,,,,,,,Jeff Green,0,,,missed,,Driving Layup,1,6,3,25.6,88.7,MISS Green 1' Driving Layup
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:09:45,00:02:15,00:00:01,14,MEM,rebound,,,,,,,,,,Kosta Koufos,,,,,,rebound defensive,,,,,,Koufos REBOUND (Off:0 Def:1)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:09:31,00:02:29,00:00:14,15,MEM,miss,,,,,,,,,,Zach Randolph,0,,,missed,,Layup,1,-11,0,26.1,5.0,MISS Randolph 1' Layup
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:09:30,00:02:30,00:00:01,16,BOS,rebound,,,,,,,,,,Jared Sullinger,,,,,,rebound defensive,,,,,,Sullinger REBOUND (Off:0 Def:2)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,2,3,00:09:18,00:02:42,00:00:12,17,BOS,turnover,,,,,,,,,,Jared Sullinger,,,bad pass ,,,bad pass ,,,,,,Sullinger Bad Pass Turnover (P1.T2)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,4,3,00:09:00,00:03:00,00:00:18,18,MEM,shot,,,,,,,,,,Mike Conley,2,,,made,,Driving Layup,1,-5,11,25.5,6.1,Conley 1' Driving Layup (4 PTS)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,4,3,00:08:43,00:03:17,00:00:17,19,BOS,turnover,,,,,,,,,,Avery Bradley,,,bad pass ,,Mike Conley,bad pass ,,,,,,"Conley STEAL (1 STL), Bradley Bad Pass Turnover (P1.T3)"
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,6,3,00:08:38,00:03:22,00:00:05,20,MEM,shot,Tayshaun Prince,,,,,,,,,Tony Allen,2,,,made,,Layup,1,-7,7,25.7,5.7,Allen 1' Layup (2 PTS) (Prince 1 AST)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,6,5,00:08:16,00:03:44,00:00:22,21,BOS,shot,,,,,,,,,,Brandon Bass,2,,,made,,Jump Shot,18,-177,7,7.3,88.3,Bass 18' Jump Shot (2 PTS)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,8,5,00:07:53,00:04:07,00:00:23,22,MEM,shot,,,,,,,,,,Mike Conley,2,,,made,,Driving Layup,1,-2,7,25.2,5.7,Conley 1' Driving Layup (6 PTS)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,8,5,00:07:30,00:04:30,00:00:23,23,BOS,miss,,,,Kosta Koufos,,,,,,Avery Bradley,0,,,missed,,Dunk,0,0,4,25.0,88.6,"Koufos BLOCK (1 BLK), MISS Bradley  Dunk"
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,8,5,00:07:29,00:04:31,00:00:01,24,MEM,rebound,,,,,,,,,,Mike Conley,,,,,,rebound defensive,,,,,,Conley REBOUND (Off:0 Def:1)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,10,5,00:07:23,00:04:37,00:00:06,25,MEM,shot,Mike Conley,,,,,,,,,Tayshaun Prince,2,,,made,,Layup,0,-4,1,25.4,5.1,Prince  Layup (2 PTS) (Conley 1 AST)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,10,7,00:07:04,00:04:56,00:00:19,26,BOS,shot,,,,,,,,,,Jeff Green,2,,,made,,Jump Bank Shot,19,-179,50,7.1,84.0,Green 19' Jump Bank Shot (2 PTS)
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,10,7,00:06:44,00:05:16,00:00:20,27,MEM,miss,,,,,,,,,,Tayshaun Prince,0,,,missed,,Jump Shot,20,-59,194,30.9,24.4,MISS Prince 20' Jump Shot
"=""0021300217""",2013-2014 Regular Season,2013-11-27,Tayshaun Prince,Zach Randolph,Kosta Koufos,Tony Allen,Mike Conley,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,10,7,00:06:43,00:05:17,00:00:01,28,BOS,rebound,,,,,,,,,,Jared Sullinger,,,,,,rebound defensive,,,,,,Sullinger REBOUND (Off:0 Def:3)
