game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,1,MIL,jump ball,,Brook Lopez,John Henson,,,,,,,John Henson,,Brandon Knight,,,,jump ball,,,,,,Jump Ball Henson vs. Lopez: Tip to Knight
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,0,2,00:11:42,00:00:18,00:00:18,2,MIL,shot,O.J. Mayo,,,,,,,,,John Henson,2,,,made,,Hook Bank Shot,8,-76,-8,17.4,89.8,Henson 8' Hook Bank Shot (2 PTS) (Mayo 1 AST)
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,0,2,00:11:27,00:00:33,00:00:15,3,MIL,foul,,,,,,,,Alan Anderson,,O.J. Mayo,,,s.foul,,,s.foul,,,,,,Mayo S.FOUL (P1.T1)
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,0,2,00:11:27,00:00:33,00:00:00,4,BKN,free throw,,,,,,,1,,2,Alan Anderson,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Anderson Free Throw 1 of 2
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,0,2,00:11:27,00:00:33,00:00:00,5,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Nets Rebound
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,1,2,00:11:27,00:00:33,00:00:00,6,BKN,free throw,,,,,,,2,,2,Alan Anderson,1,,,made,,Free Throw 2 of 2,,,,,,Anderson Free Throw 2 of 2 (1 PTS)
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,1,2,00:11:04,00:00:56,00:00:23,8,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Jump Shot,25,-243,53,0.7,83.7,MISS Middleton 25' 3PT Jump Shot
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,1,2,00:11:02,00:00:58,00:00:02,9,BKN,rebound,,,,,,,,,,Alan Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,3,2,00:10:48,00:01:12,00:00:14,10,BKN,shot,Shaun Livingston,,,,,,,,,Joe Johnson,2,,,made,,Layup,1,-11,1,26.1,5.1,Johnson 1' Layup (2 PTS) (Livingston 1 AST)
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,3,2,00:10:36,00:01:24,00:00:12,11,MIL,miss,,,,,,,,,,O.J. Mayo,0,,,missed,,Jump Shot,25,-245,33,0.5,85.7,MISS Mayo 25' 3PT Jump Shot
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,3,2,00:10:36,00:01:24,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,BUCKS Rebound
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,3,2,00:10:21,00:01:39,00:00:15,14,BKN,foul,,,,,,,,Ekpe Udoh,,Alan Anderson,,,s.foul,,,s.foul,,,,,,Anderson S.FOUL (P1.T1)
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,3,2,00:10:21,00:01:39,00:00:00,15,MIL,free throw,,,,,,,1,,2,Ekpe Udoh,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Udoh Free Throw 1 of 2
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,3,2,00:10:21,00:01:39,00:00:00,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,BUCKS Rebound
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,3,2,00:10:21,00:01:39,00:00:00,17,MIL,free throw,,,,,,,2,,2,Ekpe Udoh,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Udoh Free Throw 2 of 2
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,3,2,00:10:20,00:01:40,00:00:01,19,BKN,rebound,,,,,,,,,,Joe Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,5,2,00:09:55,00:02:05,00:00:25,20,BKN,shot,,,,,,,,,,Brook Lopez,2,,,made,,Jump Shot,5,48,-11,20.2,3.9,Lopez 5' Jump Shot (2 PTS)
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,5,2,00:09:32,00:02:28,00:00:23,21,MIL,miss,,,,,,,,,,O.J. Mayo,0,,,missed,,Fadeaway Jumper,18,-133,123,11.7,76.7,MISS Mayo 18' Fadeaway Jumper
"=""0021300295""",2013-2014 Regular Season,2013-12-07,Alan Anderson,Kevin Garnett,Brook Lopez,Joe Johnson,Shaun Livingston,Khris Middleton,Ekpe Udoh,John Henson,O.J. Mayo,Brandon Knight,1,5,2,00:09:30,00:02:30,00:00:02,22,MIL,rebound,,,,,,,,,,John Henson,,,,,,rebound offensive,,,,,,Henson REBOUND (Off:1 Def:0)
