game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:12:00,00:00:00,00:00:00,1,SAS,jump ball,,Tim Duncan,Derrick Favors,,,,,,,Derrick Favors,,Tony Parker,,,,jump ball,,,,,,Jump Ball Favors vs. Duncan: Tip to Parker
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:39,00:00:21,00:00:21,2,SAS,miss,,,,,,,,,,Tim Duncan,0,,,missed,,Jump Bank Shot,19,-164,89,41.4,13.9,MISS Duncan 19' Jump Bank Shot
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:38,00:00:22,00:00:01,3,UTA,rebound,,,,,,,,,,Richard Jefferson,,,,,,rebound defensive,,,,,,Jefferson REBOUND (Off:0 Def:1)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:19,00:00:41,00:00:19,4,UTA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Layup,2,12,17,26.2,87.3,MISS Williams 2' Layup
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:18,00:00:42,00:00:01,5,SAS,rebound,,,,,,,,,,Danny Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:11,00:00:49,00:00:07,6,SAS,miss,,,,,,,,,,Tony Parker,0,,,missed,,Jump Shot,8,-60,50,31.0,10.0,MISS Parker 8' Jump Shot
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:09,00:00:51,00:00:02,7,SAS,rebound,,,,,,,,,,Jeff Ayres,,,,,,rebound offensive,,,,,,Ayres REBOUND (Off:1 Def:0)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:07,00:00:53,00:00:02,8,SAS,miss,,,,Derrick Favors,,,,,,Jeff Ayres,0,,,missed,,Jump Shot,4,43,11,20.7,6.1,"MISS Ayres 4' Jump Shot, Favors BLOCK (1 BLK)"
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:05,00:00:55,00:00:02,9,UTA,rebound,,,,,,,,,,Trey Burke,,,,,,rebound defensive,,,,,,Burke REBOUND (Off:0 Def:1)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,0,00:11:00,00:01:00,00:00:05,10,SAS,foul,,,,,,,,Gordon Hayward,,Danny Green,,,s.foul,,,s.foul,,,,,,Green S.FOUL (P1.T1)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:11:00,00:01:00,00:00:00,11,UTA,free throw,,,,,,,1,,2,Gordon Hayward,1,,,made,,Free Throw 1 of 2,,,,,,Hayward Free Throw 1 of 2 (1 PTS)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:11:00,00:01:00,00:00:00,13,UTA,free throw,,,,,,,2,,2,Gordon Hayward,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Hayward Free Throw 2 of 2
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:10:59,00:01:01,00:00:01,15,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,rebound defensive,,,,,,Duncan REBOUND (Off:0 Def:1)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:10:42,00:01:18,00:00:17,16,SAS,miss,,,,,,,,,,Tim Duncan,0,,,missed,,Jump Hook Shot,8,1,75,24.9,12.5,MISS Duncan 8' Jump Hook Shot
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:10:41,00:01:19,00:00:01,17,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:10:27,00:01:33,00:00:14,18,UTA,miss,,,,,,,,,,Gordon Hayward,0,,,missed,,Fadeaway Jumper,7,17,71,26.7,81.9,MISS Hayward 7' Fadeaway Jumper
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:10:25,00:01:35,00:00:02,19,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,rebound defensive,,,,,,Duncan REBOUND (Off:0 Def:2)
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:10:11,00:01:49,00:00:14,20,SAS,miss,,,,,,,,,,Tim Duncan,0,,,missed,,Jump Shot,20,1,197,24.9,24.7,MISS Duncan 20' Jump Shot
"=""0021300349""",2013-2014 Regular Season,2013-12-14,Kawhi Leonard,Tim Duncan,Jeff Ayres,Danny Green,Tony Parker,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,1,0,1,00:10:09,00:01:51,00:00:02,21,UTA,rebound,,,,,,,,,,Trey Burke,,,,,,rebound defensive,,,,,,Burke REBOUND (Off:0 Def:2)
