game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:12:00,00:00:00,00:00:00,1,DET,jump ball,,Andre Drummond,Brandon Bass,,,,,,,Brandon Bass,,Brandon Jennings,,,,jump ball,,,,,,Jump Ball Bass vs. Drummond: Tip to Jennings
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:11:40,00:00:20,00:00:20,2,DET,miss,,,,,,,,,,Josh Smith,0,,,missed,,Hook Shot,9,-92,14,34.2,6.4,MISS Smith 9' Hook Shot
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:11:39,00:00:21,00:00:01,3,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:1 Def:0)
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:11:36,00:00:24,00:00:03,4,DET,miss,,,,,,,,,,Andre Drummond,0,,,missed,,Putback Dunk,2,20,6,23.0,5.6,MISS Drummond 2' Putback Dunk
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:11:36,00:00:24,00:00:00,5,DET,rebound,,,,,,,,,,Greg Monroe,,,,,,rebound offensive,,,,,,Monroe REBOUND (Off:1 Def:0)
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:11:31,00:00:29,00:00:05,6,DET,miss,,,,,,,,,,Greg Monroe,0,,,missed,,Layup,1,9,4,24.1,5.4,MISS Monroe 1' Layup
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,0,00:11:30,00:00:30,00:00:01,7,BOS,rebound,,,,,,,,,,Jared Sullinger,,,,,,rebound defensive,,,,,,Sullinger REBOUND (Off:0 Def:1)
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,2,00:11:23,00:00:37,00:00:07,8,BOS,shot,,,,,,,,,,Brandon Bass,2,,,made,,Layup,0,0,1,25.0,88.9,Bass  Layup (2 PTS)
"=""0021300373""",2013-2014 Regular Season,2013-12-18,Josh Smith,Greg Monroe,Andre Drummond,Kentavious Caldwell-Pope,Brandon Jennings,Jeff Green,Brandon Bass,Jared Sullinger,Avery Bradley,Jordan Crawford,1,0,2,00:11:05,00:00:55,00:00:18,9,DET,miss,,,,,,,,,,Josh Smith,0,,,missed,,Hook Shot,6,12,58,23.8,10.8,MISS Smith 6' Hook Shot
