game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:12:00,00:00:00,00:00:00,1,MIL,jump ball,,Spencer Hawes,Giannis Antetokounmpo,,,,,,,Giannis Antetokounmpo,,Caron Butler,,,,jump ball,,,,,,Jump Ball Antetokounmpo vs. Hawes: Tip to Butler
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:11:37,00:00:23,00:00:23,2,MIL,miss,,,,,,,,,,Brandon Knight,0,,,missed,,Jump Shot,14,-10,135,24.0,75.5,MISS Knight 14' Jump Shot
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:11:36,00:00:24,00:00:01,3,MIL,rebound,,,,,,,,,,Ekpe Udoh,,,,,,rebound offensive,,,,,,Udoh REBOUND (Off:1 Def:0)
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:11:23,00:00:37,00:00:13,4,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Layup,2,18,12,26.8,87.8,MISS Antetokounmpo 2' Layup
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:11:21,00:00:39,00:00:02,5,PHI,rebound,,,,,,,,,,Michael Carter-Williams,,,,,,rebound defensive,,,,,,Carter-Williams REBOUND (Off:0 Def:1)
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:11:18,00:00:42,00:00:03,6,PHI,miss,,,,,,,,,,Evan Turner,0,,,missed,,Layup,2,-16,7,26.6,5.7,MISS Turner 2' Layup
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,0,00:11:16,00:00:44,00:00:02,7,MIL,rebound,,,,,,,,,,Ekpe Udoh,,,,,,rebound defensive,,,,,,Udoh REBOUND (Off:1 Def:1)
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,2,00:10:56,00:01:04,00:00:20,8,MIL,shot,,,,,,,,,,Khris Middleton,2,,,made,,Jump Shot,14,141,-22,39.1,91.2,Middleton 14' Jump Shot (2 PTS)
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,2,00:10:35,00:01:25,00:00:21,9,PHI,miss,,,,,,,,,,Hollis Thompson,0,,,missed,,Layup,0,0,-3,25.0,4.7,MISS Thompson  Layup
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,2,00:10:32,00:01:28,00:00:03,10,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,2,00:10:27,00:01:33,00:00:05,11,MIL,miss,,,,,,,,,,Brandon Knight,0,,,missed,,Jump Shot,26,84,247,33.4,64.3,MISS Knight 26' 3PT Jump Shot
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,0,2,00:10:26,00:01:34,00:00:01,12,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021300398""",2013-2014 Regular Season,2013-12-21,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Khris Middleton,Caron Butler,Ekpe Udoh,Giannis Antetokounmpo,Brandon Knight,1,2,2,00:10:14,00:01:46,00:00:12,13,PHI,shot,Michael Carter-Williams,,,,,,,,,Thaddeus Young,2,,,made,,Jump Hook Shot,6,-62,-6,31.2,4.4,Young 6' Jump Hook Shot (2 PTS) (Carter-Williams 1 AST)
