game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,0,00:12:00,00:00:00,00:00:00,1,DEN,jump ball,,Spencer Hawes,JJ Hickson,,,,,,,JJ Hickson,,Kenneth Faried,,,,jump ball,,,,,,Jump Ball Hickson vs. Hawes: Tip to Faried
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,0,00:11:45,00:00:15,00:00:15,2,DEN,turnover,,,,,,,,,,Ty Lawson,,,bad pass ,,Spencer Hawes,bad pass ,,,,,,"Hawes STEAL (1 STL), Lawson Bad Pass Turnover (P1.T1)"
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,0,00:11:40,00:00:20,00:00:05,3,PHI,turnover,,,,,,,,,,Michael Carter-Williams,,,bad pass ,,Kenneth Faried,bad pass ,,,,,,"Carter-Williams Bad Pass Turnover (P1.T1), Faried STEAL (1 STL)"
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,0,00:11:28,00:00:32,00:00:12,4,DEN,miss,,,,,,,,,,Ty Lawson,0,,,missed,,Jump Shot,25,-130,213,12.0,67.7,MISS Lawson 25' 3PT Jump Shot
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,0,00:11:27,00:00:33,00:00:01,5,PHI,rebound,,,,,,,,,,Evan Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,0,00:11:12,00:00:48,00:00:15,6,PHI,miss,,,,,,,,,,Spencer Hawes,0,,,missed,,Jump Shot,26,-70,249,32.0,29.9,MISS Hawes 26' 3PT Jump Shot
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,0,00:11:11,00:00:49,00:00:01,7,DEN,rebound,,,,,,,,,,JJ Hickson,,,,,,rebound defensive,,,,,,Hickson REBOUND (Off:0 Def:1)
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,2,00:10:57,00:01:03,00:00:14,8,DEN,shot,Ty Lawson,,,,,,,,,JJ Hickson,2,,,made,,Running Jump Shot,3,4,30,25.4,86.0,Hickson 3' Running Jump Shot (2 PTS) (Lawson 1 AST)
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,2,00:10:57,00:01:03,00:00:00,9,PHI,foul,,,,,,,,JJ Hickson,,Spencer Hawes,,,shooting block foul,,,shooting block foul,,,,,,Hawes Shooting Block Foul (P1.T1)
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,2,00:10:57,00:01:03,00:00:00,10,DEN,free throw,,,,,,,1,,1,JJ Hickson,0,,,missed,,Free Throw 1 of 1,,,,,,MISS Hickson Free Throw 1 of 1
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,0,2,00:10:54,00:01:06,00:00:03,12,PHI,rebound,,,,,,,,,,Spencer Hawes,,,,,,rebound defensive,,,,,,Hawes REBOUND (Off:0 Def:1)
"=""0021300471""",2013-2014 Regular Season,2014-01-01,Evan Turner,Thaddeus Young,Spencer Hawes,Hollis Thompson,Michael Carter-Williams,Wilson Chandler,Kenneth Faried,JJ Hickson,Randy Foye,Ty Lawson,1,3,2,00:10:43,00:01:17,00:00:11,13,PHI,shot,Michael Carter-Williams,,,,,,,,,Evan Turner,3,,,made,,Jump Shot,26,203,164,4.7,21.4,Turner 26' 3PT Jump Shot (3 PTS) (Carter-Williams 1 AST)
